Pallet: "pallet_scheduler", Extrinsic: "schedule", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
38,18792,1767,1,5,1,2
39,18718,1839,1,5,1,2
39,18751,1700,1,5,1,2
39,18870,1807,1,5,1,2
39,19133,1771,1,5,1,2
39,18663,1823,1,5,1,2
40,19430,1804,1,5,1,2
40,19361,1784,1,5,1,2
40,19332,1726,1,5,1,2
40,18967,1693,1,5,1,2
40,19111,1763,1,5,1,2
41,18969,1856,1,5,1,2
41,19527,1822,1,5,1,2
41,18947,1782,1,5,1,2
41,18993,1849,1,5,1,2
41,19022,1807,1,5,1,2
42,19296,1847,1,5,1,2
42,19506,1751,1,5,1,2
42,19431,1880,1,5,1,2
42,19277,1748,1,5,1,2
42,19325,1815,1,5,1,2
43,19457,1875,1,5,1,2
43,19531,1798,1,5,1,2
43,19427,1804,1,5,1,2
43,19348,1743,1,5,1,2
43,19649,1776,1,5,1,2
44,19481,1861,1,5,1,2
44,20367,1881,1,5,1,2
44,19548,1820,1,5,1,2
44,19937,1844,1,5,1,2
44,19629,1841,1,5,1,2
45,19952,1814,1,5,1,2
45,19947,1788,1,5,1,2
45,19943,1810,1,5,1,2
45,20052,1703,1,5,1,2
45,20238,1780,1,5,1,2
46,20507,1856,1,5,1,2
46,20517,1858,1,5,1,2
46,20278,1813,1,5,1,2
46,19852,1814,1,5,1,2
46,20030,1771,1,5,1,2
47,20168,1889,1,5,1,2
47,20095,1899,1,5,1,2
47,20073,1807,1,5,1,2
47,20533,1806,1,5,1,2
47,20039,1796,1,5,1,2
48,20784,1839,1,5,1,2
48,20617,1876,1,5,1,2
48,20925,1836,1,5,1,2
48,21039,1795,1,5,1,2
48,20915,1914,1,5,1,2
49,20945,1839,1,5,1,2
49,20726,1752,1,5,1,2
49,20730,1795,1,5,1,2
49,20932,1833,1,5,1,2
49,20616,1774,1,5,1,2
50,21151,1905,1,5,1,2
50,21014,1821,1,5,1,2
50,21818,1903,1,5,1,2
50,21164,1811,1,5,1,2
50,21124,1883,1,5,1,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    14.35
    + s    0.124
              µs

Reads = 1 + (0 * s)
Writes = 1 + (0 * s)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    s   mean µs  sigma µs       %
    0      13.4     0.125    0.9%
    1     14.35     0.026    0.1%
    2     14.58     0.052    0.3%
    3     14.69     0.077    0.5%
    4      14.8     0.048    0.3%
    5     14.85     0.096    0.6%
    6     14.93     0.105    0.7%
    7     15.39     0.103    0.6%
    8     15.51     0.026    0.1%
    9     15.72     0.112    0.7%
   10     15.56     0.107    0.6%
   11     16.17     0.074    0.4%
   12     15.99     0.065    0.4%
   13     16.41     0.085    0.5%
   14     16.71     0.169    1.0%
   15     16.57     0.034    0.2%
   16     16.22     0.018    0.1%
   17     16.52     0.061    0.3%
   18     16.34     0.031    0.1%
   19     16.64     0.032    0.1%
   20     16.99      0.07    0.4%
   21     16.83     0.065    0.3%
   22     17.44     0.096    0.5%
   23     17.16     0.095    0.5%
   24     17.12     0.098    0.5%
   25     17.62     0.085    0.4%
   26     17.66     0.066    0.3%
   27     17.55     0.053    0.3%
   28      17.8     0.115    0.6%
   29     17.96     0.158    0.8%
   30     18.17     0.036    0.1%
   31     18.01     0.066    0.3%
   32     18.61     0.144    0.7%
   33     18.38     0.041    0.2%
   34     18.58     0.011    0.0%
   35     18.57      0.03    0.1%
   36     19.05     0.059    0.3%
   37     18.95     0.032    0.1%
   38      18.7     0.098    0.5%
   39     18.77     0.065    0.3%
   40     19.26     0.111    0.5%
   41     18.99     0.021    0.1%
   42     19.35     0.058    0.2%
   43     19.47     0.043    0.2%
   44      19.7     0.167    0.8%
   45     19.98     0.048    0.2%
   46     20.27     0.194    0.9%
   47     20.11      0.04    0.1%
   48     20.87     0.064    0.3%
   49     20.79     0.096    0.4%
   50     21.14     0.016    0.0%

Quality and confidence:
param     error
s         0.001

Model:
Time ~=    14.34
    + s    0.126
              µs

Reads = 1 + (0 * s)
Writes = 1 + (0 * s)
