Pallet: "polymesh_contracts", Extrinsic: "put_code", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
l,u,d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
262126,100000,100000,67251375,23481,9,8,4,2
272611,100000,100000,69360057,12291,9,8,4,2
272611,100000,100000,77746637,11589,9,8,4,2
272611,100000,100000,68247868,10524,9,8,4,2
272611,100000,100000,75794519,18501,9,8,4,2
272611,100000,100000,75798287,11941,9,8,4,2
283096,100000,100000,75912948,10157,9,8,4,2
283096,100000,100000,71415756,11496,9,8,4,2
283096,100000,100000,70523361,10456,9,8,4,2
283096,100000,100000,70153850,11010,9,8,4,2
283096,100000,100000,72739951,10993,9,8,4,2
293581,100000,100000,74116527,11489,9,8,4,2
293581,100000,100000,72448403,10785,9,8,4,2
293581,100000,100000,74571067,11402,9,8,4,2
293581,100000,100000,76623035,10935,9,8,4,2
293581,100000,100000,71986336,21149,9,8,4,2
304066,100000,100000,74302606,10341,9,8,4,2
304066,100000,100000,78997148,11369,9,8,4,2
304066,100000,100000,79620895,11515,9,8,4,2
304066,100000,100000,77701087,10375,9,8,4,2
304066,100000,100000,78226105,11215,9,8,4,2
314551,100000,100000,75536146,12002,9,8,4,2
314551,100000,100000,75258398,10773,9,8,4,2
314551,100000,100000,77560157,12153,9,8,4,2
314551,100000,100000,76759848,10814,9,8,4,2
314551,100000,100000,81482271,11773,9,8,4,2
325036,100000,100000,79052885,10123,9,8,4,2
325036,100000,100000,80158064,10659,9,8,4,2
325036,100000,100000,79254341,10806,9,8,4,2
325036,100000,100000,79929807,11071,9,8,4,2
325036,100000,100000,79058683,11492,9,8,4,2
335521,100000,100000,85106704,24788,9,8,4,2
335521,100000,100000,87646535,13443,9,8,4,2
335521,100000,100000,86199129,11633,9,8,4,2
335521,100000,100000,82991265,10993,9,8,4,2
335521,100000,100000,82459577,9702,9,8,4,2
346006,100000,100000,84669856,10038,9,8,4,2
346006,100000,100000,84841205,10653,9,8,4,2
346006,100000,100000,88004860,11256,9,8,4,2
346006,100000,100000,87324024,11130,9,8,4,2
346006,100000,100000,88752977,10646,9,8,4,2
356491,100000,100000,87495820,11033,9,8,4,2
356491,100000,100000,93393802,9899,9,8,4,2
356491,100000,100000,100500220,10944,9,8,4,2
356491,100000,100000,91050335,10715,9,8,4,2
356491,100000,100000,90821232,10459,9,8,4,2
366976,100000,100000,89190562,9789,9,8,4,2
366976,100000,100000,91759727,10840,9,8,4,2
366976,100000,100000,93386129,11009,9,8,4,2
366976,100000,100000,94123292,10818,9,8,4,2
366976,100000,100000,89915000,10231,9,8,4,2
377461,100000,100000,96754781,11557,9,8,4,2
377461,100000,100000,91456630,10421,9,8,4,2
377461,100000,100000,89953910,10686,9,8,4,2
377461,100000,100000,89234681,11702,9,8,4,2
377461,100000,100000,90547415,10939,9,8,4,2
387946,100000,100000,91383588,10609,9,8,4,2
387946,100000,100000,95870962,11328,9,8,4,2
387946,100000,100000,96174203,11582,9,8,4,2
387946,100000,100000,102729686,11348,9,8,4,2
387946,100000,100000,91186596,9895,9,8,4,2
398431,100000,100000,108923885,10435,9,8,4,2
398431,100000,100000,110480469,11051,9,8,4,2
398431,100000,100000,111163631,10892,9,8,4,2
398431,100000,100000,109019544,9736,9,8,4,2
398431,100000,100000,105731504,10220,9,8,4,2
408916,100000,100000,106682761,10266,9,8,4,2
408916,100000,100000,105354394,10708,9,8,4,2
408916,100000,100000,105050750,11106,9,8,4,2
408916,100000,100000,102378409,10901,9,8,4,2
408916,100000,100000,105914057,11331,9,8,4,2
419401,100000,100000,106519726,11583,9,8,4,2
419401,100000,100000,113275026,11677,9,8,4,2
419401,100000,100000,111727124,10171,9,8,4,2
419401,100000,100000,112847924,11672,9,8,4,2
419401,100000,100000,109228496,10912,9,8,4,2
429886,100000,100000,111072276,10758,9,8,4,2
429886,100000,100000,128989264,11325,9,8,4,2
429886,100000,100000,113092466,12520,9,8,4,2
429886,100000,100000,114063773,11316,9,8,4,2
429886,100000,100000,114905389,10318,9,8,4,2
440371,100000,100000,110979026,10995,9,8,4,2
440371,100000,100000,110461899,10423,9,8,4,2
440371,100000,100000,109219129,11270,9,8,4,2
440371,100000,100000,115821715,11577,9,8,4,2
440371,100000,100000,111931380,9917,9,8,4,2
450856,100000,100000,119960518,10502,9,8,4,2
450856,100000,100000,122703930,11935,9,8,4,2
450856,100000,100000,117733457,11508,9,8,4,2
450856,100000,100000,115987571,11316,9,8,4,2
450856,100000,100000,117141383,13206,9,8,4,2
