Pallet: "pallet_staking", Extrinsic: "reap_stash", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
39,317550,4794,4,2,47,0
40,321703,4735,4,2,48,0
40,318130,4595,4,2,48,0
40,333081,4688,4,2,48,0
40,321677,4408,4,2,48,0
40,334939,4505,4,2,48,0
41,328102,4929,4,2,49,0
41,326201,4606,4,2,49,0
41,327318,4737,4,2,49,0
41,327279,4717,4,2,49,0
41,391776,4724,4,2,49,0
42,331758,5550,4,2,50,0
42,331802,4379,4,2,50,0
42,333736,4612,4,2,50,0
42,331926,5213,4,2,50,0
42,332375,4663,4,2,50,0
43,393038,5304,4,2,51,0
43,391313,5229,4,2,51,0
43,409583,5148,4,2,51,0
43,336487,5648,4,2,51,0
43,337184,4810,4,2,51,0
44,343612,4708,4,2,52,0
44,342823,4659,4,2,52,0
44,358156,4483,4,2,52,0
44,389562,4676,4,2,52,0
44,378083,5407,4,2,52,0
45,351080,5020,4,2,53,0
45,373163,4794,4,2,53,0
45,393313,4562,4,2,53,0
45,348719,4550,4,2,53,0
45,363056,4638,4,2,53,0
46,409805,5317,4,2,54,0
46,411089,5381,4,2,54,0
46,411153,5165,4,2,54,0
46,412004,5603,4,2,54,0
46,409539,5163,4,2,54,0
47,460103,5552,4,2,55,0
47,419705,4616,4,2,55,0
47,417948,5284,4,2,55,0
47,421533,5332,4,2,55,0
47,453989,6091,4,2,55,0
48,396670,5689,4,2,56,0
48,364002,5576,4,2,56,0
48,422968,4679,4,2,56,0
48,423740,5137,4,2,56,0
48,368123,4585,4,2,56,0
49,368464,4626,4,2,57,0
49,368728,4444,4,2,57,0
49,385350,4708,4,2,57,0
49,393393,4778,4,2,57,0
49,403430,5240,4,2,57,0
50,443277,4605,4,2,58,0
50,442033,4554,4,2,58,0
50,433929,4393,4,2,58,0
50,440147,4448,4,2,58,0
50,481758,5166,4,2,58,0
51,400032,4725,4,2,59,0
51,380069,4716,4,2,59,0
51,379700,4644,4,2,59,0
51,440248,5268,4,2,59,0
51,382934,4752,4,2,59,0
52,386740,4845,4,2,60,0
52,390390,4585,4,2,60,0
52,413958,4806,4,2,60,0
52,448955,4793,4,2,60,0
52,386307,4471,4,2,60,0
53,393992,4499,4,2,61,0
53,417665,4607,4,2,61,0
53,390786,4814,4,2,61,0
53,395527,4812,4,2,61,0
53,423252,4820,4,2,61,0
54,458504,5378,4,2,62,0
54,535931,6773,4,2,62,0
54,456704,5341,4,2,62,0
54,394911,6561,4,2,62,0
54,395901,4802,4,2,62,0
55,443873,5563,4,2,63,0
55,480071,5476,4,2,63,0
55,487733,5247,4,2,63,0
55,527846,5966,4,2,63,0
55,401858,4530,4,2,63,0
56,407008,4562,4,2,64,0
56,542659,4917,4,2,64,0
56,442694,5224,4,2,64,0
56,406939,5168,4,2,64,0
56,406633,4442,4,2,64,0
57,413084,4755,4,2,65,0
57,422351,4615,4,2,65,0
57,411955,4858,4,2,65,0
57,462334,4710,4,2,65,0
57,433627,5770,4,2,65,0
58,513096,6222,4,2,66,0
58,414989,4571,4,2,66,0
58,537844,5399,4,2,66,0
58,416808,4473,4,2,66,0
58,437876,5291,4,2,66,0
59,491488,5888,4,2,67,0
59,490587,4838,4,2,67,0
59,515608,4598,4,2,67,0
59,490957,4873,4,2,67,0
59,493998,17506,4,2,67,0
60,522019,5402,4,2,68,0
60,500136,4888,4,2,68,0
60,442317,4723,4,2,68,0
60,498277,5343,4,2,68,0
60,533895,5247,4,2,68,0
61,503672,4966,4,2,69,0
61,503658,4506,4,2,69,0
61,472631,4726,4,2,69,0
61,502758,5219,4,2,69,0
61,462679,4536,4,2,69,0
62,443841,4849,4,2,70,0
62,522473,5360,4,2,70,0
62,464446,8572,4,2,70,0
62,511122,5162,4,2,70,0
62,511606,22155,4,2,70,0
63,443286,4894,4,2,71,0
63,489574,5528,4,2,71,0
63,479559,4915,4,2,71,0
63,444657,4713,4,2,71,0
63,493460,4804,4,2,71,0
64,450834,4766,4,2,72,0
64,448521,21931,4,2,72,0
64,452241,5646,4,2,72,0
64,545927,6021,4,2,72,0
64,529589,5602,4,2,72,0
65,531150,5583,4,2,73,0
65,530206,5297,4,2,73,0
65,494624,4518,4,2,73,0
65,549596,4803,4,2,73,0
65,453153,4621,4,2,73,0
66,487427,4641,4,2,74,0
66,515242,4768,4,2,74,0
66,521840,20812,4,2,74,0
66,533592,4603,4,2,74,0
66,516843,4790,4,2,74,0
67,510440,4705,4,2,75,0
67,516696,4673,4,2,75,0
67,500806,4744,4,2,75,0
67,463300,6229,4,2,75,0
67,475448,4685,4,2,75,0
68,474395,5083,4,2,76,0
