Pallet: "frame_system", Extrinsic: "kill_prefix", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
p,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
343,350735,2166,0,0,343,0
352,337202,2200,0,0,352,0
352,334766,2171,0,0,352,0
352,338777,2128,0,0,352,0
352,335804,2191,0,0,352,0
352,336656,2229,0,0,352,0
361,334801,2218,0,0,361,0
361,334391,2256,0,0,361,0
361,333374,2208,0,0,361,0
361,333393,2242,0,0,361,0
361,334631,2171,0,0,361,0
370,357234,2239,0,0,370,0
370,356069,2177,0,0,370,0
370,357041,2106,0,0,370,0
370,356326,2217,0,0,370,0
370,359858,2110,0,0,370,0
379,358197,2148,0,0,379,0
379,354949,2152,0,0,379,0
379,357214,2185,0,0,379,0
379,356194,2203,0,0,379,0
379,360147,2195,0,0,379,0
388,376488,2188,0,0,388,0
388,380319,2159,0,0,388,0
388,375398,2211,0,0,388,0
388,374940,2158,0,0,388,0
388,375530,2209,0,0,388,0
397,384746,2213,0,0,397,0
397,380135,2256,0,0,397,0
397,384673,2090,0,0,397,0
397,382038,2253,0,0,397,0
397,380548,2240,0,0,397,0
406,393897,2226,0,0,406,0
406,386198,2171,0,0,406,0
406,389719,2192,0,0,406,0
406,387645,2148,0,0,406,0
406,390243,2215,0,0,406,0
415,400807,2245,0,0,415,0
415,400720,2096,0,0,415,0
415,400911,2190,0,0,415,0
415,402457,2079,0,0,415,0
415,401078,2244,0,0,415,0
424,401491,2262,0,0,424,0
424,401210,2150,0,0,424,0
424,402941,2270,0,0,424,0
424,400690,2174,0,0,424,0
424,403829,2203,0,0,424,0
433,417887,2280,0,0,433,0
433,416054,2187,0,0,433,0
433,414117,2204,0,0,433,0
433,422854,2200,0,0,433,0
433,419819,2160,0,0,433,0
442,397861,2204,0,0,442,0
442,396762,2275,0,0,442,0
442,399058,2183,0,0,442,0
442,399265,2226,0,0,442,0
442,397790,2232,0,0,442,0
451,412402,2146,0,0,451,0
451,409726,2116,0,0,451,0
451,412290,2138,0,0,451,0
451,410458,2246,0,0,451,0
451,412363,2225,0,0,451,0
460,416217,2260,0,0,460,0
460,416365,2149,0,0,460,0
460,436301,2231,0,0,460,0
460,432987,2143,0,0,460,0
460,434797,2238,0,0,460,0
469,450411,2194,0,0,469,0
469,447409,2122,0,0,469,0
469,448538,2209,0,0,469,0
469,447569,2249,0,0,469,0
469,449599,2319,0,0,469,0
478,452574,2315,0,0,478,0
478,455191,2214,0,0,478,0
478,454778,2225,0,0,478,0
478,456984,2181,0,0,478,0
478,454358,2235,0,0,478,0
487,457892,2216,0,0,487,0
487,458677,2187,0,0,487,0
487,460372,2230,0,0,487,0
487,458163,2225,0,0,487,0
487,460911,2070,0,0,487,0
496,475954,2145,0,0,496,0
496,476286,2316,0,0,496,0
496,476541,2212,0,0,496,0
496,477439,2294,0,0,496,0
496,474713,2316,0,0,496,0
505,479028,2259,0,0,505,0
505,478099,2241,0,0,505,0
505,475932,2179,0,0,505,0
505,477071,2257,0,0,505,0
505,475090,2227,0,0,505,0
514,485885,2345,0,0,514,0
514,487393,2277,0,0,514,0
514,488009,2247,0,0,514,0
514,489332,2284,0,0,514,0
514,491055,2228,0,0,514,0
523,497877,2151,0,0,523,0
523,493656,2246,0,0,523,0
523,494142,2202,0,0,523,0
523,495053,2207,0,0,523,0
523,496200,2275,0,0,523,0
532,502026,2270,0,0,532,0
532,503719,2332,0,0,532,0
532,498908,2261,0,0,532,0
532,504972,2170,0,0,532,0
532,500687,2213,0,0,532,0
541,523806,2245,0,0,541,0
541,521601,2198,0,0,541,0
541,520153,2195,0,0,541,0
541,520528,2170,0,0,541,0
541,520660,2251,0,0,541,0
550,532248,2350,0,0,550,0
550,531326,2382,0,0,550,0
550,530754,2246,0,0,550,0
550,530407,2319,0,0,550,0
550,526836,2225,0,0,550,0
559,536613,2284,0,0,559,0
559,533180,2314,0,0,559,0
559,538829,2191,0,0,559,0
559,535941,2333,0,0,559,0
559,543873,2182,0,0,559,0
568,544057,2323,0,0,568,0
568,548509,2213,0,0,568,0
568,543469,2323,0,0,568,0
568,544408,2270,0,0,568,0
568,541385,2254,0,0,568,0
577,559464,2254,0,0,577,0
577,555363,2176,0,0,577,0
577,560575,2320,0,0,577,0
577,557592,2267,0,0,577,0
577,556575,2220,0,0,577,0
586,555415,2289,0,0,586,0
586,556439,2297,0,0,586,0
586,554751,2266,0,0,586,0
586,553627,2193,0,0,586,0
586,553463,2313,0,0,586,0
595,570183,2314,0,0,595,0
595,570055,2245,0,0,595,0
595,574578,2200,0,0,595,0
595,568462,2356,0,0,595,0
595,572519,2322,0,0,595,0
604,577317,2180,0,0,604,0
604,576026,2259,0,0,604,0
604,576401,2273,0,0,604,0
604,572775,2286,0,0,604,0
604,576714,2344,0,0,604,0
613,578376,2218,0,0,613,0
613,576617,2220,0,0,613,0
613,577239,2316,0,0,613,0
613,580428,2126,0,0,613,0
613,579336,2246,0,0,613,0
622,587504,2328,0,0,622,0
622,586661,2175,0,0,622,0
622,585883,2340,0,0,622,0
622,584811,2272,0,0,622,0
622,585716,2095,0,0,622,0
631,611503,2316,0,0,631,0
631,611370,2189,0,0,631,0
631,601724,2281,0,0,631,0
631,610209,2278,0,0,631,0
631,606525,2188,0,0,631,0
640,603170,2319,0,0,640,0
640,604606,2241,0,0,640,0
640,601265,2283,0,0,640,0
640,598355,2259,0,0,640,0
640,607008,2247,0,0,640,0
649,620659,2249,0,0,649,0
649,621286,2278,0,0,649,0
649,620638,2303,0,0,649,0
649,616708,2266,0,0,649,0
649,618156,2319,0,0,649,0
658,623486,2296,0,0,658,0
658,619599,2265,0,0,658,0
658,621475,2265,0,0,658,0
658,618152,2240,0,0,658,0
658,620762,2302,0,0,658,0
667,596886,2363,0,0,667,0
667,605341,2243,0,0,667,0
667,597586,2277,0,0,667,0
667,594396,2304,0,0,667,0
667,598468,2295,0,0,667,0
676,626665,2402,0,0,676,0
676,619854,2326,0,0,676,0
676,616206,2194,0,0,676,0
676,625387,2262,0,0,676,0
676,622859,2350,0,0,676,0
685,631539,2528,0,0,685,0
685,627732,2300,0,0,685,0
685,625802,2232,0,0,685,0
685,630860,2208,0,0,685,0
685,626590,2225,0,0,685,0
694,627579,2461,0,0,694,0
694,626311,2316,0,0,694,0
694,621502,2274,0,0,694,0
694,618866,2351,0,0,694,0
694,621580,2367,0,0,694,0
703,642210,2312,0,0,703,0
703,643338,2294,0,0,703,0
703,640428,2434,0,0,703,0
703,668708,2282,0,0,703,0
703,643767,2273,0,0,703,0
712,659245,2422,0,0,712,0
712,655424,2276,0,0,712,0
712,664098,2366,0,0,712,0
712,656127,2337,0,0,712,0
712,658119,2432,0,0,712,0
721,670723,2309,0,0,721,0
721,666552,2196,0,0,721,0
721,671383,2425,0,0,721,0
721,669530,2275,0,0,721,0
721,670445,2334,0,0,721,0
730,668297,2349,0,0,730,0
730,672871,2244,0,0,730,0
730,669530,2366,0,0,730,0
730,664997,2286,0,0,730,0
730,666715,2350,0,0,730,0
739,674780,2329,0,0,739,0
739,673882,2308,0,0,739,0
739,680744,2257,0,0,739,0
739,673378,2342,0,0,739,0
739,677328,2282,0,0,739,0
748,697270,2356,0,0,748,0
748,718398,2333,0,0,748,0
748,694649,2381,0,0,748,0
748,691545,2336,0,0,748,0
748,691007,2263,0,0,748,0
757,710195,2246,0,0,757,0
757,702119,2350,0,0,757,0
757,707323,2277,0,0,757,0
757,697335,2239,0,0,757,0
757,707144,2280,0,0,757,0
766,718688,2344,0,0,766,0
766,707594,2257,0,0,766,0
766,714703,2344,0,0,766,0
766,717151,2376,0,0,766,0
766,708103,2287,0,0,766,0
775,715429,2299,0,0,775,0
775,721115,2241,0,0,775,0
775,716672,2378,0,0,775,0
775,785471,2233,0,0,775,0
775,723405,2353,0,0,775,0
784,723714,2417,0,0,784,0
784,730342,2221,0,0,784,0
784,725031,2302,0,0,784,0
784,718080,2422,0,0,784,0
784,718491,2321,0,0,784,0
793,732561,2375,0,0,793,0
793,731055,2361,0,0,793,0
793,729260,2323,0,0,793,0
793,729705,2566,0,0,793,0
793,734630,2476,0,0,793,0
802,733887,2418,0,0,802,0
802,741758,2414,0,0,802,0
802,731402,2409,0,0,802,0
802,735073,2436,0,0,802,0
802,732194,2454,0,0,802,0
811,746396,2363,0,0,811,0
811,746834,2278,0,0,811,0
811,742511,2370,0,0,811,0
811,745317,2297,0,0,811,0
811,745308,2294,0,0,811,0
820,748602,2385,0,0,820,0
820,751850,2356,0,0,820,0
820,751994,2373,0,0,820,0
820,753990,2274,0,0,820,0
820,754201,2333,0,0,820,0
829,758053,2310,0,0,829,0
829,763363,2353,0,0,829,0
829,760870,2365,0,0,829,0
829,761596,2442,0,0,829,0
829,764805,2230,0,0,829,0
838,764833,2348,0,0,838,0
838,764110,2224,0,0,838,0
838,769978,2243,0,0,838,0
838,771253,2437,0,0,838,0
838,763934,2336,0,0,838,0
847,772662,2271,0,0,847,0
847,767554,2310,0,0,847,0
847,772570,2353,0,0,847,0
847,767644,2333,0,0,847,0
847,772142,2390,0,0,847,0
856,788555,2315,0,0,856,0
856,793959,2350,0,0,856,0
856,789715,2246,0,0,856,0
856,789685,2339,0,0,856,0
856,789653,2386,0,0,856,0
865,782339,2328,0,0,865,0
865,781941,2350,0,0,865,0
865,788697,2317,0,0,865,0
865,783051,2360,0,0,865,0
865,786950,2363,0,0,865,0
874,801844,2408,0,0,874,0
874,806507,2391,0,0,874,0
874,800780,2217,0,0,874,0
874,805574,2329,0,0,874,0
874,793348,2301,0,0,874,0
883,819721,2456,0,0,883,0
883,812015,2334,0,0,883,0
883,812206,2320,0,0,883,0
883,816352,2234,0,0,883,0
883,819674,2416,0,0,883,0
892,807393,2404,0,0,892,0
892,803309,2370,0,0,892,0
892,807640,2322,0,0,892,0
892,805179,2327,0,0,892,0
892,810414,2327,0,0,892,0
901,808535,2336,0,0,901,0
901,807982,2323,0,0,901,0
901,809597,2318,0,0,901,0
901,808889,2363,0,0,901,0
901,813705,2280,0,0,901,0
910,826709,2288,0,0,910,0
910,819632,2312,0,0,910,0
910,822027,2270,0,0,910,0
910,823571,2348,0,0,910,0
910,821403,2385,0,0,910,0
919,824356,2353,0,0,919,0
919,830644,2278,0,0,919,0
919,831698,2414,0,0,919,0
919,826375,2333,0,0,919,0
919,830447,2371,0,0,919,0
928,839499,2390,0,0,928,0
928,839443,2342,0,0,928,0
928,841799,2280,0,0,928,0
928,838452,2424,0,0,928,0
928,840082,2345,0,0,928,0
937,851861,2349,0,0,937,0
937,846831,2431,0,0,937,0
937,846128,2383,0,0,937,0
937,854245,2354,0,0,937,0
937,847751,2372,0,0,937,0
946,871739,2441,0,0,946,0
946,872137,2383,0,0,946,0
946,875508,2399,0,0,946,0
946,875022,2367,0,0,946,0
946,867265,2353,0,0,946,0
955,863285,2447,0,0,955,0
955,867227,2314,0,0,955,0
955,865511,2360,0,0,955,0
955,869628,2378,0,0,955,0
955,867442,2359,0,0,955,0
964,872574,2342,0,0,964,0
964,870759,2510,0,0,964,0
964,869520,2383,0,0,964,0
964,874411,2354,0,0,964,0
964,875513,2406,0,0,964,0
973,870263,2381,0,0,973,0
973,869867,2417,0,0,973,0
973,868263,2323,0,0,973,0
973,868170,2409,0,0,973,0
973,877592,2496,0,0,973,0
982,881532,2417,0,0,982,0
982,880456,2433,0,0,982,0
982,912458,2297,0,0,982,0
982,881658,2370,0,0,982,0
982,885315,2428,0,0,982,0
991,892170,2352,0,0,991,0
991,893054,2425,0,0,991,0
991,894887,2372,0,0,991,0
991,888710,2360,0,0,991,0
991,895295,2397,0,0,991,0
1000,931030,2431,0,0,1000,0
1000,899394,2454,0,0,1000,0
1000,900163,2329,0,0,1000,0
1000,899826,2339,0,0,1000,0
1000,899653,2321,0,0,1000,0

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    6.645
    + p    0.912
              µs

Reads = 0 + (0 * p)
Writes = 0 + (1 * p)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    p   mean µs  sigma µs       %
    1     3.651     0.126    3.4%
   10     10.16     0.052    0.5%
   19     19.34     0.114    0.5%
   28     27.87     0.102    0.3%
   37     38.97     0.051    0.1%
   46     43.53     0.136    0.3%
   55     51.61       0.1    0.1%
   64     60.59     0.056    0.0%
   73     65.54      0.12    0.1%
   82     76.63     0.234    0.3%
   91      81.8     0.127    0.1%
  100     87.72     0.299    0.3%
  109     97.81     0.231    0.2%
  118     113.2     0.531    0.4%
  127     116.7     0.485    0.4%
  136     123.9     0.181    0.1%
  145     130.6     0.428    0.3%
  154     141.1     0.378    0.2%
  163     148.1     0.023    0.0%
  172     161.3     0.346    0.2%
  181     168.5     0.251    0.1%
  190     175.3     0.238    0.1%
  199     183.3      0.19    0.1%
  208     195.7     0.297    0.1%
  217     203.9      0.41    0.2%
  226     211.1     0.137    0.0%
  235     224.4     1.829    0.8%
  244       239     0.688    0.2%
  253     236.1     0.137    0.0%
  262     241.2     0.141    0.0%
  271     260.3     0.126    0.0%
  280     265.4     0.322    0.1%
  289     276.7     0.795    0.2%
  298     281.2     0.123    0.0%
  307     292.1     0.257    0.0%
  316     301.7       0.6    0.1%
  325     311.3     0.335    0.1%
  334     316.1     0.229    0.0%
  343       322     1.028    0.3%
  352     336.5     0.575    0.1%
  361     334.1     0.536    0.1%
  370     356.8      0.39    0.1%
  379     357.2     0.817    0.2%
  388     375.8     0.485    0.1%
  397     382.4     1.705    0.4%
  406     389.2     1.121    0.2%
  415     400.9     0.111    0.0%
  424     401.8     0.758    0.1%
  433     417.9     1.537    0.3%
  442     398.2     0.581    0.1%
  451     411.7     0.881    0.2%
  460       428     8.295    1.9%
  469     448.5     0.829    0.1%
  478     454.7      0.34    0.0%
  487       459     0.943    0.2%
  496     476.2      0.24    0.0%
  505       477     0.885    0.1%
  514     488.2     0.808    0.1%
  523     495.1     0.842    0.1%
  532     502.1      1.24    0.2%
  541     520.9     0.477    0.0%
  550     530.8     0.378    0.0%
  559     537.1     1.233    0.2%
  568     543.9     0.387    0.0%
  577     557.8     1.196    0.2%
  586     554.5     0.737    0.1%
  595     570.9     1.132    0.1%
  604     576.3     0.281    0.0%
  613     578.3     0.857    0.1%
  622       586     0.411    0.0%
  631     609.3     2.065    0.3%
  640       603     1.368    0.2%
  649     619.8     1.175    0.1%
  658     620.6     0.773    0.1%
  667     597.6     0.647    0.1%
  676     622.7     2.261    0.3%
  685     628.3     1.804    0.2%
  694     623.1     2.248    0.3%
  703     643.1     0.656    0.1%
  712     657.8     1.289    0.1%
  721     670.2     0.509    0.0%
  730     668.1     1.152    0.1%
  739     675.3     1.459    0.2%
  748     694.4     2.339    0.3%
  757     705.5     2.412    0.3%
  766     713.3     3.821    0.5%
  775     720.3     2.795    0.3%
  784     722.4     2.824    0.3%
  793     731.1     1.166    0.1%
  802     733.7     1.181    0.1%
  811     745.6      0.51    0.0%
  820     752.6     0.976    0.1%
  829     761.9     1.046    0.1%
  838     766.3     2.612    0.3%
  847     770.7     2.228    0.2%
  856     789.6     0.025    0.0%
  865     784.1     2.026    0.2%
  874     802.7     2.055    0.2%
  883       816     3.054    0.3%
  892     806.7     1.106    0.1%
  901       809     0.441    0.0%
  910     822.3     0.911    0.1%
  919     829.1     1.967    0.2%
  928     839.6     0.288    0.0%
  937     848.8     2.186    0.2%
  946     872.9     1.462    0.1%
  955     866.7     0.864    0.0%
  964     872.5      1.49    0.1%
  973     869.4     0.864    0.0%
  982     882.8     1.754    0.1%
  991     893.3     1.131    0.1%
 1000     899.8     0.211    0.0%

Quality and confidence:
param     error
p         0.002

Model:
Time ~=    10.11
    + p    0.908
              µs

Reads = 0 + (0 * p)
Writes = 0 + (1 * p)
