Pallet: "pallet_staking", Extrinsic: "rebond", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
l,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
   26     81.65     0.522    0.6%
   27     70.28     0.276    0.3%
   28     81.49     0.416    0.5%
   29     77.38     4.846    6.2%
   30     80.88     0.131    0.1%
   31     71.54     1.678    2.3%
   32     77.89     5.392    6.9%

Quality and confidence:
param     error
l         0.078

Model:
Time ~=    68.62
    + l     0.34
              µs

Reads = 4 + (0 * l)
Writes = 3 + (0 * l)
