Pallet: "pallet_corporate_actions", Extrinsic: "link_ca_doc", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
370,1868661,3137,380,8,1,2
370,1823473,2961,380,8,1,2
380,1833180,3436,390,8,1,2
380,1838077,2999,390,8,1,2
380,1830555,3155,390,8,1,2
380,1830325,2968,390,8,1,2
380,1834330,3231,390,8,1,2
390,1858858,3500,400,8,1,2
390,1872692,3123,400,8,1,2
390,1871693,3154,400,8,1,2
390,1875328,3171,400,8,1,2
390,1868446,3170,400,8,1,2
400,1929472,3626,410,8,1,2
400,1924150,3226,410,8,1,2
400,1934203,3169,410,8,1,2
400,1926507,3168,410,8,1,2
400,1938816,3356,410,8,1,2
410,1976682,3462,420,8,1,2
410,1990527,3168,420,8,1,2
410,2020053,3219,420,8,1,2
410,1991120,3290,420,8,1,2
410,1994445,3148,420,8,1,2
420,2033598,3619,430,8,1,2
420,2040658,3207,430,8,1,2
420,2030662,3252,430,8,1,2
420,2029035,3383,430,8,1,2
420,2045324,3273,430,8,1,2
430,2090464,3564,440,8,1,2
430,2080048,3565,440,8,1,2
430,2076873,3320,440,8,1,2
430,2082517,3195,440,8,1,2
430,2078276,3318,440,8,1,2
440,2166512,3638,450,8,1,2
440,2177070,3525,450,8,1,2
440,2200506,3578,450,8,1,2
440,2184312,3627,450,8,1,2
440,2194830,3522,450,8,1,2
450,2210557,3597,460,8,1,2
450,2221544,3613,460,8,1,2
450,2220556,3502,460,8,1,2
450,2203603,3512,460,8,1,2
450,2255256,3438,460,8,1,2
460,2279829,3610,470,8,1,2
460,2265829,3409,470,8,1,2
460,2282495,3307,470,8,1,2
460,2280991,3071,470,8,1,2
460,2247039,3569,470,8,1,2
470,2323538,3899,480,8,1,2
470,2326271,3834,480,8,1,2
470,2331849,3466,480,8,1,2
470,2313433,3601,480,8,1,2
470,2320608,3326,480,8,1,2
480,2428912,3404,490,8,1,2
480,2395861,3326,490,8,1,2
480,2371954,3460,490,8,1,2
480,2375883,3725,490,8,1,2
480,2410191,3376,490,8,1,2
490,2419814,3565,500,8,1,2
490,2427881,3373,500,8,1,2
490,2434532,3309,500,8,1,2
490,2419521,3365,500,8,1,2
490,2420828,3267,500,8,1,2
500,2527067,3686,510,8,1,2
500,2519962,3495,510,8,1,2
500,2608274,3508,510,8,1,2
500,2509195,3571,510,8,1,2
500,2525788,3797,510,8,1,2
510,2516516,3552,520,8,1,2
510,2540153,3549,520,8,1,2
510,2535756,3588,520,8,1,2
510,2544290,3292,520,8,1,2
510,2544520,3273,520,8,1,2
520,2591735,3483,530,8,1,2
520,2614999,3772,530,8,1,2
520,2612469,3747,530,8,1,2
520,2589287,3818,530,8,1,2
520,2587993,3503,530,8,1,2
530,2696377,3371,540,8,1,2
530,2708044,3463,540,8,1,2
530,2641285,4092,540,8,1,2
530,2655411,3361,540,8,1,2
530,2627487,3224,540,8,1,2
540,2659294,3446,550,8,1,2
540,2673220,3384,550,8,1,2
540,2660378,3805,550,8,1,2
540,2664795,3360,550,8,1,2
540,2666107,3646,550,8,1,2
550,2733979,3520,560,8,1,2
550,2724419,3988,560,8,1,2
550,2782235,3487,560,8,1,2
550,2711997,3706,560,8,1,2
550,2732998,3633,560,8,1,2
560,2778161,3333,570,8,1,2
560,2794022,3765,570,8,1,2
560,2786995,3365,570,8,1,2
560,2774247,3471,570,8,1,2
560,2789929,3788,570,8,1,2
570,2854550,3630,580,8,1,2
570,2865361,4092,580,8,1,2
570,2897796,3543,580,8,1,2
570,2900493,3639,580,8,1,2
570,2859198,3557,580,8,1,2
580,2908752,3543,590,8,1,2
580,3061798,3978,590,8,1,2
580,2960926,3637,590,8,1,2
580,2954577,3713,590,8,1,2
580,2900028,3820,590,8,1,2
590,2908489,3489,600,8,1,2
590,2910528,3851,600,8,1,2
590,2981393,3381,600,8,1,2
590,2919804,3621,600,8,1,2
590,2914742,3538,600,8,1,2
600,3066122,4335,610,8,1,2
600,3046389,3557,610,8,1,2
600,3014495,3642,610,8,1,2
600,3038424,3736,610,8,1,2
600,3010834,3462,610,8,1,2
610,3105010,3972,620,8,1,2
610,3075001,3618,620,8,1,2
610,3070505,3797,620,8,1,2
610,3131995,3531,620,8,1,2
610,3088542,3822,620,8,1,2
620,3265607,3812,630,8,1,2
620,3185844,3533,630,8,1,2
620,3113955,3552,630,8,1,2
620,3119988,3522,630,8,1,2
620,3133790,3624,630,8,1,2
630,3160288,3600,640,8,1,2
630,3194390,3802,640,8,1,2
630,3209383,3472,640,8,1,2
630,3159886,3652,640,8,1,2
630,3134363,4159,640,8,1,2
640,3249715,3596,650,8,1,2
640,3238252,3514,650,8,1,2
640,3211497,3700,650,8,1,2
640,3213334,3483,650,8,1,2
640,3240576,3710,650,8,1,2
650,3270098,3711,660,8,1,2
650,3217834,3599,660,8,1,2
650,3223868,3934,660,8,1,2
650,3223990,3743,660,8,1,2
650,3218228,3685,660,8,1,2
660,3409077,3667,670,8,1,2
660,3547109,3726,670,8,1,2
