Pallet: "pallet_asset", Extrinsic: "rename_asset", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
381,41132,2041,7,10,1,2
391,41132,2047,7,10,1,2
391,41047,2087,7,10,1,2
391,40978,2023,7,10,1,2
391,41460,2034,7,10,1,2
391,41184,2041,7,10,1,2
401,41229,2144,7,10,1,2
401,41628,2103,7,10,1,2
401,41087,2049,7,10,1,2
401,41136,2098,7,10,1,2
401,41595,2146,7,10,1,2
411,40712,2153,7,10,1,2
411,41338,2060,7,10,1,2
411,41348,2102,7,10,1,2
411,41341,2096,7,10,1,2
411,41458,2145,7,10,1,2
421,41263,2089,7,10,1,2
421,41038,2064,7,10,1,2
421,41319,2074,7,10,1,2
421,41689,2115,7,10,1,2
421,41219,2088,7,10,1,2
431,41144,2079,7,10,1,2
431,41421,2067,7,10,1,2
431,41257,2105,7,10,1,2
431,41217,2103,7,10,1,2
431,41084,2114,7,10,1,2
441,41473,2078,7,10,1,2
441,40952,2109,7,10,1,2
441,41114,2132,7,10,1,2
441,41227,2124,7,10,1,2
441,40856,2077,7,10,1,2
451,40738,2069,7,10,1,2
451,40909,2108,7,10,1,2
451,41580,2005,7,10,1,2
451,40881,2049,7,10,1,2
451,40462,2005,7,10,1,2
461,41109,2132,7,10,1,2
461,41469,2050,7,10,1,2
461,41167,2064,7,10,1,2
461,41034,2088,7,10,1,2
461,41472,2034,7,10,1,2
471,41260,2099,7,10,1,2
471,40952,2038,7,10,1,2
471,41141,2138,7,10,1,2
471,41176,2100,7,10,1,2
471,41259,2094,7,10,1,2
481,41314,2097,7,10,1,2
481,40845,2066,7,10,1,2
481,41306,2033,7,10,1,2
481,41087,2124,7,10,1,2
481,41875,2008,7,10,1,2
491,41260,2172,7,10,1,2
491,41477,2112,7,10,1,2
491,41016,2157,7,10,1,2
491,41307,2070,7,10,1,2
491,41104,2085,7,10,1,2
501,41134,2095,7,10,1,2
501,41208,2076,7,10,1,2
501,40961,2203,7,10,1,2
501,41481,2178,7,10,1,2
501,40870,2110,7,10,1,2
511,41130,2074,7,10,1,2
511,41267,2146,7,10,1,2
511,41120,1965,7,10,1,2
511,41807,2066,7,10,1,2
511,41662,2060,7,10,1,2
521,40796,2117,7,10,1,2
521,41288,2117,7,10,1,2
