Pallet: "pallet_utility", Extrinsic: "batch_transfer", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
c,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,34037,5175,0,4,0,2
0,36904,5162,0,4,0,2
0,36658,4717,0,4,0,2
0,36740,5114,0,4,0,2
0,40207,5126,0,4,0,2
1,252587,5789,13,13,4,2
1,255824,4979,13,13,4,2
1,278490,5003,13,13,4,2
1,250094,4812,13,13,4,2
1,248750,4810,13,13,4,2
2,421712,5129,13,30,4,2
2,461673,6125,13,30,4,2
2,412248,4866,13,30,4,2
2,415907,5432,13,30,4,2
2,463323,5678,13,30,4,2
3,570298,5480,13,47,4,2
3,573894,5243,13,47,4,2
3,622417,5658,13,47,4,2
3,628812,5792,13,47,4,2
3,639721,5257,13,47,4,2
4,815088,5586,13,64,4,2
4,759062,5421,13,64,4,2
4,716753,4616,13,64,4,2
4,732644,4927,13,64,4,2
4,765057,5648,13,64,4,2
5,986720,5693,13,81,4,2
5,1498260,8364,13,81,4,2
5,896397,5242,13,81,4,2
5,971673,5863,13,81,4,2
5,943729,5241,13,81,4,2
6,1188687,6696,13,98,4,2
6,1184805,6613,13,98,4,2
6,1170914,6691,13,98,4,2
6,1228148,6929,13,98,4,2
6,1328216,6534,13,98,4,2
7,1343622,6380,13,115,4,2
7,1244699,6066,13,115,4,2
7,1326071,5801,13,115,4,2
7,1210529,4700,13,115,4,2
7,1093653,4379,13,115,4,2
8,1355192,6439,13,132,4,2
8,1524592,5237,13,132,4,2
8,1285082,4966,13,132,4,2
8,1512110,5030,13,132,4,2
8,1444050,5171,13,132,4,2
9,1510618,5741,13,149,4,2
9,1561973,5816,13,149,4,2
9,1717611,5864,13,149,4,2
9,1494077,5440,13,149,4,2
9,1538823,5097,13,149,4,2
10,1801871,4707,13,166,4,2
10,1697931,5451,13,166,4,2
10,1723527,5099,13,166,4,2
10,1836686,5719,13,166,4,2
10,1846760,5476,13,166,4,2
11,1861405,5565,13,183,4,2
11,1877256,5521,13,183,4,2
11,1895672,5409,13,183,4,2
11,1862328,5577,13,183,4,2
11,1900704,5405,13,183,4,2
12,1898842,4926,13,200,4,2
12,1782606,5048,13,200,4,2
12,1963394,5395,13,200,4,2
12,1990397,4594,13,200,4,2
12,3472832,7378,13,200,4,2
13,1985998,6369,13,217,4,2
13,2241323,5763,13,217,4,2
13,2174032,4689,13,217,4,2
13,2184119,4678,13,217,4,2
13,2105479,5498,13,217,4,2
14,2177583,4971,13,234,4,2
14,2054388,5017,13,234,4,2
14,2355471,5855,13,234,4,2
14,2362119,4945,13,234,4,2
14,2125961,4380,13,234,4,2
15,2141560,4410,13,251,4,2
15,2632795,4344,13,251,4,2
15,2270573,4231,13,251,4,2
15,2373399,5186,13,251,4,2
15,2206182,4265,13,251,4,2
16,2625558,5242,13,268,4,2
16,2660231,6250,13,268,4,2
16,2509988,4878,13,268,4,2
16,2567013,5244,13,268,4,2
16,2512586,4811,13,268,4,2
17,2814877,5654,13,285,4,2
17,2585727,5358,13,285,4,2
17,2815631,5164,13,285,4,2
17,2703867,5464,13,285,4,2
17,2649002,4470,13,285,4,2
18,2721867,4735,13,302,4,2
18,2793204,4677,13,302,4,2
18,2612409,4316,13,302,4,2
18,2836720,4306,13,302,4,2
18,2694177,4865,13,302,4,2
19,3165165,5044,13,319,4,2
19,3255825,5259,13,319,4,2
19,3039119,4475,13,319,4,2
19,3100985,4973,13,319,4,2
19,3031364,4441,13,319,4,2
20,3271877,5378,13,336,4,2
20,3048767,4534,13,336,4,2
20,3155863,5076,13,336,4,2
20,3131734,4792,13,336,4,2
20,3207273,4315,13,336,4,2
21,3751588,5345,13,353,4,2
21,3140917,4327,13,353,4,2
21,3523447,4211,13,353,4,2
21,3423732,4868,13,353,4,2
21,3311436,4596,13,353,4,2
22,3749534,5473,13,370,4,2
22,3422337,5679,13,370,4,2
22,3350558,5291,13,370,4,2
22,3564827,4988,13,370,4,2
22,3552882,4356,13,370,4,2
23,3522164,4353,13,387,4,2
23,3540608,4653,13,387,4,2
23,3712280,17370,13,387,4,2
23,3531642,4666,13,387,4,2
23,3435502,5159,13,387,4,2
24,3656951,5312,13,404,4,2
24,3682123,5367,13,404,4,2
24,3920670,5104,13,404,4,2
24,3572220,4480,13,404,4,2
24,4324302,5585,13,404,4,2
25,3952273,4552,13,421,4,2
25,3880075,4929,13,421,4,2
25,4275024,4397,13,421,4,2
25,3960527,5517,13,421,4,2
25,4237209,5485,13,421,4,2
26,4293096,4703,13,438,4,2
26,4018739,4489,13,438,4,2
26,4063661,4595,13,438,4,2
26,3884729,5130,13,438,4,2
26,4149755,5101,13,438,4,2
27,4000512,4569,13,455,4,2
27,4099228,4630,13,455,4,2
27,4074456,4907,13,455,4,2
27,4105733,4426,13,455,4,2
27,4393501,5147,13,455,4,2
28,4483160,5099,13,472,4,2
28,4224294,5115,13,472,4,2
28,4255239,5493,13,472,4,2
28,4397189,5497,13,472,4,2
28,4395497,5894,13,472,4,2
29,4421040,5299,13,489,4,2
29,4659145,5497,13,489,4,2
29,4309186,4694,13,489,4,2
29,4245690,4437,13,489,4,2
29,4862859,17551,13,489,4,2
30,4750234,5709,13,506,4,2
30,4731397,5422,13,506,4,2
30,4563462,5212,13,506,4,2
30,4720659,4927,13,506,4,2
30,4702320,5527,13,506,4,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    162.4
    + c    150.4
              µs

Reads = 13 + (0 * c)
Writes = 4 + (0 * c)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    c   mean µs  sigma µs       %
    0     36.76     0.102    0.2%
    1     252.8     2.345    0.9%
    2       433     20.34    4.6%
    3     608.3     24.52    4.0%
    4     752.2     14.08    1.8%
    5     967.3     17.81    1.8%
    6      1200     19.58    1.6%
    7      1260     48.46    3.8%
    8      1437     64.24    4.4%
    9      1537     20.99    1.3%
   10      1787     47.32    2.6%
   11      1878     13.63    0.7%
   12      1950     38.41    1.9%
   13      2154     34.93    1.6%
   14      2219     98.31    4.4%
   15      2283     68.86    3.0%
   16      2568     46.13    1.7%
   17      2722     68.99    2.5%
   18      2736     41.71    1.5%
   19      3101     51.46    1.6%
   20      3164      31.5    0.9%
   21      3419      86.6    2.5%
   22      3513     64.53    1.8%
   23      3531      7.53    0.2%
   24      3753     118.8    3.1%
   25      4050     132.4    3.2%
   26      4077     54.36    1.3%
   27      4093     13.47    0.3%
   28      4349     66.52    1.5%
   29      4463     145.9    3.2%
   30      4718        12    0.2%

Quality and confidence:
param     error
c         1.126

Model:
Time ~=    170.7
    + c    149.9
              µs

Reads = 11 + (0 * c)
Writes = 4 + (0 * c)
