Pallet: "pallet_portfolio", Extrinsic: "create_portfolio", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
153,181329,5215,8,8,2,2
153,140593,4723,8,8,2,2
157,140227,4964,8,8,2,2
157,158469,4791,8,8,2,2
157,122741,4742,8,8,2,2
157,120174,4122,8,8,2,2
157,176065,5376,8,8,2,2
161,133135,4074,8,8,2,2
161,139403,4504,8,8,2,2
161,120653,4046,8,8,2,2
161,153711,5032,8,8,2,2
161,139553,4840,8,8,2,2
165,120721,4174,8,8,2,2
165,120234,4176,8,8,2,2
165,153420,4299,8,8,2,2
165,121487,4003,8,8,2,2
165,140473,4677,8,8,2,2
169,139598,4687,8,8,2,2
169,121207,4018,8,8,2,2
169,139678,4696,8,8,2,2
169,120915,3988,8,8,2,2
169,140464,4511,8,8,2,2
173,142040,4173,8,8,2,2
173,120414,4296,8,8,2,2
173,121374,4182,8,8,2,2
173,122111,4299,8,8,2,2
173,120974,4265,8,8,2,2
177,121119,4162,8,8,2,2
177,140030,4607,8,8,2,2
177,121208,4132,8,8,2,2
177,140578,4673,8,8,2,2
177,121096,3898,8,8,2,2
181,121650,4450,8,8,2,2
181,140038,4845,8,8,2,2
181,120705,4059,8,8,2,2
181,120716,4290,8,8,2,2
181,140422,4650,8,8,2,2
185,139931,4808,8,8,2,2
185,128049,4593,8,8,2,2
185,156553,5360,8,8,2,2
185,123675,4223,8,8,2,2
185,173679,4824,8,8,2,2
189,141804,4945,8,8,2,2
189,142321,4823,8,8,2,2
189,141590,4993,8,8,2,2
189,204911,5614,8,8,2,2
189,155706,5173,8,8,2,2
193,149767,4532,8,8,2,2
193,141795,5345,8,8,2,2
193,152842,4699,8,8,2,2
193,140510,4788,8,8,2,2
193,161157,4588,8,8,2,2
197,122010,4548,8,8,2,2
197,148574,4234,8,8,2,2
197,124372,4397,8,8,2,2
197,141403,4634,8,8,2,2
197,140007,4804,8,8,2,2
201,139558,4200,8,8,2,2
201,141818,4730,8,8,2,2
201,140260,4713,8,8,2,2
201,121906,3942,8,8,2,2
201,140537,4609,8,8,2,2
205,140199,4716,8,8,2,2
205,121547,4247,8,8,2,2
205,151695,4762,8,8,2,2
205,122137,4265,8,8,2,2
205,120727,4287,8,8,2,2
209,121094,4260,8,8,2,2
209,121360,4152,8,8,2,2
209,121478,4267,8,8,2,2
209,120478,4119,8,8,2,2
209,121284,4022,8,8,2,2
213,120857,4145,8,8,2,2
213,161449,4665,8,8,2,2
213,145345,4672,8,8,2,2
213,121530,4110,8,8,2,2
213,140441,4847,8,8,2,2
217,139536,4591,8,8,2,2
217,139888,4513,8,8,2,2
217,122354,4033,8,8,2,2
217,120689,3969,8,8,2,2
217,146159,3965,8,8,2,2
221,156618,5193,8,8,2,2
221,121899,4169,8,8,2,2
221,140880,4899,8,8,2,2
221,118894,4036,8,8,2,2
221,141636,4942,8,8,2,2
225,150673,4962,8,8,2,2
225,122692,4162,8,8,2,2
225,121455,4080,8,8,2,2
225,155419,5936,8,8,2,2
225,121712,4243,8,8,2,2
229,123122,4361,8,8,2,2
229,163969,4326,8,8,2,2
229,119622,4149,8,8,2,2
229,141210,4593,8,8,2,2
229,130006,4085,8,8,2,2
233,123123,4462,8,8,2,2
233,142524,4668,8,8,2,2
233,121362,4076,8,8,2,2
233,157888,4730,8,8,2,2
233,122981,4172,8,8,2,2
237,141532,5052,8,8,2,2
237,121942,4083,8,8,2,2
237,121269,4155,8,8,2,2
237,124548,4352,8,8,2,2
237,142012,4564,8,8,2,2
241,141090,4887,8,8,2,2
241,122547,4344,8,8,2,2
241,141227,4842,8,8,2,2
241,141429,16801,8,8,2,2
241,140649,4663,8,8,2,2
245,142290,4954,8,8,2,2
245,122257,4106,8,8,2,2
245,140814,4701,8,8,2,2
245,140345,4681,8,8,2,2
245,122287,4113,8,8,2,2
249,141231,4142,8,8,2,2
249,140260,4753,8,8,2,2
249,122056,4096,8,8,2,2
249,140771,4804,8,8,2,2
249,122554,4114,8,8,2,2
253,131935,4128,8,8,2,2
253,142208,4666,8,8,2,2
253,159581,4794,8,8,2,2
253,151280,4671,8,8,2,2
253,145310,4139,8,8,2,2
257,142798,5036,8,8,2,2
257,149666,4994,8,8,2,2
257,123855,4298,8,8,2,2
257,141247,4757,8,8,2,2
257,121393,4978,8,8,2,2
261,122425,4279,8,8,2,2
261,121558,4116,8,8,2,2
261,151770,4318,8,8,2,2
261,121675,4221,8,8,2,2
261,141533,4672,8,8,2,2
265,141720,4996,8,8,2,2
265,118830,4099,8,8,2,2
265,141821,4736,8,8,2,2
265,142118,4972,8,8,2,2
265,162862,4691,8,8,2,2
269,121453,4363,8,8,2,2
269,141146,4723,8,8,2,2
