Pallet: "pallet_settlement", Extrinsic: "create_venue", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
100000,40,106524,2480,8,8,43,2
100000,40,106486,2412,8,8,43,2
100000,40,107042,2341,8,8,43,2
100000,40,105727,2294,8,8,43,2
100000,41,108818,2421,8,8,44,2
100000,41,107529,2306,8,8,44,2
100000,41,108279,2313,8,8,44,2
100000,41,107788,2360,8,8,44,2
100000,41,107623,2298,8,8,44,2
100000,42,109915,2405,8,8,45,2
100000,42,110768,2340,8,8,45,2
100000,42,110246,2349,8,8,45,2
100000,42,110199,2392,8,8,45,2
100000,42,114304,2306,8,8,45,2
100000,43,110772,2434,8,8,46,2
100000,43,110744,2379,8,8,46,2
100000,43,111396,2357,8,8,46,2
100000,43,111787,2414,8,8,46,2
100000,43,110720,2495,8,8,46,2
100000,44,112110,2381,8,8,47,2
100000,44,111658,2350,8,8,47,2
100000,44,111439,2285,8,8,47,2
100000,44,111995,2330,8,8,47,2
100000,44,111341,2379,8,8,47,2
100000,45,113514,2493,8,8,48,2
100000,45,113291,2374,8,8,48,2
100000,45,113773,2430,8,8,48,2
100000,45,113624,2343,8,8,48,2
100000,45,112124,2375,8,8,48,2
100000,46,113565,2326,8,8,49,2
100000,46,114156,2313,8,8,49,2
100000,46,113026,2349,8,8,49,2
100000,46,112540,2340,8,8,49,2
100000,46,113219,2463,8,8,49,2
100000,47,114657,2444,8,8,50,2
100000,47,115406,2351,8,8,50,2
100000,47,115399,2337,8,8,50,2
100000,47,115889,2372,8,8,50,2
100000,47,115194,2395,8,8,50,2
100000,48,115330,2418,8,8,51,2
100000,48,116964,2361,8,8,51,2
100000,48,116253,2265,8,8,51,2
100000,48,116076,2314,8,8,51,2
100000,48,116616,2526,8,8,51,2
100000,49,117470,2411,8,8,52,2
100000,49,117306,2383,8,8,52,2
100000,49,117109,2368,8,8,52,2
100000,49,121307,2403,8,8,52,2
100000,49,117266,2380,8,8,52,2
100000,50,117538,2349,8,8,53,2
100000,50,117052,2318,8,8,53,2
100000,50,118299,2397,8,8,53,2
100000,50,118058,2377,8,8,53,2
100000,50,118579,2278,8,8,53,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    40.08
    + d        0
    + s      1.1
              µs

Reads = 8 + (0 * d) + (0 * s)
Writes = 3 + (0 * d) + (1 * s)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    d     s   mean µs  sigma µs       %
    1    50     94.12     0.228    0.2%
 1000    50     94.94     0.402    0.4%
 1999    50     96.34      0.22    0.2%
 2998    50     96.73     0.225    0.2%
 3997    50     96.76     0.311    0.3%
 4996    50     96.53     0.403    0.4%
 5995    50      96.9     0.572    0.5%
 6994    50     96.81     0.349    0.3%
 7993    50     97.15     0.366    0.3%
 8992    50     96.84     0.132    0.1%
 9991    50     96.84     0.118    0.1%
10990    50     97.54     0.069    0.0%
11989    50     96.98     0.253    0.2%
12988    50     97.25     0.126    0.1%
13987    50      97.8     0.114    0.1%
14986    50     97.59     0.223    0.2%
15985    50      98.1     0.047    0.0%
16984    50      98.7     0.042    0.0%
17983    50     98.87     0.124    0.1%
18982    50     99.37     0.338    0.3%
19981    50     99.61      0.17    0.1%
20980    50     99.99     0.201    0.2%
21979    50     99.81     0.129    0.1%
22978    50     99.16     0.154    0.1%
23977    50     99.55     0.411    0.4%
24976    50     99.89     0.215    0.2%
25975    50     100.2     0.217    0.2%
26974    50     100.6     0.245    0.2%
27973    50     100.6     0.089    0.0%
28972    50     100.5     0.318    0.3%
29971    50     101.2     0.395    0.3%
30970    50     99.73     0.242    0.2%
31969    50     100.4     0.132    0.1%
32968    50     101.4     0.119    0.1%
33967    50     102.2     0.078    0.0%
34966    50     101.5     0.159    0.1%
35965    50     102.2     0.228    0.2%
36964    50     101.9     0.255    0.2%
37963    50       102     0.373    0.3%
38962    50     102.5     0.251    0.2%
39961    50     102.8     0.171    0.1%
40960    50       103     0.182    0.1%
41959    50     103.2     0.125    0.1%
42958    50     102.8     0.397    0.3%
43957    50     103.2      0.35    0.3%
44956    50     103.4     0.108    0.1%
45955    50     103.4     0.366    0.3%
46954    50       104      0.06    0.0%
47953    50     103.6     0.109    0.1%
48952    50     104.3     0.358    0.3%
49951    50     104.5     0.059    0.0%
50950    50     105.3     0.263    0.2%
51949    50       105     0.035    0.0%
52948    50     104.9     0.036    0.0%
53947    50     104.9     0.402    0.3%
54946    50     105.6     0.662    0.6%
55945    50       106     0.276    0.2%
56944    50       106     0.085    0.0%
57943    50       106     0.355    0.3%
58942    50     106.4     0.373    0.3%
59941    50     106.6     0.201    0.1%
60940    50     106.8     0.197    0.1%
61939    50       107     0.111    0.1%
62938    50     106.8     0.462    0.4%
63937    50     107.2     0.171    0.1%
64936    50     107.5     0.071    0.0%
65935    50     109.6     0.159    0.1%
66934    50     109.7     0.428    0.3%
67933    50     109.1     0.176    0.1%
68932    50     109.8      0.21    0.1%
69931    50     109.7     0.459    0.4%
70930    50     110.3     0.348    0.3%
71929    50     110.4     0.203    0.1%
72928    50     110.7     0.423    0.3%
73927    50     110.5     0.095    0.0%
74926    50     110.9     0.184    0.1%
75925    50       112     0.469    0.4%
76924    50     111.6     0.345    0.3%
77923    50     111.8     0.238    0.2%
78922    50     111.6     0.099    0.0%
79921    50     109.8     0.228    0.2%
80920    50     109.9     0.253    0.2%
81919    50       110     0.391    0.3%
82918    50     111.1     0.533    0.4%
83917    50     110.7     0.342    0.3%
84916    50       111     0.104    0.0%
85915    50     111.7     0.414    0.3%
86914    50     111.7     0.365    0.3%
87913    50     111.8     0.371    0.3%
88912    50     111.5      0.14    0.1%
89911    50     112.4     0.363    0.3%
90910    50       112     0.219    0.1%
91909    50     111.8     0.129    0.1%
92908    50     112.2      0.46    0.4%
93907    50     111.9     0.141    0.1%
94906    50     112.7     0.185    0.1%
95905    50     112.6     0.684    0.6%
96904    50     112.8     0.281    0.2%
97903    50     115.6     0.125    0.1%
98902    50     115.8     0.344    0.2%
99901    50     116.5     0.091    0.0%
100000     0     60.87     0.294    0.4%
100000     1     62.57     0.254    0.4%
100000     2     63.52     0.182    0.2%
100000     3     64.51     0.175    0.2%
100000     4     66.71     0.224    0.3%
100000     5        68     0.175    0.2%
100000     6     69.46      0.12    0.1%
100000     7     71.21     0.083    0.1%
100000     8     72.54     0.389    0.5%
100000     9     74.02     0.164    0.2%
100000    10     74.53     0.153    0.2%
100000    11     76.05     0.171    0.2%
100000    12     77.33     0.295    0.3%
100000    13     78.35     0.355    0.4%
100000    14     79.17     0.069    0.0%
100000    15     80.41      0.07    0.0%
100000    16      82.9      0.06    0.0%
100000    17     83.24     0.154    0.1%
100000    18     84.65     0.142    0.1%
100000    19     84.39     0.203    0.2%
100000    20     85.76     0.168    0.1%
100000    21     87.34     0.062    0.0%
100000    22     87.94     0.373    0.4%
100000    23     88.85     0.056    0.0%
100000    24     90.57     0.092    0.1%
100000    25     91.02     0.348    0.3%
100000    26     93.43     0.248    0.2%
100000    27     94.15     0.054    0.0%
100000    28     93.27     0.122    0.1%
100000    29     95.62     0.118    0.1%
100000    30     96.09     0.113    0.1%
100000    31      97.5     0.414    0.4%
100000    32     97.46     0.358    0.3%
100000    33     99.46     0.168    0.1%
100000    34     100.2     0.431    0.4%
100000    35     100.9     0.056    0.0%
100000    36     102.3     0.355    0.3%
100000    37       104     0.311    0.2%
100000    38     104.5     0.252    0.2%
100000    39     105.4      0.32    0.3%
100000    40     106.2     0.349    0.3%
100000    41     107.8     0.278    0.2%
100000    42     110.4     0.257    0.2%
100000    43     110.9       0.3    0.2%
100000    44     111.6     0.228    0.2%
100000    45     113.4     0.138    0.1%
100000    46     113.2     0.222    0.1%
100000    47     115.3     0.098    0.0%
100000    48     116.3     0.224    0.1%
100000    49     117.3     0.088    0.0%
100000    50     117.9     0.317    0.2%

Quality and confidence:
param     error
d             0
s         0.005

Model:
Time ~=    42.91
    + d        0
    + s    1.032
              µs

Reads = 8 + (0 * d) + (0 * s)
Writes = 3 + (0 * d) + (1 * s)
