Pallet: "pallet_settlement", Extrinsic: "create_venue", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
31969,50,100802,2390,8,8,53,2
31969,50,100266,2329,8,8,53,2
32968,50,101525,2455,8,8,53,2
32968,50,101550,2365,8,8,53,2
32968,50,100904,2339,8,8,53,2
32968,50,101285,2386,8,8,53,2
32968,50,105295,2421,8,8,53,2
33967,50,102099,2489,8,8,53,2
33967,50,101839,2369,8,8,53,2
33967,50,102281,2334,8,8,53,2
33967,50,102647,2314,8,8,53,2
33967,50,102246,2351,8,8,53,2
34966,50,101732,2279,8,8,53,2
34966,50,101266,2310,8,8,53,2
34966,50,102189,2289,8,8,53,2
34966,50,101358,2210,8,8,53,2
34966,50,101645,2409,8,8,53,2
35965,50,101931,2381,8,8,53,2
35965,50,102487,2407,8,8,53,2
35965,50,101793,2396,8,8,53,2
35965,50,132725,2378,8,8,53,2
35965,50,102267,2299,8,8,53,2
36964,50,103080,2314,8,8,53,2
36964,50,101594,2368,8,8,53,2
36964,50,102188,2285,8,8,53,2
36964,50,101564,2291,8,8,53,2
36964,50,102062,2410,8,8,53,2
37963,50,101543,2306,8,8,53,2
37963,50,102225,2288,8,8,53,2
37963,50,100819,2253,8,8,53,2
37963,50,102413,2305,8,8,53,2
37963,50,102538,2253,8,8,53,2
38962,50,102137,2369,8,8,53,2
38962,50,102876,2335,8,8,53,2
38962,50,102850,2312,8,8,53,2
38962,50,102507,2442,8,8,53,2
38962,50,102235,2322,8,8,53,2
39961,50,103092,2406,8,8,53,2
39961,50,102732,2337,8,8,53,2
39961,50,103281,2349,8,8,53,2
39961,50,101529,2338,8,8,53,2
39961,50,102723,2350,8,8,53,2
40960,50,103588,2214,8,8,53,2
40960,50,102765,2239,8,8,53,2
40960,50,102299,2360,8,8,53,2
40960,50,103207,2283,8,8,53,2
40960,50,103046,2261,8,8,53,2
41959,50,103108,2449,8,8,53,2
41959,50,103411,2304,8,8,53,2
41959,50,103215,2431,8,8,53,2
41959,50,103760,2371,8,8,53,2
41959,50,102416,2382,8,8,53,2
42958,50,102189,2363,8,8,53,2
42958,50,103391,2425,8,8,53,2
