Pallet: "pallet_staking", Extrinsic: "set_invulnerables", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
380,7510,3486,0,0,1,0
390,9809,4008,0,0,1,0
390,9085,3530,0,0,1,0
390,9021,3446,0,0,1,0
390,8885,3487,0,0,1,0
390,8800,3507,0,0,1,0
400,8885,3801,0,0,1,0
400,7445,2995,0,0,1,0
400,7609,2978,0,0,1,0
400,8716,3415,0,0,1,0
400,7444,3010,0,0,1,0
410,8021,3183,0,0,1,0
410,8888,3365,0,0,1,0
410,8812,3367,0,0,1,0
410,9514,3768,0,0,1,0
410,10004,3945,0,0,1,0
420,7944,3097,0,0,1,0
420,8974,3396,0,0,1,0
420,7757,3199,0,0,1,0
420,9945,3998,0,0,1,0
420,8950,3380,0,0,1,0
430,9563,3881,0,0,1,0
430,9533,3405,0,0,1,0
430,9172,3606,0,0,1,0
430,7768,2917,0,0,1,0
430,7805,3654,0,0,1,0
440,8017,3238,0,0,1,0
440,9261,3579,0,0,1,0
440,8062,2897,0,0,1,0
440,9016,3334,0,0,1,0
440,7780,2909,0,0,1,0
450,9552,3938,0,0,1,0
450,9149,3411,0,0,1,0
450,8966,3279,0,0,1,0
450,9303,3710,0,0,1,0
450,12064,4767,0,0,1,0
460,8279,3258,0,0,1,0
460,8055,3055,0,0,1,0
460,9437,3683,0,0,1,0
460,9526,3546,0,0,1,0
460,9572,3436,0,0,1,0
470,8343,3100,0,0,1,0
470,8518,3149,0,0,1,0
470,10030,3975,0,0,1,0
470,8223,3017,0,0,1,0
470,8214,3067,0,0,1,0
480,8463,3328,0,0,1,0
480,9693,3563,0,0,1,0
480,8426,3014,0,0,1,0
480,8525,3459,0,0,1,0
480,8285,3598,0,0,1,0
490,9706,3215,0,0,1,0
490,8658,3133,0,0,1,0
490,19044,2879,0,0,1,0
490,10309,3939,0,0,1,0
490,9753,3705,0,0,1,0
500,8481,3751,0,0,1,0
500,10008,3750,0,0,1,0
500,9873,3622,0,0,1,0
500,8295,2967,0,0,1,0
500,9973,3422,0,0,1,0
510,9940,4130,0,0,1,0
510,9967,3462,0,0,1,0
510,9605,3527,0,0,1,0
510,13858,4855,0,0,1,0
510,9901,3730,0,0,1,0
520,10410,3778,0,0,1,0
520,10654,3683,0,0,1,0
520,8725,10511,0,0,1,0
520,10484,3507,0,0,1,0
520,10327,3403,0,0,1,0
530,11974,4483,0,0,1,0
530,10441,3515,0,0,1,0
530,10284,3475,0,0,1,0
530,9310,3801,0,0,1,0
530,10526,3711,0,0,1,0
540,9004,3094,0,0,1,0
540,9439,3384,0,0,1,0
540,8988,3658,0,0,1,0
