Pallet: "pallet_staking", Extrinsic: "payout_stakers", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
761,442890,7147,13,7,4,3
781,392717,7737,13,7,4,3
781,402549,8490,13,7,4,3
781,380925,7462,13,7,4,3
781,470718,6895,13,7,4,3
781,371396,6917,13,7,4,3
801,490285,7783,13,7,4,3
801,357278,6665,13,7,4,3
801,340982,10355,13,7,4,3
801,374649,6635,13,7,4,3
801,462808,6820,13,7,4,3
821,459718,8060,13,7,4,3
821,400597,8538,13,7,4,3
821,350085,6977,13,7,4,3
821,370071,10320,13,7,4,3
821,363420,9576,13,7,4,3
841,347137,7002,13,7,4,3
841,345321,6796,13,7,4,3
841,374218,7555,13,7,4,3
841,395435,8319,13,7,4,3
841,333450,6468,13,7,4,3
861,375388,8166,13,7,4,3
861,370321,19938,13,7,4,3
861,440339,8543,13,7,4,3
861,379074,10106,13,7,4,3
861,398141,6918,13,7,4,3
881,404146,7225,13,7,4,3
881,463833,8203,13,7,4,3
881,434026,7916,13,7,4,3
881,402540,7417,13,7,4,3
881,389373,9081,13,7,4,3
901,381401,17410,13,7,4,3
901,442489,10608,13,7,4,3
901,419880,8396,13,7,4,3
901,402745,19935,13,7,4,3
901,412737,6785,13,7,4,3
921,393480,7944,13,7,4,3
921,377748,7839,13,7,4,3
921,409467,10999,13,7,4,3
921,395841,7035,13,7,4,3
921,371513,6933,13,7,4,3
941,442501,7758,13,7,4,3
941,334224,17345,13,7,4,3
941,377461,7658,13,7,4,3
941,434110,7632,13,7,4,3
941,366227,7717,13,7,4,3
961,349369,7186,13,7,4,3
961,381232,6516,13,7,4,3
961,440278,10471,13,7,4,3
961,426461,8183,13,7,4,3
961,376775,7179,13,7,4,3
981,340810,6872,13,7,4,3
981,349374,7439,13,7,4,3
981,462364,8523,13,7,4,3
981,445594,7150,13,7,4,3
981,334883,7467,13,7,4,3
1001,383077,7667,13,7,4,3
1001,383468,7025,13,7,4,3
1001,389680,8112,13,7,4,3
1001,358920,7530,13,7,4,3
1001,420880,9055,13,7,4,3
1021,326313,6523,13,7,4,3
1021,363758,7202,13,7,4,3
1021,378785,7302,13,7,4,3
1021,412774,7448,13,7,4,3
1021,398208,7190,13,7,4,3
1041,359303,10149,13,7,4,3
1041,421366,7486,13,7,4,3
1041,405515,7364,13,7,4,3
1041,422728,7983,13,7,4,3
1041,366344,7551,13,7,4,3
1061,413720,12284,13,7,4,3
1061,368858,10052,13,7,4,3
1061,600761,11812,13,7,4,3
1061,329344,7025,13,7,4,3
1061,334722,6521,13,7,4,3
1081,339990,6738,13,7,4,3
1081,383547,11517,13,7,4,3
1081,350210,6487,13,7,4,3
1081,409216,7074,13,7,4,3
1081,324961,6574,13,7,4,3
1101,414844,7283,13,7,4,3
1101,358752,8431,13,7,4,3
1101,429381,7599,13,7,4,3
1101,426644,7169,13,7,4,3
1101,379907,6493,13,7,4,3
1121,333437,18203,13,7,4,3
1121,388560,6756,13,7,4,3
1121,410018,6942,13,7,4,3
1121,373272,7388,13,7,4,3
1121,331245,10390,13,7,4,3
1141,396554,9984,13,7,4,3
1141,406183,7786,13,7,4,3
1141,436257,7578,13,7,4,3
1141,392805,15742,13,7,4,3
1141,408039,9003,13,7,4,3
1161,387744,7704,13,7,4,3
1161,418794,7848,13,7,4,3
1161,331702,8172,13,7,4,3
1161,366796,7039,13,7,4,3
1161,343855,10785,13,7,4,3
1181,392404,7447,13,7,4,3
1181,368878,6872,13,7,4,3
1181,413559,7918,13,7,4,3
1181,332465,7045,13,7,4,3
1181,398032,8231,13,7,4,3
1201,374253,7170,13,7,4,3
1201,377937,8305,13,7,4,3
1201,370312,7160,13,7,4,3
1201,366423,6520,13,7,4,3
1201,490230,8016,13,7,4,3
1221,440241,7199,13,7,4,3
1221,455069,7730,13,7,4,3
1221,441259,7266,13,7,4,3
1221,490011,8222,13,7,4,3
1221,406721,9217,13,7,4,3
1241,328626,6900,13,7,4,3
