Pallet: "pallet_asset", Extrinsic: "remove_documents", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
39,139671,2304,7,82,38,2
40,140659,2393,7,84,39,2
40,142118,2330,7,84,39,2
40,141641,2434,7,84,39,2
40,142164,2383,7,84,39,2
40,142139,2422,7,84,39,2
41,144960,2475,7,86,40,2
41,142711,2516,7,86,40,2
41,143674,2408,7,86,40,2
41,143818,2414,7,86,40,2
41,142497,2376,7,86,40,2
42,146006,2373,7,88,41,2
42,146813,2380,7,88,41,2
42,146647,2367,7,88,41,2
42,146042,2355,7,88,41,2
42,147108,2446,7,88,41,2
43,148574,2373,7,90,42,2
43,149182,2372,7,90,42,2
43,147344,2395,7,90,42,2
43,149290,2448,7,90,42,2
43,146303,2424,7,90,42,2
44,150987,2292,7,92,43,2
44,150934,2296,7,92,43,2
44,150801,2366,7,92,43,2
44,149708,2337,7,92,43,2
44,150908,2350,7,92,43,2
45,154653,2370,7,94,44,2
45,152488,2337,7,94,44,2
45,153652,2356,7,94,44,2
45,151560,2406,7,94,44,2
45,154409,2404,7,94,44,2
46,156921,2405,7,96,45,2
46,156480,2413,7,96,45,2
46,155238,2466,7,96,45,2
46,155240,2481,7,96,45,2
46,156124,2444,7,96,45,2
47,158150,2344,7,98,46,2
47,158519,2333,7,98,46,2
47,160204,2428,7,98,46,2
47,157662,2354,7,98,46,2
47,157390,2330,7,98,46,2
48,161729,2402,7,100,47,2
48,161042,2346,7,100,47,2
48,159570,2402,7,100,47,2
48,160654,2430,7,100,47,2
48,161006,2427,7,100,47,2
49,161379,2507,7,102,48,2
49,164667,2523,7,102,48,2
49,162420,2392,7,102,48,2
49,163320,2350,7,102,48,2
49,163853,2423,7,102,48,2
50,165898,2508,7,104,49,2
50,166696,2431,7,104,49,2
50,165069,2503,7,104,49,2
50,165158,2465,7,104,49,2
50,164343,2430,7,104,49,2
51,167595,2491,7,106,50,2
51,167476,2414,7,106,50,2
51,168676,2375,7,106,50,2
51,168793,2390,7,106,50,2
51,170650,2471,7,106,50,2
52,171736,2470,7,108,51,2
52,169407,2473,7,108,51,2
