Pallet: "pallet_capital_distribution", Extrinsic: "claim", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
620,1000,1185039,7272,31,22,11,2
620,1000,1182140,7738,31,22,11,2
620,1000,1207096,24045,31,22,11,2
640,1000,1137512,7301,31,22,11,2
640,1000,1200942,7257,31,22,11,2
640,1000,1229577,8287,31,22,11,2
640,1000,1112066,7205,31,22,11,2
640,1000,1149057,7548,31,22,11,2
660,1000,1236785,6991,31,22,11,2
660,1000,1286454,7654,31,22,11,2
660,1000,1168730,7088,31,22,11,2
660,1000,1301616,7890,31,22,11,2
660,1000,1225442,6676,31,22,11,2
680,1000,1151626,7176,31,22,11,2
680,1000,1323726,8088,31,22,11,2
680,1000,1138024,7503,31,22,11,2
680,1000,1154379,7138,31,22,11,2
680,1000,1223581,7264,31,22,11,2
700,1000,1143880,7028,31,22,11,2
700,1000,1215730,8292,31,22,11,2
700,1000,1194650,7633,31,22,11,2
700,1000,1549779,8096,31,22,11,2
700,1000,1250501,7215,31,22,11,2
720,1000,1248871,7768,31,22,11,2
720,1000,1227295,7506,31,22,11,2
720,1000,1270475,7626,31,22,11,2
720,1000,1284083,7826,31,22,11,2
720,1000,1324618,7637,31,22,11,2
740,1000,1465911,8522,31,22,11,2
740,1000,1218404,6842,31,22,11,2
740,1000,1285927,7553,31,22,11,2
740,1000,1145239,7476,31,22,11,2
740,1000,1411896,8355,31,22,11,2
760,1000,1255698,8683,31,22,11,2
760,1000,1298926,7457,31,22,11,2
760,1000,1189702,7222,31,22,11,2
760,1000,1474747,7880,31,22,11,2
760,1000,1444736,7466,31,22,11,2
780,1000,1427460,8479,31,22,11,2
780,1000,1251760,7789,31,22,11,2
780,1000,1394016,7114,31,22,11,2
780,1000,1304035,8168,31,22,11,2
780,1000,1253292,7520,31,22,11,2
800,1000,1325265,7460,31,22,11,2
800,1000,1370923,7218,31,22,11,2
800,1000,1276984,7650,31,22,11,2
800,1000,1209345,6978,31,22,11,2
800,1000,1191758,6696,31,22,11,2
820,1000,1276390,7359,31,22,11,2
820,1000,1474020,7934,31,22,11,2
820,1000,1302381,6990,31,22,11,2
820,1000,1251135,7557,31,22,11,2
820,1000,1447017,8109,31,22,11,2
840,1000,1264564,7240,31,22,11,2
840,1000,1401626,7796,31,22,11,2
840,1000,1481170,7744,31,22,11,2
840,1000,1436116,7931,31,22,11,2
840,1000,1460708,7715,31,22,11,2
860,1000,1297039,7049,31,22,11,2
860,1000,1330869,7137,31,22,11,2
860,1000,1463451,8046,31,22,11,2
860,1000,1236095,23550,31,22,11,2
860,1000,1439968,26906,31,22,11,2
880,1000,1249147,7247,31,22,11,2
880,1000,1210540,7520,31,22,11,2
880,1000,1247889,7764,31,22,11,2
