Pallet: "pallet_staking", Extrinsic: "withdraw_unbonded_kill", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
38,444968,5181,7,5,46,2
38,414139,5347,7,5,46,2
39,425329,5304,7,5,47,2
39,422477,4617,7,5,47,2
39,571762,5470,7,5,47,2
39,418909,5753,7,5,47,2
39,417612,5937,7,5,47,2
40,424160,6010,7,5,48,2
40,476287,5968,7,5,48,2
40,434574,5397,7,5,48,2
40,433045,5234,7,5,48,2
40,452072,5892,7,5,48,2
41,428768,5638,7,5,49,2
41,431938,5449,7,5,49,2
41,423510,5623,7,5,49,2
41,447522,4595,7,5,49,2
41,430468,5199,7,5,49,2
42,449622,5664,7,5,50,2
42,448623,10154,7,5,50,2
42,435391,5495,7,5,50,2
42,434399,4837,7,5,50,2
42,476697,5903,7,5,50,2
43,488680,5424,7,5,51,2
43,442931,4781,7,5,51,2
43,441939,4749,7,5,51,2
43,443706,5345,7,5,51,2
43,507898,4819,7,5,51,2
44,471367,5567,7,5,52,2
44,439768,4681,7,5,52,2
44,455431,5422,7,5,52,2
44,446629,5799,7,5,52,2
44,467855,5813,7,5,52,2
45,472810,5418,7,5,53,2
45,475514,5417,7,5,53,2
45,470907,5415,7,5,53,2
45,481071,5469,7,5,53,2
45,457464,5355,7,5,53,2
46,507976,5685,7,5,54,2
46,528973,5785,7,5,54,2
46,508718,5778,7,5,54,2
46,519228,5291,7,5,54,2
46,510943,5540,7,5,54,2
47,466593,4580,7,5,55,2
47,465379,5385,7,5,55,2
47,477985,5859,7,5,55,2
47,500953,5248,7,5,55,2
47,465880,5466,7,5,55,2
48,407158,4939,7,5,56,2
48,461529,5884,7,5,56,2
48,470699,5627,7,5,56,2
48,473358,6635,7,5,56,2
48,471651,5810,7,5,56,2
49,498187,5665,7,5,57,2
49,492809,5590,7,5,57,2
49,491936,5461,7,5,57,2
49,495662,6040,7,5,57,2
49,670779,5682,7,5,57,2
50,490609,5923,7,5,58,2
50,512182,6999,7,5,58,2
50,756442,6184,7,5,58,2
50,510413,6834,7,5,58,2
50,485525,5584,7,5,58,2
51,494372,6702,7,5,59,2
51,544310,6235,7,5,59,2
51,544187,5870,7,5,59,2
51,543609,5498,7,5,59,2
51,490849,5640,7,5,59,2
52,519349,6675,7,5,60,2
52,509699,5884,7,5,60,2
52,553078,6882,7,5,60,2
52,570419,6388,7,5,60,2
52,551626,6224,7,5,60,2
53,559993,6605,7,5,61,2
53,584333,5977,7,5,61,2
53,505018,6097,7,5,61,2
53,548966,5752,7,5,61,2
53,556125,6061,7,5,61,2
