Pallet: "pallet_staking", Extrinsic: "withdraw_unbonded_update", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
38,113161,4946,5,5,3,2
38,98065,4430,5,5,3,2
39,113572,5253,5,5,3,2
39,103588,4442,5,5,3,2
39,113276,5203,5,5,3,2
39,140206,5183,5,5,3,2
39,126267,5441,5,5,3,2
40,98243,4499,5,5,3,2
40,98197,4539,5,5,3,2
40,108234,4506,5,5,3,2
40,113796,5152,5,5,3,2
40,115946,5382,5,5,3,2
41,99304,4929,5,5,3,2
41,98860,4588,5,5,3,2
41,121687,5119,5,5,3,2
41,114810,5153,5,5,3,2
41,99712,5018,5,5,3,2
42,97973,4663,5,5,3,2
42,98380,5059,5,5,3,2
42,115619,5333,5,5,3,2
42,97484,4298,5,5,3,2
42,136057,5153,5,5,3,2
43,102605,4549,5,5,3,2
43,126236,5532,5,5,3,2
43,98255,5147,5,5,3,2
43,101670,4304,5,5,3,2
43,113490,5123,5,5,3,2
44,114047,5264,5,5,3,2
44,115174,4972,5,5,3,2
44,100167,4464,5,5,3,2
44,98907,4745,5,5,3,2
44,99200,4322,5,5,3,2
45,126662,5053,5,5,3,2
45,102765,4586,5,5,3,2
45,114108,4945,5,5,3,2
45,99656,4574,5,5,3,2
45,99454,4518,5,5,3,2
46,115055,5205,5,5,3,2
46,106769,4407,5,5,3,2
46,102654,4415,5,5,3,2
46,99344,4581,5,5,3,2
46,115275,4453,5,5,3,2
47,118114,5221,5,5,3,2
47,98759,4585,5,5,3,2
47,101094,4539,5,5,3,2
47,98669,4494,5,5,3,2
47,98816,4384,5,5,3,2
48,99822,5155,5,5,3,2
48,119660,5057,5,5,3,2
48,122807,4865,5,5,3,2
48,99584,4279,5,5,3,2
48,116313,4943,5,5,3,2
49,99976,5198,5,5,3,2
49,116066,5118,5,5,3,2
49,99469,4439,5,5,3,2
49,115663,4436,5,5,3,2
49,115205,5014,5,5,3,2
50,101234,4492,5,5,3,2
50,113696,5127,5,5,3,2
50,115203,4977,5,5,3,2
50,123375,4365,5,5,3,2
50,116003,4944,5,5,3,2
51,113793,15571,5,5,3,2
51,120743,5112,5,5,3,2
51,98713,4457,5,5,3,2
51,111007,4577,5,5,3,2
51,99777,4475,5,5,3,2
52,101435,4653,5,5,3,2
52,99531,4484,5,5,3,2
52,99479,4340,5,5,3,2
52,99120,4462,5,5,3,2
52,115961,5092,5,5,3,2
53,99842,4804,5,5,3,2
53,121439,5114,5,5,3,2
53,100915,4609,5,5,3,2
53,128234,5377,5,5,3,2
53,114627,4894,5,5,3,2
54,117132,5013,5,5,3,2
54,115897,5085,5,5,3,2
54,103972,4360,5,5,3,2
54,99752,4318,5,5,3,2
54,116090,5098,5,5,3,2
55,115238,5263,5,5,3,2
55,115552,4940,5,5,3,2
55,99897,4442,5,5,3,2
55,118686,5346,5,5,3,2
55,114719,4919,5,5,3,2
56,115283,4472,5,5,3,2
56,127576,5785,5,5,3,2
56,115938,5196,5,5,3,2
56,130814,5452,5,5,3,2
56,114766,5051,5,5,3,2
57,139280,6115,5,5,3,2
57,130313,5875,5,5,3,2
57,129856,5663,5,5,3,2
57,128678,5691,5,5,3,2
57,127918,5549,5,5,3,2
58,130956,5749,5,5,3,2
