Pallet: "pallet_im_online", Extrinsic: "heartbeat", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
k,e,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1000,93,360415,7532,3,4,1,2
1000,93,350627,6521,3,4,1,2
1000,93,342128,6317,3,4,1,2
1000,93,416040,7678,3,4,1,2
1000,94,371833,7067,3,4,1,2
1000,94,411775,8343,3,4,1,2
1000,94,361068,7161,3,4,1,2
1000,94,346181,6475,3,4,1,2
1000,94,350606,6649,3,4,1,2
1000,95,376247,7358,3,4,1,2
1000,95,416302,7234,3,4,1,2
1000,95,404067,6883,3,4,1,2
1000,95,342042,7119,3,4,1,2
1000,95,388283,6720,3,4,1,2
1000,96,379495,7235,3,4,1,2
1000,96,363919,6286,3,4,1,2
1000,96,348376,7107,3,4,1,2
1000,96,359009,6962,3,4,1,2
1000,96,422979,7633,3,4,1,2
1000,97,400564,24175,3,4,1,2
1000,97,349376,6729,3,4,1,2
1000,97,348292,6405,3,4,1,2
1000,97,377858,7496,3,4,1,2
1000,97,350603,6841,3,4,1,2
1000,98,356001,6659,3,4,1,2
1000,98,399682,7265,3,4,1,2
1000,98,378102,7422,3,4,1,2
1000,98,348356,6425,3,4,1,2
1000,98,384141,7389,3,4,1,2
1000,99,382478,7714,3,4,1,2
1000,99,393748,6671,3,4,1,2
1000,99,398582,6677,3,4,1,2
1000,99,465607,7379,3,4,1,2
1000,99,372001,7068,3,4,1,2
1000,100,359790,6616,3,4,1,2
1000,100,389414,7123,3,4,1,2
1000,100,397464,6981,3,4,1,2
1000,100,400892,6776,3,4,1,2
1000,100,352288,6785,3,4,1,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    90.18
    + k    0.194
    + e    1.016
              µs

Reads = 3 + (0 * k) + (0 * e)
Writes = 1 + (0 * k) + (0 * e)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    k     e   mean µs  sigma µs       %
    1   100     184.3     7.413    4.0%
   20   100     171.3     5.519    3.2%
   39   100     189.2     6.123    3.2%
   58   100     196.3     8.347    4.2%
   77   100     192.4     6.155    3.1%
   96   100     190.5     4.159    2.1%
  115   100     218.7      4.12    1.8%
  134   100     225.5     14.27    6.3%
  153   100     220.8     2.668    1.2%
  172   100     229.8     2.352    1.0%
  191   100       225     12.08    5.3%
  210   100     235.2     13.67    5.8%
  229   100     232.9     8.648    3.7%
  248   100     250.5     16.87    6.7%
  267   100     249.4     1.547    0.6%
  286   100       253     6.059    2.3%
  305   100     246.6     10.34    4.1%
  324   100     263.1     18.48    7.0%
  343   100     257.4     2.798    1.0%
  362   100     256.8     9.607    3.7%
  381   100     270.8     19.31    7.1%
  400   100     260.4     6.875    2.6%
  419   100     275.1     16.33    5.9%
  438   100     287.5     12.78    4.4%
  457   100       284     5.676    1.9%
  476   100     286.3     0.801    0.2%
  495   100     289.1     13.23    4.5%
  514   100     293.7     7.847    2.6%
  533   100     297.2     1.541    0.5%
  552   100     302.6     2.849    0.9%
  571   100     304.9     0.983    0.3%
  590   100     319.1     15.26    4.7%
  609   100       289     5.615    1.9%
  628   100     306.4     10.72    3.4%
  647   100     317.3     2.343    0.7%
  666   100     330.1     6.612    2.0%
  685   100     313.5     9.204    2.9%
  704   100     325.8     15.83    4.8%
  723   100       346      8.94    2.5%
  742   100     345.7     5.536    1.6%
  761   100     321.9     13.61    4.2%
  780   100     346.6     21.44    6.1%
  799   100     351.8     13.74    3.9%
  818   100     348.5      3.33    0.9%
  837   100     342.5     10.37    3.0%
  856   100     361.1     5.615    1.5%
  875   100     363.5     5.558    1.5%
  894   100     374.7      8.01    2.1%
  913   100     352.7     7.566    2.1%
  932   100     380.6     17.93    4.7%
  951   100     352.3     12.89    3.6%
  970   100       376     21.87    5.8%
  989   100     382.3     5.191    1.3%
 1000     1     301.1     11.21    3.7%
 1000     2     288.3     8.147    2.8%
 1000     3     278.5     6.279    2.2%
 1000     4     272.3     9.402    3.4%
 1000     5     284.1     7.009    2.4%
 1000     6     262.7     8.063    3.0%
 1000     7     292.6      11.2    3.8%
 1000     8       280      4.63    1.6%
 1000     9     300.5     11.04    3.6%
 1000    10     294.9     6.526    2.2%
 1000    11     304.3     8.171    2.6%
 1000    12     291.2     2.444    0.8%
 1000    13     279.7     6.417    2.2%
 1000    14     310.6     4.629    1.4%
 1000    15     297.6     8.472    2.8%
 1000    16     288.5     12.46    4.3%
 1000    17     278.2      11.1    3.9%
 1000    18     309.6     10.59    3.4%
 1000    19     298.5     6.937    2.3%
 1000    20     288.3      2.57    0.8%
 1000    21     279.4     5.154    1.8%
 1000    22     288.9     3.631    1.2%
 1000    23     302.2     11.32    3.7%
 1000    24       277     2.622    0.9%
 1000    25     298.1     24.41    8.1%
 1000    26     315.4     9.353    2.9%
 1000    27     309.9     9.865    3.1%
 1000    28       303     2.475    0.8%
 1000    29     305.7     4.911    1.6%
 1000    30     319.4     13.46    4.2%
 1000    31       316     12.26    3.8%
 1000    32     315.5     6.071    1.9%
 1000    33     301.9     9.929    3.2%
 1000    34     307.6     9.998    3.2%
 1000    35     337.2     4.942    1.4%
 1000    36     311.6     16.26    5.2%
 1000    37     309.7     17.25    5.5%
 1000    38     336.9     24.85    7.3%
 1000    39     312.6     9.617    3.0%
 1000    40     333.2     20.36    6.1%
 1000    41     330.1      11.5    3.4%
 1000    42     322.1     4.865    1.5%
 1000    43     317.8     8.509    2.6%
 1000    44     313.7     10.71    3.4%
 1000    45     331.4     7.497    2.2%
 1000    46     300.6     3.889    1.2%
 1000    47     310.7     12.08    3.8%
 1000    48     303.2     7.271    2.3%
 1000    49     321.2     14.27    4.4%
 1000    50     311.7     11.79    3.7%
 1000    51     334.9     13.29    3.9%
 1000    52     320.5     10.22    3.1%
 1000    53     328.1     9.256    2.8%
 1000    54     332.8     1.195    0.3%
 1000    55     331.9     6.106    1.8%
 1000    56     330.1     15.05    4.5%
 1000    57     334.4     13.06    3.9%
 1000    58     344.5     14.17    4.1%
 1000    59     350.9     8.339    2.3%
 1000    60     337.3        21    6.2%
 1000    61     338.1     2.066    0.6%
 1000    62     333.1     4.499    1.3%
 1000    63     325.8     10.45    3.2%
 1000    64     350.4     9.797    2.7%
 1000    65     344.9     2.008    0.5%
 1000    66     341.9     13.57    3.9%
 1000    67     344.4     5.359    1.5%
 1000    68     354.5     7.704    2.1%
 1000    69     352.4     4.106    1.1%
 1000    70     331.2     6.923    2.0%
 1000    71     368.6     2.291    0.6%
 1000    72     371.4     7.672    2.0%
 1000    73     356.7     8.259    2.3%
 1000    74     361.5      5.09    1.4%
 1000    75     342.8     6.091    1.7%
 1000    76     361.1     7.024    1.9%
 1000    77     366.5     8.149    2.2%
 1000    78     339.8     14.53    4.2%
 1000    79       368     10.03    2.7%
 1000    80     339.2     5.453    1.6%
 1000    81     362.3      2.08    0.5%
 1000    82     379.3     1.451    0.3%
 1000    83     357.2     12.35    3.4%
 1000    84     343.2     2.945    0.8%
 1000    85     356.5     10.18    2.8%
 1000    86     363.6     7.949    2.1%
 1000    87     370.6     1.146    0.3%
 1000    88     364.2         5    1.3%
 1000    89     373.2     7.085    1.8%
 1000    90       358     5.499    1.5%
 1000    91     362.3     10.91    3.0%
 1000    92       380     9.921    2.6%
 1000    93     372.6     24.58    6.5%
 1000    94     361.1     8.666    2.3%
 1000    95     389.5     11.39    2.9%
 1000    96     367.4     8.733    2.3%
 1000    97     359.2     13.14    3.6%
 1000    98     372.7     12.09    3.2%
 1000    99     391.6     6.747    1.7%
 1000   100     382.2     16.19    4.2%

Quality and confidence:
param     error
k         0.002
e         0.025

Model:
Time ~=     88.1
    + k    0.189
    + e    1.038
              µs

Reads = 3 + (0 * k) + (0 * e)
Writes = 1 + (0 * k) + (0 * e)
