Pallet: "pallet_staking", Extrinsic: "set_validator_count", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
c,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
380,3912,2800,0,0,1,0
390,4044,3060,0,0,1,0
390,4017,2825,0,0,1,0
390,3967,2924,0,0,1,0
390,3859,2960,0,0,1,0
390,3920,2883,0,0,1,0
400,3989,3023,0,0,1,0
400,3935,2961,0,0,1,0
400,3943,2875,0,0,1,0
400,3969,2954,0,0,1,0
400,4704,3302,0,0,1,0
410,4672,3462,0,0,1,0
410,4471,3313,0,0,1,0
410,4517,3288,0,0,1,0
410,4497,3523,0,0,1,0
410,4627,3311,0,0,1,0
420,4725,3416,0,0,1,0
420,4642,3252,0,0,1,0
420,4662,3241,0,0,1,0
420,4615,2840,0,0,1,0
420,3998,2972,0,0,1,0
430,4024,2976,0,0,1,0
430,4101,2897,0,0,1,0
430,3986,2852,0,0,1,0
430,3952,2928,0,0,1,0
430,4000,2867,0,0,1,0
440,4034,3044,0,0,1,0
440,4067,2927,0,0,1,0
440,4022,10597,0,0,1,0
440,3952,3162,0,0,1,0
440,4025,3077,0,0,1,0
450,4084,2974,0,0,1,0
450,3923,2957,0,0,1,0
450,3928,2903,0,0,1,0
450,4008,2898,0,0,1,0
450,3946,2938,0,0,1,0
460,3972,3001,0,0,1,0
460,4092,2906,0,0,1,0
460,4008,2898,0,0,1,0
460,4036,2854,0,0,1,0
460,4034,2849,0,0,1,0
470,4060,3004,0,0,1,0
470,3952,2926,0,0,1,0
470,4004,2960,0,0,1,0
470,3849,2950,0,0,1,0
470,4589,15545,0,0,1,0
480,4066,3034,0,0,1,0
480,4009,2916,0,0,1,0
480,4020,2860,0,0,1,0
480,3924,2895,0,0,1,0
480,4006,2865,0,0,1,0
490,3930,2950,0,0,1,0
490,4083,2950,0,0,1,0
490,3935,2901,0,0,1,0
490,4034,2890,0,0,1,0
490,3883,2828,0,0,1,0
500,3970,2947,0,0,1,0
500,3903,2880,0,0,1,0
500,4061,2810,0,0,1,0
500,3964,2850,0,0,1,0
500,3962,2889,0,0,1,0
510,3945,3085,0,0,1,0
510,3903,2877,0,0,1,0
510,3873,2994,0,0,1,0
510,4068,2851,0,0,1,0
510,4086,3009,0,0,1,0
520,3995,2958,0,0,1,0
520,3916,2947,0,0,1,0
520,4068,2935,0,0,1,0
520,3929,2905,0,0,1,0
520,3960,2852,0,0,1,0
530,5407,3961,0,0,1,0
530,4563,3446,0,0,1,0
530,4620,3293,0,0,1,0
530,4445,3323,0,0,1,0
530,3899,2798,0,0,1,0
540,3962,3034,0,0,1,0
540,3862,2925,0,0,1,0
540,3944,2893,0,0,1,0
540,4067,2912,0,0,1,0
540,3951,2902,0,0,1,0
550,3976,3027,0,0,1,0
550,3930,2938,0,0,1,0
550,3956,2946,0,0,1,0
550,3979,2922,0,0,1,0
550,3991,2917,0,0,1,0
560,4599,3597,0,0,1,0
560,4439,2949,0,0,1,0
560,3931,2924,0,0,1,0
560,3816,2911,0,0,1,0
560,3845,2866,0,0,1,0
570,3949,2999,0,0,1,0
570,3917,2935,0,0,1,0
570,3865,2970,0,0,1,0
570,3892,2933,0,0,1,0
570,3886,2841,0,0,1,0
580,3989,3058,0,0,1,0
580,3902,3015,0,0,1,0
580,3934,2938,0,0,1,0
580,3856,2976,0,0,1,0
580,4039,2955,0,0,1,0
590,4060,3109,0,0,1,0
590,3959,3097,0,0,1,0
590,4003,2882,0,0,1,0
590,3954,2879,0,0,1,0
590,3877,3046,0,0,1,0
600,3819,3099,0,0,1,0
600,3841,2992,0,0,1,0
600,3911,2909,0,0,1,0
600,3825,2813,0,0,1,0
600,3836,2868,0,0,1,0
610,3941,3042,0,0,1,0
610,4080,2911,0,0,1,0
610,3917,2890,0,0,1,0
610,3867,2847,0,0,1,0
610,3906,2905,0,0,1,0
620,3937,3063,0,0,1,0
620,3849,2904,0,0,1,0
620,3972,2840,0,0,1,0
620,3793,2803,0,0,1,0
620,3829,2787,0,0,1,0
630,3925,3069,0,0,1,0
630,3903,2890,0,0,1,0
630,3857,2928,0,0,1,0
630,3945,2925,0,0,1,0
630,3836,2984,0,0,1,0
640,4088,3066,0,0,1,0
640,3887,2934,0,0,1,0
640,13598,2998,0,0,1,0
640,3973,2855,0,0,1,0
640,3901,2886,0,0,1,0
650,3912,3040,0,0,1,0
650,3915,2962,0,0,1,0
650,3842,2824,0,0,1,0
650,4026,2847,0,0,1,0
650,3861,2990,0,0,1,0
660,4021,3056,0,0,1,0
660,3881,3007,0,0,1,0
660,3886,2959,0,0,1,0
660,3911,2850,0,0,1,0
660,3950,2891,0,0,1,0
670,3964,3039,0,0,1,0
670,4026,2946,0,0,1,0
670,4000,2827,0,0,1,0
670,3935,19315,0,0,1,0
670,4549,3355,0,0,1,0
680,3884,2941,0,0,1,0
680,4019,2824,0,0,1,0
680,3888,3354,0,0,1,0
680,4501,3321,0,0,1,0
680,4431,3267,0,0,1,0
690,4544,3474,0,0,1,0
690,4464,3339,0,0,1,0
690,4478,3400,0,0,1,0
690,4423,3366,0,0,1,0
690,4394,3295,0,0,1,0
700,4648,3501,0,0,1,0
700,4438,3407,0,0,1,0
700,4603,3258,0,0,1,0
700,4548,3329,0,0,1,0
700,4492,3431,0,0,1,0
710,4503,3371,0,0,1,0
710,4696,3266,0,0,1,0
710,4547,3239,0,0,1,0
710,4572,2829,0,0,1,0
710,3859,2926,0,0,1,0
720,4054,2987,0,0,1,0
720,4024,2922,0,0,1,0
720,3814,2915,0,0,1,0
720,3868,2855,0,0,1,0
720,3882,2820,0,0,1,0
730,3965,3041,0,0,1,0
730,3885,2946,0,0,1,0
730,3862,2893,0,0,1,0
730,4000,2937,0,0,1,0
730,3922,2932,0,0,1,0
740,4045,2986,0,0,1,0
740,3966,2942,0,0,1,0
740,4022,2881,0,0,1,0
740,3951,2775,0,0,1,0
740,4012,2843,0,0,1,0
750,3874,3030,0,0,1,0
750,3906,2956,0,0,1,0
750,3866,2860,0,0,1,0
750,3925,2921,0,0,1,0
750,12291,2963,0,0,1,0
760,3926,2991,0,0,1,0
760,3921,2934,0,0,1,0
760,3881,2866,0,0,1,0
760,4118,2757,0,0,1,0
760,3976,2909,0,0,1,0
770,4071,3232,0,0,1,0
770,4043,2928,0,0,1,0
770,3812,2973,0,0,1,0
770,3924,2962,0,0,1,0
770,3829,2903,0,0,1,0
780,3901,3021,0,0,1,0
780,3913,2937,0,0,1,0
780,3983,2988,0,0,1,0
780,3880,2926,0,0,1,0
780,3985,2866,0,0,1,0
790,4222,3318,0,0,1,0
790,4068,2992,0,0,1,0
790,3971,2988,0,0,1,0
790,4040,2942,0,0,1,0
790,3963,2917,0,0,1,0
800,4530,3591,0,0,1,0
800,4542,3485,0,0,1,0
800,4682,3514,0,0,1,0
800,4598,3448,0,0,1,0
800,4560,3514,0,0,1,0
810,4771,3547,0,0,1,0
810,3997,3019,0,0,1,0
810,4013,2855,0,0,1,0
810,3972,3046,0,0,1,0
810,3877,2997,0,0,1,0
820,4085,2973,0,0,1,0
820,3908,3031,0,0,1,0
820,3918,3129,0,0,1,0
820,3972,2952,0,0,1,0
820,4271,3061,0,0,1,0
830,3905,3051,0,0,1,0
830,3848,3016,0,0,1,0
830,3949,2869,0,0,1,0
830,4024,2917,0,0,1,0
830,4088,2897,0,0,1,0
840,3927,2969,0,0,1,0
840,3869,2960,0,0,1,0
840,3863,2881,0,0,1,0
840,3984,2837,0,0,1,0
840,3889,2875,0,0,1,0
850,3988,2932,0,0,1,0
850,4045,2842,0,0,1,0
850,3835,2841,0,0,1,0
850,3881,2883,0,0,1,0
850,3900,2910,0,0,1,0
860,4059,2919,0,0,1,0
860,3873,2948,0,0,1,0
860,4062,3374,0,0,1,0
860,3879,2873,0,0,1,0
