Pallet: "pallet_pips", Extrinsic: "enact_snapshot_results", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
a,r,s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
   33    17    33    365800     22510    6.1%
   33    18    33    374700      1599    0.4%
   33    19    33    401800      4211    1.0%
   33    20    33    439000      2328    0.5%
   33    21    33    471300     14510    3.0%
   33    22    33    466700     11300    2.4%
   33    23    33    510100     11540    2.2%
   33    24    33    504300      2583    0.5%
   33    25    33    536600     10050    1.8%
   33    26    33    571200      3471    0.6%
   33    27    33    582700      3700    0.6%
   33    28    33    597300      6134    1.0%
   33    29    33    639600     18240    2.8%
   33    30    33    663900     11350    1.7%
   33    31    33    672300      4611    0.6%
   33    32    33    704000      8955    1.2%
   33    33     0    701600      3574    0.5%
   33    33     1    713000      5963    0.8%
   33    33     2    702800      3274    0.4%
   33    33     3    701800      2987    0.4%
   33    33     4    697700      5621    0.8%
   33    33     5    693600      5315    0.7%
   33    33     6    685600      1495    0.2%
   33    33     7    690600      3412    0.4%
   33    33     8    713000     21250    2.9%
   33    33     9    705700     15330    2.1%
   33    33    10    692600     12850    1.8%
   33    33    11    685600     10600    1.5%
   33    33    12    673800      2259    0.3%
   33    33    13    681800     16710    2.4%
   33    33    14    715900     14660    2.0%
   33    33    15    688100     11420    1.6%
   33    33    16    700500      9383    1.3%
   33    33    17    739000     16920    2.2%
   33    33    18    704500     10780    1.5%
   33    33    19    691600      4783    0.6%
   33    33    20    710300     17070    2.4%
   33    33    21    711500     13820    1.9%
   33    33    22    699800      9231    1.3%
   33    33    23    695600      5191    0.7%
   33    33    24    700200      1995    0.2%
   33    33    25    704300      7475    1.0%
   33    33    26    712000      9297    1.3%
   33    33    27    724100     25820    3.5%
   33    33    28    724100      8385    1.1%
   33    33    29    723200     18360    2.5%
   33    33    30    705900     14890    2.1%
   33    33    31    702100     17280    2.4%
   33    33    32    714000      8296    1.1%
   33    33    33    710500     14080    1.9%

Quality and confidence:
param     error
a           123
r           123
s           123

Model:
Time ~=        0
    + a    632.8
    + r    21770
    + s    694.1
              µs

Reads = 689 + (3 * a) + (405 * r) + (2 * s)
Writes = 685 + (4 * a) + (404 * r) + (2 * s)
