Pallet: "pallet_pips", Extrinsic: "enact_snapshot_results", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
a,r,s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
25,33,33,685919538,29872,14157,15324,14145,2
26,33,33,713996094,33484,14159,15333,14148,2
26,33,33,726784023,23564,14159,15333,14148,2
26,33,33,688797489,22411,14159,15333,14148,2
26,33,33,718197127,23425,14159,15333,14148,2
26,33,33,707266093,24201,14159,15333,14148,2
27,33,33,673550973,22230,14161,15742,14151,2
27,33,33,771562280,23369,14161,15742,14151,2
27,33,33,761102960,19797,14161,15742,14151,2
27,33,33,889432114,21924,14161,15742,14151,2
27,33,33,668269048,24033,14161,15742,14151,2
28,33,33,716603319,22541,14163,16551,14154,2
28,33,33,698848863,22632,14163,16551,14154,2
28,33,33,755180127,22266,14163,16551,14154,2
28,33,33,692781492,21454,14163,16551,14154,2
28,33,33,684303498,21234,14163,16551,14154,2
29,33,33,766624667,31705,14165,16960,14157,2
29,33,33,704653401,24155,14165,16960,14157,2
29,33,33,760194694,32480,14165,16960,14157,2
29,33,33,690756919,61868,14165,16960,14157,2
29,33,33,736818717,21357,14165,16960,14157,2
30,33,33,710868277,34603,14167,16569,14160,2
30,33,33,689742268,21432,14167,16569,14160,2
30,33,33,683701662,22759,14167,16569,14160,2
30,33,33,709929370,20910,14167,16569,14160,2
30,33,33,766792526,26628,14167,16569,14160,2
31,33,33,737182431,20717,14169,17378,14163,2
31,33,33,728959677,21297,14169,17378,14163,2
31,33,33,769308394,31030,14169,17378,14163,2
31,33,33,744241677,20186,14169,17378,14163,2
31,33,33,751584462,20479,14169,17378,14163,2
32,33,33,705004970,23292,14171,16187,14166,2
32,33,33,679909476,20881,14171,16187,14166,2
32,33,33,695732668,23950,14171,16187,14166,2
32,33,33,741604010,20838,14171,16187,14166,2
32,33,33,700911174,22617,14171,16187,14166,2
33,33,33,717630912,23622,14173,16196,14169,2
33,33,33,712823179,23317,14173,16196,14169,2
33,33,33,767950653,22887,14173,16196,14169,2
33,33,33,694890753,22905,14173,16196,14169,2
33,33,33,708016742,21098,14173,16196,14169,2
33,0,33,8374504,13690,105,366,135,2
33,0,33,8879454,18733,105,366,135,2
33,0,33,8522253,9674,105,366,135,2
33,0,33,8083970,10156,105,366,135,2
33,0,33,8200777,10139,105,366,135,2
33,1,33,34156954,24217,1309,1172,1337,2
33,1,33,33447677,12910,1309,1172,1337,2
33,1,33,33663752,14291,1309,1172,1337,2
33,1,33,34999440,12957,1309,1172,1337,2
33,1,33,33907173,14469,1309,1172,1337,2
33,2,33,50898373,14022,1711,1579,1738,2
33,2,33,54501985,13379,1711,1579,1738,2
33,2,33,55808995,14010,1711,1579,1738,2
33,2,33,57553983,22427,1711,1579,1738,2
33,2,33,50740505,14956,1711,1579,1738,2
33,3,33,76173631,13582,2113,1986,2139,2
33,3,33,68038674,12755,2113,1986,2139,2
33,3,33,78107572,17751,2113,1986,2139,2
33,3,33,70822689,16601,2113,1986,2139,2
33,3,33,69808609,13922,2113,1986,2139,2
33,4,33,90873647,15484,2515,2393,2540,2
33,4,33,90653671,14298,2515,2393,2540,2
33,4,33,90284776,17310,2515,2393,2540,2
33,4,33,94448063,16112,2515,2393,2540,2
33,4,33,89856644,14041,2515,2393,2540,2
33,5,33,108509053,13977,2917,2800,2941,2
33,5,33,109809319,14631,2917,2800,2941,2
33,5,33,108472826,25321,2917,2800,2941,2
33,5,33,111868620,15751,2917,2800,2941,2
33,5,33,111059992,14212,2917,2800,2941,2
