Pallet: "pallet_staking", Extrinsic: "submit_solution_better", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,a,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1220,2000,500,100,97969702,12595,2106,16406,2,2
1230,2000,500,100,92752858,11296,2106,16406,2,2
1230,2000,500,100,97047771,12020,2106,16406,2,2
1230,2000,500,100,100003139,22114,2106,16406,2,2
1230,2000,500,100,92998868,11479,2106,16406,2,2
1230,2000,500,100,98070901,11279,2106,16406,2,2
1240,2000,500,100,96084068,10177,2106,16406,2,2
1240,2000,500,100,96373067,12069,2106,16406,2,2
1240,2000,500,100,96304560,14724,2106,16406,2,2
1240,2000,500,100,92409438,12235,2106,16406,2,2
1240,2000,500,100,92088439,12392,2106,16406,2,2
1250,2000,500,100,93789859,15651,2106,16406,2,2
1250,2000,500,100,92997717,9479,2106,16406,2,2
1250,2000,500,100,133785827,15934,2106,16406,2,2
1250,2000,500,100,93646670,12207,2106,16406,2,2
1250,2000,500,100,101571066,10950,2106,16406,2,2
1260,2000,500,100,98548596,11036,2106,16406,2,2
1260,2000,500,100,96596542,13286,2106,16406,2,2
1260,2000,500,100,96276038,11956,2106,16406,2,2
1260,2000,500,100,94579142,10512,2106,16406,2,2
1260,2000,500,100,94824482,11572,2106,16406,2,2
1270,2000,500,100,93573697,13026,2106,16406,2,2
1270,2000,500,100,91752691,12072,2106,16406,2,2
1270,2000,500,100,98669087,12505,2106,16406,2,2
1270,2000,500,100,97100964,12406,2106,16406,2,2
1270,2000,500,100,98630914,10457,2106,16406,2,2
1280,2000,500,100,100292766,21271,2106,16406,2,2
1280,2000,500,100,93965586,11151,2106,16406,2,2
1280,2000,500,100,96186983,11793,2106,16406,2,2
1280,2000,500,100,98729330,13307,2106,16406,2,2
1280,2000,500,100,92664619,13728,2106,16406,2,2
1290,2000,500,100,92968163,12585,2106,16406,2,2
1290,2000,500,100,96550649,13973,2106,16406,2,2
1290,2000,500,100,96361081,11741,2106,16406,2,2
1290,2000,500,100,97821397,12088,2106,16406,2,2
1290,2000,500,100,100901376,13757,2106,16406,2,2
1300,2000,500,100,95395792,10489,2106,16406,2,2
1300,2000,500,100,93990716,11678,2106,16406,2,2
1300,2000,500,100,96587931,10949,2106,16406,2,2
1300,2000,500,100,94400181,10742,2106,16406,2,2
1300,2000,500,100,92977166,11444,2106,16406,2,2
1310,2000,500,100,95889149,10879,2106,16406,2,2
1310,2000,500,100,93352221,10789,2106,16406,2,2
1310,2000,500,100,96173086,12755,2106,16406,2,2
1310,2000,500,100,92241135,10966,2106,16406,2,2
1310,2000,500,100,92888318,11670,2106,16406,2,2
1320,2000,500,100,94393120,13492,2106,16406,2,2
1320,2000,500,100,92164736,11727,2106,16406,2,2
1320,2000,500,100,92284091,10427,2106,16406,2,2
1320,2000,500,100,95636545,18253,2106,16406,2,2
1320,2000,500,100,94936584,12766,2106,16406,2,2
1330,2000,500,100,93293666,11295,2106,16406,2,2
1330,2000,500,100,92000039,20843,2106,16406,2,2
1330,2000,500,100,93182886,13874,2106,16406,2,2
1330,2000,500,100,93816611,10991,2106,16406,2,2
1330,2000,500,100,93525186,10809,2106,16406,2,2
1340,2000,500,100,94093275,12060,2106,16406,2,2
1340,2000,500,100,93554849,11726,2106,16406,2,2
1340,2000,500,100,93123751,11308,2106,16406,2,2
1340,2000,500,100,94733559,10529,2106,16406,2,2
1340,2000,500,100,93126324,9797,2106,16406,2,2
1350,2000,500,100,93906362,12081,2106,16406,2,2
1350,2000,500,100,98894306,11799,2106,16406,2,2
1350,2000,500,100,95257620,12378,2106,16406,2,2
1350,2000,500,100,97010414,11520,2106,16406,2,2
1350,2000,500,100,93528888,12901,2106,16406,2,2
1360,2000,500,100,93098612,12080,2106,16406,2,2
1360,2000,500,100,101133222,12773,2106,16406,2,2
1360,2000,500,100,98590415,12220,2106,16406,2,2
1360,2000,500,100,93729418,11968,2106,16406,2,2
1360,2000,500,100,97086852,13532,2106,16406,2,2
1370,2000,500,100,106799254,12008,2106,16406,2,2
1370,2000,500,100,97409493,10952,2106,16406,2,2
1370,2000,500,100,106558567,11506,2106,16406,2,2
1370,2000,500,100,96543197,12784,2106,16406,2,2
1370,2000,500,100,95223215,12434,2106,16406,2,2
1380,2000,500,100,95243883,11951,2106,16406,2,2
1380,2000,500,100,93727400,10081,2106,16406,2,2
1380,2000,500,100,92565525,9997,2106,16406,2,2
1380,2000,500,100,94600648,9411,2106,16406,2,2
1380,2000,500,100,94398311,12947,2106,16406,2,2
1390,2000,500,100,92235385,11178,2106,16406,2,2
1390,2000,500,100,95212753,18135,2106,16406,2,2
1390,2000,500,100,92609062,12326,2106,16406,2,2
1390,2000,500,100,98587671,12945,2106,16406,2,2
1390,2000,500,100,90521982,11487,2106,16406,2,2
