Pallet: "pallet_staking", Extrinsic: "set_commission_cap", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
m,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
   32     819.1     25.29    3.0%
   33       863      1.51    0.1%
   34     863.7     51.09    5.9%
   35     885.9     8.429    0.9%
   36     884.7     43.69    4.9%
   37     841.4     17.37    2.0%
   38     914.1     46.56    5.0%
   39     918.7     44.19    4.8%
   40     885.2     8.947    1.0%
   41     901.7     5.556    0.6%
   42      1112     42.56    3.8%
   43      1056     0.647    0.0%
   44      1087     10.91    1.0%
   45      1084     39.63    3.6%
   46      1007     14.77    1.4%
   47      1110     32.96    2.9%
   48      1149     44.05    3.8%
   49      1131     38.82    3.4%
   50      1277     50.38    3.9%
   51      1260     15.17    1.2%
   52      1257     48.74    3.8%
   53      1299     13.48    1.0%
   54      1341     26.29    1.9%
   55      1348     87.77    6.5%
   56      1410     32.82    2.3%
   57      1389     41.51    2.9%
   58      1466     43.54    2.9%
   59      1380     11.75    0.8%
   60      1473     38.61    2.6%
   61      1430     22.93    1.6%
   62      1413     33.51    2.3%
   63      1554     59.55    3.8%
   64      1550     30.23    1.9%
   65      1512      20.6    1.3%
   66      1583     24.72    1.5%
   67      1761     90.93    5.1%
   68      1658     42.22    2.5%
   69      1534     54.49    3.5%
   70      1652     40.72    2.4%
   71      1708     24.31    1.4%
   72      1746     23.81    1.3%
   73      1750     54.89    3.1%
   74      1744     42.21    2.4%
   75      1870     55.43    2.9%
   76      1799     84.94    4.7%
   77      1793     57.72    3.2%
   78      1811     75.36    4.1%
   79      1815     23.68    1.3%
   80      1896     112.1    5.9%
   81      1972     64.78    3.2%
   82      1971     60.14    3.0%
   83      2046      75.2    3.6%
   84      1968     37.83    1.9%
   85      1932     45.27    2.3%
   86      1959     98.16    5.0%
   87      1954     45.33    2.3%
   88      2111      12.6    0.5%
   89      1919     66.12    3.4%
   90      2051     41.04    2.0%
   91      2152     32.19    1.4%
   92      2158     73.25    3.3%
   93      2255     53.16    2.3%
   94      2145     12.97    0.6%
   95      2175     13.63    0.6%
   96      2218     35.74    1.6%
   97      2115      43.1    2.0%
   98      2309     54.85    2.3%
   99      2238     20.57    0.9%
  100      2384     78.58    3.2%
  101      2416     44.96    1.8%
  102      2356     100.6    4.2%
  103      2326     51.93    2.2%
  104      2410     151.6    6.2%
  105      2562     39.87    1.5%
  106      2551     70.03    2.7%
  107      2411     18.65    0.7%
  108      2410     110.9    4.6%
  109      2518     41.89    1.6%
  110      2452     13.57    0.5%
  111      2526     36.65    1.4%
  112      2658     80.01    3.0%
  113      2577     96.81    3.7%
  114      2748     105.9    3.8%
  115      2836     50.63    1.7%
  116      2759     57.13    2.0%
  117      2582     103.9    4.0%
  118      2811     19.39    0.6%
  119      2863     86.86    3.0%
  120      2769     20.96    0.7%
  121      2742     12.36    0.4%
  122      2795     10.34    0.3%
  123      2962     13.63    0.4%
  124      2788     81.51    2.9%
  125      2918     34.46    1.1%
  126      2812     82.71    2.9%
  127      2842     66.93    2.3%
  128      2881     50.79    1.7%
  129      3042     31.92    1.0%
  130      3043     94.55    3.1%
  131      2968     10.89    0.3%
  132      2978     28.53    0.9%
  133      3093     129.7    4.1%
  134      3090     51.64    1.6%
  135      2982     7.055    0.2%
  136      2915     92.35    3.1%
  137      3017     43.89    1.4%
  138      3294     24.75    0.7%
  139      3129     171.7    5.4%
  140      3141     66.69    2.1%
  141      3170     36.63    1.1%
  142      3202     50.33    1.5%
  143      3120     28.45    0.9%
  144      3197     99.29    3.1%
  145      3324     44.51    1.3%
  146      3156     116.1    3.6%
  147      3251     72.46    2.2%
  148      3372     57.22    1.6%
  149      3473     78.85    2.2%
  150      3452       101    2.9%

Quality and confidence:
param     error
m         0.092

Model:
Time ~=    99.93
    + m    22.12
              µs

Reads = 3 + (1 * m)
Writes = 2 + (1 * m)
