Pallet: "pallet_asset", Extrinsic: "add_documents", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
39,228103,2477,10,84,40,2
40,229113,2550,10,86,41,2
40,233210,2378,10,86,41,2
40,235432,2480,10,86,41,2
40,233405,2416,10,86,41,2
40,234141,2420,10,86,41,2
41,240759,2408,10,88,42,2
41,239380,2549,10,88,42,2
41,238663,2390,10,88,42,2
41,238142,2447,10,88,42,2
41,242003,2442,10,88,42,2
42,241457,2389,10,90,43,2
42,244107,2401,10,90,43,2
42,241876,2422,10,90,43,2
42,242406,2462,10,90,43,2
42,239682,2443,10,90,43,2
43,248236,2490,10,92,44,2
43,247039,2419,10,92,44,2
43,247644,2504,10,92,44,2
43,247449,2469,10,92,44,2
43,246837,2507,10,92,44,2
44,251343,2490,10,94,45,2
44,259787,2490,10,94,45,2
44,253891,2440,10,94,45,2
44,250339,2461,10,94,45,2
44,253795,2460,10,94,45,2
45,253605,2511,10,96,46,2
45,261919,2538,10,96,46,2
45,253725,2418,10,96,46,2
45,258612,2556,10,96,46,2
45,256178,2462,10,96,46,2
46,258421,2525,10,98,47,2
46,260740,2452,10,98,47,2
46,260605,2395,10,98,47,2
46,259956,2373,10,98,47,2
46,262433,2504,10,98,47,2
47,265244,2504,10,100,48,2
47,266614,2534,10,100,48,2
47,265389,2486,10,100,48,2
47,266615,2543,10,100,48,2
47,265440,2425,10,100,48,2
48,265341,2479,10,102,49,2
48,268374,2429,10,102,49,2
48,269483,2467,10,102,49,2
48,269369,2504,10,102,49,2
48,275584,2648,10,102,49,2
49,277540,2508,10,104,50,2
49,269673,2527,10,104,50,2
49,272928,2483,10,104,50,2
49,276176,2523,10,104,50,2
49,272223,2539,10,104,50,2
50,283256,2904,10,106,51,2
50,276874,2471,10,106,51,2
50,283001,2505,10,106,51,2
50,280603,2494,10,106,51,2
50,278382,2563,10,106,51,2
51,285120,2605,10,108,52,2
51,283740,2485,10,108,52,2
51,285871,2505,10,108,52,2
51,283697,2495,10,108,52,2
51,283462,2491,10,108,52,2
52,287030,2508,10,110,53,2
52,286101,2608,10,110,53,2
52,294476,2499,10,110,53,2
52,287965,2522,10,110,53,2
52,291370,2483,10,110,53,2
53,291435,2582,10,112,54,2
53,296033,2453,10,112,54,2
53,299243,2548,10,112,54,2
53,289833,2509,10,112,54,2
53,293125,2487,10,112,54,2
54,297487,2532,10,114,55,2
54,295034,2536,10,114,55,2
54,302168,2483,10,114,55,2
54,295464,2525,10,114,55,2
54,295866,2461,10,114,55,2
55,299931,2524,10,116,56,2
55,307033,2426,10,116,56,2
55,299376,2411,10,116,56,2
55,304107,2538,10,116,56,2
55,297555,2443,10,116,56,2
56,304274,2473,10,118,57,2
56,307356,2544,10,118,57,2
56,309183,2539,10,118,57,2
56,306543,2558,10,118,57,2
56,304801,2494,10,118,57,2
