Pallet: "pallet_corporate_ballot", Extrinsic: "attach_ballot", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
c,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
760,226432,4372,13,8,4,2
760,226610,4439,13,8,4,2
780,230139,5057,13,8,4,2
780,262696,4856,13,8,4,2
780,250435,4934,13,8,4,2
780,251697,4971,13,8,4,2
780,231225,4562,13,8,4,2
800,241282,20578,13,8,4,2
800,253535,5039,13,8,4,2
800,254158,5000,13,8,4,2
800,251306,4811,13,8,4,2
800,252069,5124,13,8,4,2
820,241313,4857,13,8,4,2
820,230905,4570,13,8,4,2
820,249944,4655,13,8,4,2
820,269752,5030,13,8,4,2
820,266592,4774,13,8,4,2
840,257366,4550,13,8,4,2
840,231161,15625,13,8,4,2
840,229360,4521,13,8,4,2
840,253558,4979,13,8,4,2
840,252991,4826,13,8,4,2
860,231088,4455,13,8,4,2
860,254531,5100,13,8,4,2
860,256263,4836,13,8,4,2
860,248455,4703,13,8,4,2
860,254052,4843,13,8,4,2
880,266035,4960,13,8,4,2
880,233350,4393,13,8,4,2
880,233269,4423,13,8,4,2
880,254837,4831,13,8,4,2
880,233410,4718,13,8,4,2
900,256262,4871,13,8,4,2
900,257894,4894,13,8,4,2
900,275144,4467,13,8,4,2
900,256565,4801,13,8,4,2
900,288087,4401,13,8,4,2
920,281524,4613,13,8,4,2
920,254184,4834,13,8,4,2
920,256034,4524,13,8,4,2
920,235052,4596,13,8,4,2
920,269424,4539,13,8,4,2
940,261099,4433,13,8,4,2
940,258708,5040,13,8,4,2
940,235544,4442,13,8,4,2
940,263714,4885,13,8,4,2
940,259501,4762,13,8,4,2
960,286323,5031,13,8,4,2
960,236619,4318,13,8,4,2
960,259460,4855,13,8,4,2
960,259562,5029,13,8,4,2
960,249224,4632,13,8,4,2
980,284200,4978,13,8,4,2
980,260197,5102,13,8,4,2
980,238333,4429,13,8,4,2
980,268726,4839,13,8,4,2
