Pallet: "pallet_settlement", Extrinsic: "disallow_venues", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
v,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
76,638047,5517,7,8,76,2
78,636260,4903,7,8,78,2
78,654522,5157,7,8,78,2
78,621210,4915,7,8,78,2
78,631034,4875,7,8,78,2
78,536109,4847,7,8,78,2
80,604000,4817,7,8,80,2
80,605649,4759,7,8,80,2
80,602399,5022,7,8,80,2
80,651669,5367,7,8,80,2
80,650089,4743,7,8,80,2
82,627727,4937,7,8,82,2
82,611312,5345,7,8,82,2
82,617587,5214,7,8,82,2
82,619232,5022,7,8,82,2
82,587246,4791,7,8,82,2
84,749777,5747,7,8,84,2
84,714478,5429,7,8,84,2
84,735614,5119,7,8,84,2
84,662532,4951,7,8,84,2
84,617476,5250,7,8,84,2
86,640016,5438,7,8,86,2
86,652222,5244,7,8,86,2
86,703253,5166,7,8,86,2
86,617887,6250,7,8,86,2
86,655881,4892,7,8,86,2
88,654690,4810,7,8,88,2
88,620142,4307,7,8,88,2
88,703414,4689,7,8,88,2
88,689572,5123,7,8,88,2
88,683415,5117,7,8,88,2
90,738406,5196,7,8,90,2
90,712178,5244,7,8,90,2
90,717975,4608,7,8,90,2
90,731990,5151,7,8,90,2
90,664329,4882,7,8,90,2
92,692992,5253,7,8,92,2
92,646462,4661,7,8,92,2
92,646708,4678,7,8,92,2
92,684936,4780,7,8,92,2
92,618126,5146,7,8,92,2
94,747693,5210,7,8,94,2
94,703772,5009,7,8,94,2
94,754745,4984,7,8,94,2
94,681539,4644,7,8,94,2
94,687566,4316,7,8,94,2
96,695036,5405,7,8,96,2
96,752638,16132,7,8,96,2
96,714274,4781,7,8,96,2
96,700408,4761,7,8,96,2
96,666321,4742,7,8,96,2
98,791576,4724,7,8,98,2
98,700640,4306,7,8,98,2
98,662404,4777,7,8,98,2
98,715244,4757,7,8,98,2
98,715324,4424,7,8,98,2
100,727207,4310,7,8,100,2
100,696488,4802,7,8,100,2
100,721697,4737,7,8,100,2
100,814317,4774,7,8,100,2
100,689362,5382,7,8,100,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
