Pallet: "pallet_portfolio", Extrinsic: "move_portfolio_funds", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
a,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
149,2108100,2656,455,453,298,2
149,2105664,2651,455,453,298,2
149,2108118,2657,455,453,298,2
153,2152948,2749,467,465,306,2
153,2161624,2604,467,465,306,2
153,2167398,2543,467,465,306,2
153,2220711,2607,467,465,306,2
153,2174902,2634,467,465,306,2
157,2202606,2550,479,477,314,2
157,2196324,2642,479,477,314,2
157,2218846,2789,479,477,314,2
157,2213472,2444,479,477,314,2
157,2209836,2633,479,477,314,2
161,2262830,2546,491,489,322,2
161,2263207,2744,491,489,322,2
161,2255386,2564,491,489,322,2
161,2260837,2651,491,489,322,2
161,2258087,2612,491,489,322,2
165,2317962,2701,503,501,330,2
165,2308633,2549,503,501,330,2
165,2307739,2586,503,501,330,2
165,2298441,2640,503,501,330,2
165,2306113,2629,503,501,330,2
169,2373569,2697,515,513,338,2
169,2381063,2604,515,513,338,2
169,2376993,2617,515,513,338,2
169,2383121,2524,515,513,338,2
169,2405001,2640,515,513,338,2
173,2423981,2579,527,525,346,2
173,2401721,2621,527,525,346,2
173,2417914,2552,527,525,346,2
173,2423675,2632,527,525,346,2
173,2418862,2588,527,525,346,2
177,2499357,2656,539,537,354,2
177,2483205,2662,539,537,354,2
177,2492848,2554,539,537,354,2
177,2506579,2654,539,537,354,2
177,2508913,2539,539,537,354,2
181,2497579,2741,551,549,362,2
181,2493170,2677,551,549,362,2
181,2486005,2510,551,549,362,2
181,2508723,2551,551,549,362,2
181,2500410,2560,551,549,362,2
185,2598616,2614,563,561,370,2
185,2589651,2777,563,561,370,2
185,2586602,2553,563,561,370,2
185,2588735,3314,563,561,370,2
185,2645485,2710,563,561,370,2
189,2701968,2666,575,573,378,2
189,2642294,2613,575,573,378,2
189,2711998,2761,575,573,378,2
189,2674778,2538,575,573,378,2
189,2641550,2625,575,573,378,2
193,2650735,2571,587,585,386,2
193,2651710,2648,587,585,386,2
193,2691725,2598,587,585,386,2
193,2656262,2779,587,585,386,2
193,2640651,2528,587,585,386,2
197,2747743,2659,599,597,394,2
197,2738406,2611,599,597,394,2
197,2764743,2666,599,597,394,2
197,2732205,2633,599,597,394,2
197,2739380,2697,599,597,394,2
201,2803305,2723,611,609,402,2
201,2809010,2611,611,609,402,2
201,2835791,2692,611,609,402,2
201,2815649,2631,611,609,402,2
201,2819242,2681,611,609,402,2
205,2865629,2613,623,621,410,2
205,2858717,2734,623,621,410,2
205,2888890,2624,623,621,410,2
205,2849839,2519,623,621,410,2
205,2857183,2636,623,621,410,2
209,2891542,2602,635,633,418,2
