Pallet: "pallet_settlement", Extrinsic: "update_venue", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
71965,877670,5492,7,8,1,2
71965,900066,5781,7,8,1,2
73964,863744,5393,7,8,1,2
73964,796962,5142,7,8,1,2
73964,782399,4811,7,8,1,2
73964,758941,4969,7,8,1,2
73964,824504,5202,7,8,1,2
75963,886540,6510,7,8,1,2
75963,1025496,6242,7,8,1,2
75963,806829,5459,7,8,1,2
75963,802627,6016,7,8,1,2
75963,858787,5578,7,8,1,2
77962,921340,5398,7,8,1,2
77962,928584,5667,7,8,1,2
77962,1037356,5467,7,8,1,2
77962,947099,5218,7,8,1,2
77962,943085,6214,7,8,1,2
79961,1070943,5616,7,8,1,2
79961,1013095,6103,7,8,1,2
79961,916217,5253,7,8,1,2
79961,1067839,5669,7,8,1,2
79961,898719,5417,7,8,1,2
81960,1006300,5641,7,8,1,2
81960,1108606,5796,7,8,1,2
81960,1006789,6415,7,8,1,2
81960,937529,6538,7,8,1,2
81960,1098059,6671,7,8,1,2
83959,1693824,6515,7,8,1,2
83959,1179422,6403,7,8,1,2
83959,1015719,5848,7,8,1,2
83959,1077234,5821,7,8,1,2
83959,1236581,5855,7,8,1,2
85958,1208450,8782,7,8,1,2
85958,1402931,10662,7,8,1,2
85958,1052898,6176,7,8,1,2
85958,1080935,5650,7,8,1,2
85958,1102360,5528,7,8,1,2
87957,1054147,5972,7,8,1,2
87957,995716,6036,7,8,1,2
87957,1169683,7507,7,8,1,2
87957,1633675,10845,7,8,1,2
87957,1100348,6486,7,8,1,2
89956,994977,5779,7,8,1,2
89956,1184508,5704,7,8,1,2
89956,1033931,5665,7,8,1,2
89956,1094953,5930,7,8,1,2
89956,1161785,5120,7,8,1,2
91955,1118717,6357,7,8,1,2
91955,1065155,6740,7,8,1,2
91955,1035065,5425,7,8,1,2
91955,1089307,5331,7,8,1,2
91955,1060404,6102,7,8,1,2
93954,1057562,6127,7,8,1,2
93954,1151303,5592,7,8,1,2
93954,1066979,5517,7,8,1,2
93954,1186982,5914,7,8,1,2
93954,1116390,6092,7,8,1,2
95953,1032666,5779,7,8,1,2
95953,1232086,5248,7,8,1,2
95953,1023132,5352,7,8,1,2
95953,1201428,6779,7,8,1,2
95953,1189688,6541,7,8,1,2
97952,1254057,5715,7,8,1,2
97952,1206049,5067,7,8,1,2
97952,1090135,5617,7,8,1,2
97952,1194374,6229,7,8,1,2
97952,1143928,6023,7,8,1,2
99951,1141619,6495,7,8,1,2
99951,1066958,5778,7,8,1,2
99951,1154931,5782,7,8,1,2
99951,1151498,5190,7,8,1,2
99951,1283550,6440,7,8,1,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    114.2
    + d     0.01
              µs

Reads = 7 + (0 * d)
Writes = 1 + (0 * d)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    d   mean µs  sigma µs       %
    1     129.1     1.374    1.0%
 2000     138.2      0.47    0.3%
 3999     162.8     3.249    1.9%
 5998     183.8     5.112    2.7%
 7997       232     6.958    2.9%
 9996     243.6     6.111    2.5%
11995       241     9.018    3.7%
13994     277.2     12.16    4.3%
15993     324.2     12.33    3.8%
17992     303.2      3.84    1.2%
19991     325.2     3.198    0.9%
21990     336.7     0.426    0.1%
23989     357.8     7.697    2.1%
25988     355.8     16.01    4.4%
27987     391.7     22.28    5.6%
29986     412.5     6.594    1.5%
31985     438.9     7.051    1.6%
33984     459.5     3.173    0.6%
35983     473.2     4.782    1.0%
37982     484.2     13.45    2.7%
39981     478.6     4.708    0.9%
41980     524.9     15.37    2.9%
43979     602.2     17.74    2.9%
45978     629.4     27.12    4.3%
47977     621.5     26.96    4.3%
49976     611.1     15.69    2.5%
51975     671.9     27.97    4.1%
53974     683.2     23.89    3.4%
55973     674.7     47.05    6.9%
57972     699.7     0.829    0.1%
59971     725.5     6.968    0.9%
61970       796     32.52    4.0%
63969     813.8     8.662    1.0%
65968     842.9     13.15    1.5%
67967     834.1      31.4    3.7%
69966     863.4     17.88    2.0%
71965     864.5     22.94    2.6%
73964     801.2     17.45    2.1%
75963     850.7     33.03    3.8%
77962     939.5     7.952    0.8%
79961       999     62.69    6.2%
81960      1037     43.14    4.1%
83959      1164     65.91    5.6%
85958      1130     55.75    4.9%
87957      1108     47.48    4.2%
89956      1096     52.21    4.7%
91955      1071     12.65    1.1%
93954      1111     34.59    3.1%
95953      1141     76.93    6.7%
97952      1181     26.95    2.2%
99951      1149     5.642    0.4%

Quality and confidence:
param     error
d             0

Model:
Time ~=    105.7
    + d    0.011
              µs

Reads = 7 + (0 * d)
Writes = 1 + (0 * d)
