Pallet: "pallet_staking", Extrinsic: "force_unstake", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
38,353769,5387,4,1,46,0
39,360941,5662,4,1,47,0
39,361603,17434,4,1,47,0
39,362012,5136,4,1,47,0
39,350780,5272,4,1,47,0
39,328025,5471,4,1,47,0
40,385861,4639,4,1,48,0
40,315700,5235,4,1,48,0
40,315146,5175,4,1,48,0
40,315646,5344,4,1,48,0
40,340416,4679,4,1,48,0
41,522232,5019,4,1,49,0
41,373069,5361,4,1,49,0
41,399585,5339,4,1,49,0
41,321124,5396,4,1,49,0
41,322521,4691,4,1,49,0
42,395467,4500,4,1,50,0
42,326257,4747,4,1,50,0
42,326796,4608,4,1,50,0
42,379265,4695,4,1,50,0
42,441403,5269,4,1,50,0
43,387239,5670,4,1,51,0
43,408147,5450,4,1,51,0
43,389123,5299,4,1,51,0
43,373100,4993,4,1,51,0
43,332215,4720,4,1,51,0
44,415158,4724,4,1,52,0
44,335848,5165,4,1,52,0
44,390558,5399,4,1,52,0
44,389598,6276,4,1,52,0
44,354822,4825,4,1,52,0
45,397926,4642,4,1,53,0
45,398177,5318,4,1,53,0
45,400462,5346,4,1,53,0
45,403839,5251,4,1,53,0
45,342071,5316,4,1,53,0
46,360214,5421,4,1,54,0
46,401675,6322,4,1,54,0
46,521472,5014,4,1,54,0
46,348284,4633,4,1,54,0
46,348442,4601,4,1,54,0
47,392459,4578,4,1,55,0
47,415609,5238,4,1,55,0
47,436958,5188,4,1,55,0
47,446799,4705,4,1,55,0
47,462519,5866,4,1,55,0
48,437362,6205,4,1,56,0
48,416879,5307,4,1,56,0
48,415912,5298,4,1,56,0
48,437836,5132,4,1,56,0
48,427057,5545,4,1,56,0
49,419344,5455,4,1,57,0
49,418503,5837,4,1,57,0
49,398814,5344,4,1,57,0
49,435915,4389,4,1,57,0
49,435668,4747,4,1,57,0
50,382981,5446,4,1,58,0
50,442907,5413,4,1,58,0
50,410777,5985,4,1,58,0
50,371839,4699,4,1,58,0
50,367837,4680,4,1,58,0
51,430556,5343,4,1,59,0
51,373229,5326,4,1,59,0
51,371875,4821,4,1,59,0
51,434778,4692,4,1,59,0
51,373945,4652,4,1,59,0
52,380184,4893,4,1,60,0
52,382276,4591,4,1,60,0
52,458981,4608,4,1,60,0
52,444148,5304,4,1,60,0
52,379645,4818,4,1,60,0
53,373701,4627,4,1,61,0
53,384377,4766,4,1,61,0
53,387272,4555,4,1,61,0
53,395517,4681,4,1,61,0
53,387644,4805,4,1,61,0
54,449498,5462,4,1,62,0
54,452029,4820,4,1,62,0
54,470181,5204,4,1,62,0
54,450245,4588,4,1,62,0
54,456736,5200,4,1,62,0
55,413262,5917,4,1,63,0
55,459269,4922,4,1,63,0
55,464541,5463,4,1,63,0
55,396443,5002,4,1,63,0
55,394482,4549,4,1,63,0
56,390128,4776,4,1,64,0
56,449177,4754,4,1,64,0
56,463725,5369,4,1,64,0
56,426390,5352,4,1,64,0
56,463970,5387,4,1,64,0
57,404534,5490,4,1,65,0
57,469727,5122,4,1,65,0
57,427987,5221,4,1,65,0
57,405209,4675,4,1,65,0
57,466969,4724,4,1,65,0
58,409419,4834,4,1,66,0
58,412628,4491,4,1,66,0
58,409421,4537,4,1,66,0
58,473579,4535,4,1,66,0
58,501991,5198,4,1,66,0
59,534635,5331,4,1,67,0
59,483001,5355,4,1,67,0
59,484512,4779,4,1,67,0
59,483909,4920,4,1,67,0
59,461311,5772,4,1,67,0
60,507572,5322,4,1,68,0
60,522149,4538,4,1,68,0
60,487482,5169,4,1,68,0
60,535929,5378,4,1,68,0
60,511754,4819,4,1,68,0
61,511585,4648,4,1,69,0
61,441767,4686,4,1,69,0
61,524644,4715,4,1,69,0
61,429807,5468,4,1,69,0
61,503177,5608,4,1,69,0
62,513726,6026,4,1,70,0
62,557207,5232,4,1,70,0
62,530068,5454,4,1,70,0
62,501039,4666,4,1,70,0
62,513977,5399,4,1,70,0
63,534124,5361,4,1,71,0
63,500016,4656,4,1,71,0
63,710241,5599,4,1,71,0
63,620096,6169,4,1,71,0
63,548266,5287,4,1,71,0
64,542446,5302,4,1,72,0
64,560761,5394,4,1,72,0
64,528785,4765,4,1,72,0
64,602139,6275,4,1,72,0
64,568329,6403,4,1,72,0
65,576469,6105,4,1,73,0
65,572080,5376,4,1,73,0
65,490077,4609,4,1,73,0
65,515894,5515,4,1,73,0
65,468365,5675,4,1,73,0
66,568647,6073,4,1,74,0
66,530191,6245,4,1,74,0
66,581157,6704,4,1,74,0
66,580160,5722,4,1,74,0
66,534001,4832,4,1,74,0
67,458298,5956,4,1,75,0
67,532006,5925,4,1,75,0
67,530505,6247,4,1,75,0
67,555270,4775,4,1,75,0
67,540906,5710,4,1,75,0
68,507652,5771,4,1,76,0
68,539039,6224,4,1,76,0
68,537493,5349,4,1,76,0
68,535355,4610,4,1,76,0
68,463229,5440,4,1,76,0
69,542905,5906,4,1,77,0
69,467595,5074,4,1,77,0
69,538152,6355,4,1,77,0
69,542951,5073,4,1,77,0
69,521376,5598,4,1,77,0
70,519263,5658,4,1,78,0
70,600708,5602,4,1,78,0
70,556141,5750,4,1,78,0
70,547990,5641,4,1,78,0
70,536339,4982,4,1,78,0
71,544709,5002,4,1,79,0
71,569649,5485,4,1,79,0
71,481166,5050,4,1,79,0
71,477486,5480,4,1,79,0
71,544191,5242,4,1,79,0
72,606931,5128,4,1,80,0
72,619260,6239,4,1,80,0
72,580669,5409,4,1,80,0
72,588372,6546,4,1,80,0
72,620844,6073,4,1,80,0
73,566917,5708,4,1,81,0
73,546575,5944,4,1,81,0
73,596254,6068,4,1,81,0
73,586852,5737,4,1,81,0
73,568112,5660,4,1,81,0
74,573582,5635,4,1,82,0
74,553660,4603,4,1,82,0
74,538979,5745,4,1,82,0
74,493847,20982,4,1,82,0
74,495995,5567,4,1,82,0
75,579971,5396,4,1,83,0
75,503615,5471,4,1,83,0
75,550285,5322,4,1,83,0
75,586710,5504,4,1,83,0
75,621636,5299,4,1,83,0
76,539744,5635,4,1,84,0
76,584640,6114,4,1,84,0
76,602663,4664,4,1,84,0
76,592306,5629,4,1,84,0
76,516593,4788,4,1,84,0
77,535351,5573,4,1,85,0
77,592107,4738,4,1,85,0
77,579193,4730,4,1,85,0
77,590032,5546,4,1,85,0
77,552721,4974,4,1,85,0
78,617951,5575,4,1,86,0
78,533927,5036,4,1,86,0
78,532814,6007,4,1,86,0
78,633683,6027,4,1,86,0
78,520479,5157,4,1,86,0
79,522787,4937,4,1,87,0
79,551129,4954,4,1,87,0
79,615814,5206,4,1,87,0
79,521161,4657,4,1,87,0
79,604332,5874,4,1,87,0
80,641510,5531,4,1,88,0
80,528224,4965,4,1,88,0
80,648325,4839,4,1,88,0
80,526470,5177,4,1,88,0
80,607730,4810,4,1,88,0
81,547106,5426,4,1,89,0
81,556131,6036,4,1,89,0
81,836083,5601,4,1,89,0
81,608251,4562,4,1,89,0
81,584801,5199,4,1,89,0
82,648945,5807,4,1,90,0
82,686370,5404,4,1,90,0
82,621963,4810,4,1,90,0
82,591357,4692,4,1,90,0
82,621448,5421,4,1,90,0
83,686272,5048,4,1,91,0
83,629728,5436,4,1,91,0
83,630077,5505,4,1,91,0
83,680091,5206,4,1,91,0
83,570981,4622,4,1,91,0
84,638457,5681,4,1,92,0
84,635738,5533,4,1,92,0
84,627180,4911,4,1,92,0
84,632614,5461,4,1,92,0
84,624828,5821,4,1,92,0
85,627928,5571,4,1,93,0
85,642528,4804,4,1,93,0
85,612847,5322,4,1,93,0
85,917547,6122,4,1,93,0
85,679860,5654,4,1,93,0
86,606494,5519,4,1,94,0
86,564666,4898,4,1,94,0
86,558283,5366,4,1,94,0
86,609065,5441,4,1,94,0
86,688367,17149,4,1,94,0
87,593275,5878,4,1,95,0
87,561631,5285,4,1,95,0
87,737963,5249,4,1,95,0
87,582081,6026,4,1,95,0
87,668122,5579,4,1,95,0
88,642169,5640,4,1,96,0
88,633431,5104,4,1,96,0
88,659367,6854,4,1,96,0
88,733639,5447,4,1,96,0
88,603803,5560,4,1,96,0
89,585613,6091,4,1,97,0
89,677312,5684,4,1,97,0
89,574640,5065,4,1,97,0
89,582316,4833,4,1,97,0
89,665932,4856,4,1,97,0
90,747311,7722,4,1,98,0
90,671570,6205,4,1,98,0
90,608354,5735,4,1,98,0
90,690648,18190,4,1,98,0
90,631547,5510,4,1,98,0
91,581604,5031,4,1,99,0
91,624666,5532,4,1,99,0
91,627610,5430,4,1,99,0
91,675503,4999,4,1,99,0
91,651440,4754,4,1,99,0
92,704448,5080,4,1,100,0
92,765055,6689,4,1,100,0
92,639077,5486,4,1,100,0
92,622029,5024,4,1,100,0
92,680978,6030,4,1,100,0
93,785243,6138,4,1,101,0
93,688640,5830,4,1,101,0
93,591666,18181,4,1,101,0
93,708269,5646,4,1,101,0
93,683352,5596,4,1,101,0
94,686452,6946,4,1,102,0
94,716432,6480,4,1,102,0
94,654947,6016,4,1,102,0
94,694363,5627,4,1,102,0
94,598932,4845,4,1,102,0
95,624780,6117,4,1,103,0
95,717482,5836,4,1,103,0
95,704493,5582,4,1,103,0
95,764668,5647,4,1,103,0
95,716427,5732,4,1,103,0
96,705815,6097,4,1,104,0
96,774014,6213,4,1,104,0
96,706243,4768,4,1,104,0
96,703893,6098,4,1,104,0
96,719753,6022,4,1,104,0
97,665159,5702,4,1,105,0
97,732383,4999,4,1,105,0
97,725643,5444,4,1,105,0
97,714951,4680,4,1,105,0
97,711345,5348,4,1,105,0
98,736685,5833,4,1,106,0
98,719206,5446,4,1,106,0
98,703479,5565,4,1,106,0
98,809662,6295,4,1,106,0
98,786135,5626,4,1,106,0
99,836412,5803,4,1,107,0
99,626780,5508,4,1,107,0
99,742429,4915,4,1,107,0
99,741395,5505,4,1,107,0
99,724063,4966,4,1,107,0
100,722178,5103,4,1,108,0
100,763869,5427,4,1,108,0
100,691539,5927,4,1,108,0
100,729089,4848,4,1,108,0
100,754619,5811,4,1,108,0

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    120.4
    + s    6.109
              µs

Reads = 4 + (0 * s)
Writes = 8 + (1 * s)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    s   mean µs  sigma µs       %
    0     103.8     8.183    7.8%
    1     118.9     6.367    5.3%
    2     127.3     8.214    6.4%
    3     133.9     9.135    6.8%
    4     141.9      9.46    6.6%
    5       148     10.66    7.2%
    6     150.7     9.641    6.3%
    7     164.8     0.142    0.0%
    8     147.9     0.422    0.2%
    9     168.6     11.07    6.5%
   10     166.1     11.15    6.7%
   11     177.3     10.83    6.1%
   12     204.7     11.68    5.7%
   13     191.8     12.79    6.6%
   14     187.2     11.14    5.9%
   15     218.2     6.115    2.8%
   16     198.5     6.889    3.4%
   17     206.6     14.04    6.7%
   18     220.1     15.04    6.8%
   19     215.7      14.4    6.6%
   20     232.8     15.84    6.8%
   21     249.2     0.658    0.2%
   22       244     16.46    6.7%
   23     272.6     14.71    5.3%
   24     245.3     18.17    7.4%
   25     247.8     15.33    6.1%
   26     280.2       0.6    0.2%
   27     275.3     18.77    6.8%
   28     290.2     2.798    0.9%
   29     305.8     12.31    4.0%
   30     303.9     0.175    0.0%
   31     269.4     3.716    1.3%
   32     310.1     26.31    8.4%
   33     322.1     0.444    0.1%
   34     324.1     7.017    2.1%
   35     349.2     13.24    3.7%
   36     341.2     0.816    0.2%
   37     347.5     3.377    0.9%
   38     342.8     14.51    4.2%
   39     357.7     4.953    1.3%
   40     323.9     11.66    3.6%
   41       365     31.96    8.7%
   42     367.1      29.3    7.9%
   43     383.1      7.15    1.8%
   44     378.3     16.62    4.3%
   45     398.8      1.14    0.2%
   46     370.1     22.83    6.1%
   47     433.1     13.01    3.0%
   48       427     8.362    1.9%
   49     424.5       7.9    1.8%
   50     388.5     16.37    4.2%
   51     392.5     26.85    6.8%
   52     402.2     29.67    7.3%
   53     386.4      1.46    0.3%
   54       453     2.738    0.6%
   55     422.9     26.55    6.2%
   56     446.4     15.36    3.4%
   57     433.3      25.5    5.8%
   58     431.8     29.51    6.8%
   59     483.8     0.621    0.1%
   60     513.8     6.128    1.1%
   61     485.5     31.12    6.4%
   62     519.2     7.645    1.4%
   63     567.4     37.63    6.6%
   64     557.1     10.86    1.9%
   65       526     34.23    6.5%
   66     560.9     19.61    3.4%
   67     534.4      4.59    0.8%
   68     526.8     13.59    2.5%
   69     534.1     9.234    1.7%
   70     546.8     8.126    1.4%
   71     523.3     29.83    5.7%
   72     604.8     12.69    2.0%
   73     573.9     9.128    1.5%
   74     529.5     24.46    4.6%
   75     572.3     15.82    2.7%
   76     572.2     23.18    4.0%
   77     573.9     15.67    2.7%
   78     561.5     39.87    7.1%
   79     559.4      33.8    6.0%
   80     592.4     47.48    8.0%
   81       583     21.31    3.6%
   82     630.7     12.84    2.0%
   83     646.6     23.65    3.6%
   84     631.8     3.535    0.5%
   85     650.1     21.86    3.3%
   86     593.4     20.35    3.4%
   87     614.4     38.19    6.2%
   88     644.9     10.77    1.6%
   89     611.2     38.66    6.3%
   90     664.5     24.62    3.7%
   91     634.5     11.98    1.8%
   92     674.8     27.03    4.0%
   93     693.4     10.71    1.5%
   94     678.5     17.02    2.5%
   95     712.8      5.89    0.8%
   96     710.6     6.471    0.9%
   97     717.3     6.071    0.8%
   98     747.3     28.34    3.7%
   99     735.9     8.424    1.1%
  100     735.2     13.95    1.8%

Quality and confidence:
param     error
s         0.055

Model:
Time ~=    112.1
    + s    6.127
              µs

Reads = 4 + (0 * s)
Writes = 8 + (1 * s)
