Pallet: "frame_system", Extrinsic: "set_changes_trie_config", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
380,19275,16018,1,0,2,0
390,18691,13554,1,0,2,0
390,15721,14999,1,0,2,0
390,16633,15191,1,0,2,0
390,16384,13110,1,0,2,0
390,14879,12693,1,0,2,0
400,16695,13323,1,0,2,0
400,16162,13816,1,0,2,0
400,16430,12590,1,0,2,0
400,16208,12229,1,0,2,0
400,16243,13752,1,0,2,0
410,18152,13223,1,0,2,0
410,18151,13796,1,0,2,0
410,16379,15856,1,0,2,0
410,17248,14964,1,0,2,0
410,16746,14027,1,0,2,0
420,17784,13492,1,0,2,0
420,17128,31369,1,0,2,0
420,18241,14541,1,0,2,0
420,16419,13258,1,0,2,0
420,16294,11911,1,0,2,0
430,16874,13313,1,0,2,0
430,16976,14740,1,0,2,0
430,16342,11808,1,0,2,0
430,16231,12987,1,0,2,0
430,17090,13333,1,0,2,0
440,16212,14178,1,0,2,0
440,16482,15589,1,0,2,0
440,16936,13662,1,0,2,0
440,16566,14384,1,0,2,0
440,17993,14443,1,0,2,0
450,16832,14439,1,0,2,0
450,17212,14353,1,0,2,0
450,16679,15385,1,0,2,0
450,16641,16257,1,0,2,0
450,17700,14492,1,0,2,0
460,18869,13391,1,0,2,0
460,34405,14324,1,0,2,0
460,16429,24721,1,0,2,0
460,16477,12128,1,0,2,0
460,16179,12779,1,0,2,0
470,18853,15082,1,0,2,0
470,19708,26047,1,0,2,0
470,16666,13409,1,0,2,0
470,17109,13372,1,0,2,0
470,17518,13999,1,0,2,0
480,17033,14023,1,0,2,0
480,16148,13406,1,0,2,0
480,16199,13382,1,0,2,0
480,16574,14150,1,0,2,0
480,17068,14702,1,0,2,0
490,17805,15346,1,0,2,0
490,17423,17820,1,0,2,0
490,17243,14549,1,0,2,0
490,18782,17744,1,0,2,0
490,17148,19315,1,0,2,0
500,18286,17956,1,0,2,0
500,17638,14833,1,0,2,0
500,17590,13569,1,0,2,0
500,17640,12916,1,0,2,0
500,17319,14715,1,0,2,0
510,20026,13553,1,0,2,0
510,18142,14261,1,0,2,0
510,18910,15507,1,0,2,0
510,17450,13620,1,0,2,0
510,17866,15275,1,0,2,0
520,20676,15161,1,0,2,0
520,29959,15281,1,0,2,0
520,17326,15109,1,0,2,0
520,17182,12375,1,0,2,0
520,17572,13303,1,0,2,0
530,16889,15006,1,0,2,0
530,17470,14612,1,0,2,0
530,16156,12871,1,0,2,0
530,16146,13910,1,0,2,0
530,17128,12913,1,0,2,0
540,16396,16041,1,0,2,0
540,20099,16645,1,0,2,0
540,19574,16948,1,0,2,0
540,18880,16014,1,0,2,0
540,18610,14423,1,0,2,0
550,18699,14282,1,0,2,0
550,17759,17171,1,0,2,0
550,28473,14633,1,0,2,0
550,17563,15752,1,0,2,0
550,20152,15857,1,0,2,0
560,19983,15888,1,0,2,0
560,19148,15240,1,0,2,0
560,17688,17003,1,0,2,0
560,21429,17348,1,0,2,0
560,20373,23741,1,0,2,0
570,21030,18107,1,0,2,0
570,18539,16656,1,0,2,0
570,21187,18922,1,0,2,0
570,18769,16217,1,0,2,0
570,19119,14796,1,0,2,0
580,18829,15185,1,0,2,0
580,21224,19800,1,0,2,0
580,19845,14801,1,0,2,0
580,18333,39944,1,0,2,0
580,19485,14206,1,0,2,0
590,17023,14177,1,0,2,0
590,20338,15486,1,0,2,0
590,19823,13915,1,0,2,0
590,16681,11964,1,0,2,0
590,17054,15398,1,0,2,0
600,18735,14055,1,0,2,0
600,19012,15776,1,0,2,0
600,18540,14285,1,0,2,0
600,18782,14209,1,0,2,0
600,19643,14049,1,0,2,0
610,18506,13025,1,0,2,0
610,19340,13633,1,0,2,0
610,17084,15452,1,0,2,0
610,19611,13510,1,0,2,0
610,15956,12844,1,0,2,0
620,17371,17556,1,0,2,0
620,18491,14030,1,0,2,0
620,17390,15241,1,0,2,0
620,17689,16481,1,0,2,0
620,17371,15041,1,0,2,0
630,18490,14788,1,0,2,0
630,18630,15701,1,0,2,0
630,17162,14840,1,0,2,0
630,16516,14043,1,0,2,0
630,17215,13304,1,0,2,0
640,19182,16836,1,0,2,0
640,18344,17015,1,0,2,0
640,20179,15277,1,0,2,0
640,18388,16344,1,0,2,0
640,18892,15227,1,0,2,0
650,35041,15257,1,0,2,0
650,19467,14248,1,0,2,0
650,17428,14680,1,0,2,0
650,17533,15698,1,0,2,0
650,17266,15331,1,0,2,0
660,18529,15719,1,0,2,0
660,20257,14157,1,0,2,0
660,19093,13864,1,0,2,0
660,17207,16368,1,0,2,0
660,18428,14737,1,0,2,0
670,17683,13026,1,0,2,0
670,18029,13658,1,0,2,0
670,19018,16143,1,0,2,0
670,21491,15259,1,0,2,0
670,19255,15779,1,0,2,0
680,17931,15930,1,0,2,0
680,17845,16343,1,0,2,0
680,18085,16920,1,0,2,0
680,18444,16131,1,0,2,0
680,19301,14249,1,0,2,0
690,17505,14948,1,0,2,0
690,20430,16794,1,0,2,0
690,20437,15393,1,0,2,0
690,17525,15534,1,0,2,0
690,17915,12706,1,0,2,0
700,17832,24951,1,0,2,0
700,15953,12614,1,0,2,0
700,16351,12474,1,0,2,0
700,17500,14772,1,0,2,0
700,17612,13144,1,0,2,0
710,16250,12799,1,0,2,0
710,16703,13492,1,0,2,0
710,17050,12247,1,0,2,0
710,16943,13555,1,0,2,0
710,16166,14051,1,0,2,0
720,18720,12951,1,0,2,0
720,17671,14018,1,0,2,0
720,16929,14822,1,0,2,0
720,17031,13866,1,0,2,0
720,19610,13629,1,0,2,0
730,17782,14592,1,0,2,0
730,18041,13742,1,0,2,0
730,16261,14565,1,0,2,0
730,17331,16645,1,0,2,0
730,27082,11671,1,0,2,0
740,17403,13005,1,0,2,0
740,16438,12582,1,0,2,0
740,16598,12547,1,0,2,0
740,20981,15469,1,0,2,0
740,17104,15709,1,0,2,0
750,17623,14557,1,0,2,0
750,19053,15156,1,0,2,0
750,17519,15099,1,0,2,0
750,21011,15522,1,0,2,0
750,20874,12336,1,0,2,0
760,17142,13237,1,0,2,0
760,19442,14909,1,0,2,0
760,19770,13903,1,0,2,0
760,19470,12955,1,0,2,0
760,17375,14341,1,0,2,0
770,17588,14404,1,0,2,0
770,18456,12143,1,0,2,0
770,18251,13339,1,0,2,0
770,18613,13451,1,0,2,0
770,17165,12892,1,0,2,0
780,19824,14444,1,0,2,0
780,17683,14864,1,0,2,0
780,18566,16621,1,0,2,0
780,19973,13073,1,0,2,0
780,17764,13408,1,0,2,0
790,16421,13069,1,0,2,0
790,20676,13184,1,0,2,0
790,18503,13650,1,0,2,0
790,18956,15158,1,0,2,0
790,17275,13793,1,0,2,0
800,18501,13362,1,0,2,0
800,18281,17338,1,0,2,0
800,19635,16629,1,0,2,0
800,20406,15208,1,0,2,0
800,20313,14839,1,0,2,0
810,18844,13516,1,0,2,0
810,17839,13954,1,0,2,0
810,18033,15736,1,0,2,0
810,22499,16988,1,0,2,0
