Pallet: "pallet_staking", Extrinsic: "submit_solution_initial", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,a,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1220,2000,500,100,94935591,10549,2106,16406,2,2
1230,2000,500,100,99672570,11401,2106,16406,2,2
1230,2000,500,100,98139363,13491,2106,16406,2,2
1230,2000,500,100,97871983,12366,2106,16406,2,2
1230,2000,500,100,101774555,12849,2106,16406,2,2
1230,2000,500,100,98854549,12479,2106,16406,2,2
1240,2000,500,100,96187570,12647,2106,16406,2,2
1240,2000,500,100,98979000,11884,2106,16406,2,2
1240,2000,500,100,101506807,12537,2106,16406,2,2
1240,2000,500,100,105815216,13130,2106,16406,2,2
1240,2000,500,100,105583858,13299,2106,16406,2,2
1250,2000,500,100,99246148,13103,2106,16406,2,2
1250,2000,500,100,102630768,10968,2106,16406,2,2
1250,2000,500,100,101033796,12004,2106,16406,2,2
1250,2000,500,100,97561074,11317,2106,16406,2,2
1250,2000,500,100,101897678,13489,2106,16406,2,2
1260,2000,500,100,99622072,12063,2106,16406,2,2
1260,2000,500,100,102841399,12505,2106,16406,2,2
1260,2000,500,100,98723408,10976,2106,16406,2,2
1260,2000,500,100,96187977,23887,2106,16406,2,2
1260,2000,500,100,106898667,14749,2106,16406,2,2
1270,2000,500,100,100079070,12045,2106,16406,2,2
1270,2000,500,100,113328133,14672,2106,16406,2,2
1270,2000,500,100,152200203,12835,2106,16406,2,2
1270,2000,500,100,100891611,13816,2106,16406,2,2
1270,2000,500,100,94449411,12490,2106,16406,2,2
1280,2000,500,100,101204457,10818,2106,16406,2,2
1280,2000,500,100,103626896,15162,2106,16406,2,2
1280,2000,500,100,99625084,21369,2106,16406,2,2
1280,2000,500,100,99552451,14381,2106,16406,2,2
1280,2000,500,100,111906089,14604,2106,16406,2,2
1290,2000,500,100,99211431,26133,2106,16406,2,2
1290,2000,500,100,98554967,12532,2106,16406,2,2
1290,2000,500,100,100020485,10595,2106,16406,2,2
1290,2000,500,100,97708801,11684,2106,16406,2,2
1290,2000,500,100,104111303,11945,2106,16406,2,2
1300,2000,500,100,104004156,20090,2106,16406,2,2
1300,2000,500,100,99949471,13291,2106,16406,2,2
1300,2000,500,100,105533093,13594,2106,16406,2,2
1300,2000,500,100,99389570,11861,2106,16406,2,2
1300,2000,500,100,98129126,12725,2106,16406,2,2
1310,2000,500,100,104721217,15019,2106,16406,2,2
1310,2000,500,100,100272934,13025,2106,16406,2,2
1310,2000,500,100,99790877,29373,2106,16406,2,2
1310,2000,500,100,102181529,13787,2106,16406,2,2
1310,2000,500,100,103684227,13952,2106,16406,2,2
1320,2000,500,100,104958199,13628,2106,16406,2,2
1320,2000,500,100,117200083,15806,2106,16406,2,2
1320,2000,500,100,104374980,12773,2106,16406,2,2
1320,2000,500,100,104257251,13119,2106,16406,2,2
1320,2000,500,100,98272490,12250,2106,16406,2,2
1330,2000,500,100,107309436,29766,2106,16406,2,2
1330,2000,500,100,99825254,12076,2106,16406,2,2
1330,2000,500,100,101216232,13006,2106,16406,2,2
1330,2000,500,100,101626509,15813,2106,16406,2,2
1330,2000,500,100,102153015,12345,2106,16406,2,2
1340,2000,500,100,100492691,11592,2106,16406,2,2
1340,2000,500,100,102793089,12410,2106,16406,2,2
1340,2000,500,100,107943554,11865,2106,16406,2,2
1340,2000,500,100,102810670,10278,2106,16406,2,2
1340,2000,500,100,100122897,12592,2106,16406,2,2
1350,2000,500,100,100795731,13507,2106,16406,2,2
1350,2000,500,100,107233105,25004,2106,16406,2,2
1350,2000,500,100,98289217,10306,2106,16406,2,2
1350,2000,500,100,106240068,13523,2106,16406,2,2
1350,2000,500,100,99921391,12643,2106,16406,2,2
1360,2000,500,100,99626801,11531,2106,16406,2,2
1360,2000,500,100,99195602,13586,2106,16406,2,2
1360,2000,500,100,100138320,19939,2106,16406,2,2
1360,2000,500,100,102575316,14812,2106,16406,2,2
1360,2000,500,100,109176262,13305,2106,16406,2,2
1370,2000,500,100,98588746,11576,2106,16406,2,2
1370,2000,500,100,103260106,12644,2106,16406,2,2
1370,2000,500,100,103157261,22863,2106,16406,2,2
1370,2000,500,100,108002982,11068,2106,16406,2,2
