Pallet: "pallet_statistics", Extrinsic: "remove_exempted_entities", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
370,2926313,6391,7,8,370,2
370,3039099,8282,7,8,370,2
370,2939696,6449,7,8,370,2
370,2887972,7620,7,8,370,2
370,2887336,6768,7,8,370,2
380,3203318,9410,7,8,380,2
380,3055888,9365,7,8,380,2
380,3230334,9531,7,8,380,2
380,3117954,7815,7,8,380,2
380,2864443,7559,7,8,380,2
390,3742698,9171,7,8,390,2
390,3313339,7692,7,8,390,2
390,3186568,8267,7,8,390,2
390,3289943,8463,7,8,390,2
390,3445751,10082,7,8,390,2
400,3533839,8716,7,8,400,2
400,3368784,7861,7,8,400,2
400,3552846,7903,7,8,400,2
400,3173413,8164,7,8,400,2
400,3525635,8195,7,8,400,2
410,3234502,8019,7,8,410,2
410,3525923,9522,7,8,410,2
410,3427083,9501,7,8,410,2
410,3465799,8318,7,8,410,2
410,3360435,8807,7,8,410,2
420,3790162,9856,7,8,420,2
420,3356292,8796,7,8,420,2
420,3577452,7879,7,8,420,2
420,3755545,8845,7,8,420,2
420,3559996,8473,7,8,420,2
430,3418536,8432,7,8,430,2
430,3926050,9088,7,8,430,2
430,3858702,9696,7,8,430,2
430,3796627,9115,7,8,430,2
430,3727032,10373,7,8,430,2
440,3702110,9287,7,8,440,2
440,3603758,8704,7,8,440,2
440,3494070,8138,7,8,440,2
440,3527464,8610,7,8,440,2
440,3717389,8946,7,8,440,2
450,3661312,9047,7,8,450,2
450,3632947,7669,7,8,450,2
450,3735521,6309,7,8,450,2
450,4090072,8209,7,8,450,2
450,3631856,8325,7,8,450,2
460,3346757,6573,7,8,460,2
460,3692655,6627,7,8,460,2
460,3426428,6248,7,8,460,2
460,3988090,6449,7,8,460,2
460,3577577,7333,7,8,460,2
470,3422077,7781,7,8,470,2
470,3727533,7668,7,8,470,2
470,3769226,6734,7,8,470,2
470,3685933,6539,7,8,470,2
470,3693819,8767,7,8,470,2
480,4032058,9328,7,8,480,2
480,3631208,8258,7,8,480,2
480,3992703,8740,7,8,480,2
480,3886744,7225,7,8,480,2
480,3902934,6320,7,8,480,2
490,3760106,7089,7,8,490,2
490,4186809,8414,7,8,490,2
490,3984503,8060,7,8,490,2
490,3856901,8001,7,8,490,2
490,3930224,8903,7,8,490,2
500,4226777,8393,7,8,500,2
500,4150186,7508,7,8,500,2
500,4036824,7678,7,8,500,2
500,3916113,7321,7,8,500,2
500,3854705,8151,7,8,500,2
510,4174740,9505,7,8,510,2
510,3977173,9259,7,8,510,2
510,4146126,9361,7,8,510,2
510,4458538,8226,7,8,510,2
510,3981974,7659,7,8,510,2
520,4548490,10062,7,8,520,2
520,5047172,10241,7,8,520,2
520,4593459,9918,7,8,520,2
520,4550510,8967,7,8,520,2
520,4401466,10511,7,8,520,2
530,4542431,10151,7,8,530,2
530,4641030,7990,7,8,530,2
530,4864689,9913,7,8,530,2
530,4264241,7861,7,8,530,2
530,4443311,9578,7,8,530,2
540,4708499,9532,7,8,540,2
540,4398259,11018,7,8,540,2
540,4578683,8346,7,8,540,2
540,4600257,10222,7,8,540,2
540,4660877,8883,7,8,540,2
550,4625243,10663,7,8,550,2
550,4666674,10832,7,8,550,2
550,4915581,10835,7,8,550,2
550,4603686,8336,7,8,550,2
550,4760298,9669,7,8,550,2
560,4745683,9520,7,8,560,2
560,4473938,8286,7,8,560,2
560,4416412,7566,7,8,560,2
560,4500327,8696,7,8,560,2
560,4730981,7532,7,8,560,2
570,4653306,7580,7,8,570,2
570,4712983,8549,7,8,570,2
570,4536515,9347,7,8,570,2
570,4573876,6694,7,8,570,2
570,5035482,8885,7,8,570,2
580,5031482,8903,7,8,580,2
580,4417274,8105,7,8,580,2
580,4626337,19546,7,8,580,2
580,5083520,8487,7,8,580,2
580,4563040,8895,7,8,580,2
590,4873912,7374,7,8,590,2
590,4984887,6901,7,8,590,2
590,5280968,8751,7,8,590,2
590,4945086,7915,7,8,590,2
590,4910250,6854,7,8,590,2
600,5302074,7922,7,8,600,2
600,5011390,8523,7,8,600,2
600,5132122,7126,7,8,600,2
600,4766876,7931,7,8,600,2
600,4956598,9233,7,8,600,2
610,4741219,7554,7,8,610,2
610,4848358,8172,7,8,610,2
610,4529072,8903,7,8,610,2
610,5220879,9206,7,8,610,2
610,5146867,8785,7,8,610,2
620,4989794,8586,7,8,620,2
620,4872388,9489,7,8,620,2
620,5006079,8318,7,8,620,2
620,4751756,8093,7,8,620,2
