Pallet: "pallet_identity", Extrinsic: "register_did", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
72,4937821,5386,155,153,148,2
72,5068705,16962,155,153,148,2
72,5184715,5327,155,153,148,2
74,5010219,6216,159,157,152,2
74,5163972,5485,159,157,152,2
74,5044684,4945,159,157,152,2
74,4861344,5132,159,157,152,2
74,5064069,4987,159,157,152,2
76,5147078,5489,163,161,156,2
76,5242899,5132,163,161,156,2
76,5301776,5746,163,161,156,2
76,5340308,4970,163,161,156,2
76,5681093,6505,163,161,156,2
78,5511018,6561,167,165,160,2
78,5682291,5743,167,165,160,2
78,5455516,6125,167,165,160,2
78,5402338,5824,167,165,160,2
78,5903109,5702,167,165,160,2
80,5393211,5697,171,169,164,2
80,5291953,5052,171,169,164,2
80,5214238,5642,171,169,164,2
80,5025246,5263,171,169,164,2
80,5356564,5557,171,169,164,2
82,5552226,5723,175,173,168,2
82,5762470,5941,175,173,168,2
82,5851225,5396,175,173,168,2
82,5577409,5561,175,173,168,2
82,5440509,6546,175,173,168,2
84,5501186,5819,179,177,172,2
84,6025371,5880,179,177,172,2
84,5550687,5547,179,177,172,2
84,5883977,5422,179,177,172,2
84,5611932,5627,179,177,172,2
86,6013906,7227,183,181,176,2
86,6124911,5702,183,181,176,2
86,5959671,5664,183,181,176,2
86,6178826,5874,183,181,176,2
86,6002579,5523,183,181,176,2
88,6389681,6157,187,185,180,2
88,5708542,7259,187,185,180,2
88,6114679,5885,187,185,180,2
88,5987151,5791,187,185,180,2
88,5707111,5665,187,185,180,2
90,5829188,5358,191,189,184,2
90,5794807,5300,191,189,184,2
90,5635446,5348,191,189,184,2
90,5543741,5674,191,189,184,2
90,5893260,5212,191,189,184,2
92,5739685,5334,195,193,188,2
92,5874471,5154,195,193,188,2
92,6032642,5060,195,193,188,2
92,5906168,5483,195,193,188,2
92,5887857,5138,195,193,188,2
94,5963891,5537,199,197,192,2
94,6246860,5975,199,197,192,2
94,6437985,5529,199,197,192,2
94,6417310,6164,199,197,192,2
94,6125713,6010,199,197,192,2
96,6248219,5306,203,201,196,2
96,6168768,7021,203,201,196,2
96,6199971,5821,203,201,196,2
96,6064622,5694,203,201,196,2
96,6385973,6115,203,201,196,2
98,6794352,5845,207,205,200,2
98,6353752,5803,207,205,200,2
98,6399680,7234,207,205,200,2
98,6148403,5265,207,205,200,2
98,6306055,5455,207,205,200,2
100,7166526,6975,211,209,204,2
100,8423829,9190,211,209,204,2
100,6557773,9811,211,209,204,2
100,6742150,7370,211,209,204,2
100,6825641,5551,211,209,204,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=     1312
    + i    52.04
              µs

Reads = 11 + (2 * i)
Writes = 4 + (2 * i)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    i   mean µs  sigma µs       %
    0      1214      58.9    4.8%
    2      1401     54.53    3.8%
    4      1499     26.26    1.7%
    6      1596     100.6    6.3%
    8      1710     44.07    2.5%
   10      1933     53.26    2.7%
   12      2002     50.81    2.5%
   14      1994     33.66    1.6%
   16      2060     20.58    0.9%
   18      2186     22.81    1.0%
   20      2330     70.07    3.0%
   22      2528     39.11    1.5%
   24      2525     23.54    0.9%
   26      2633     51.33    1.9%
   28      2758     29.96    1.0%
   30      2870     78.21    2.7%
   32      2978     81.47    2.7%
   34      3008     39.64    1.3%
   36      3146     38.03    1.2%
   38      3357     6.466    0.1%
   40      3453     39.81    1.1%
   42      3589     22.01    0.6%
   44      3643     155.9    4.2%
   46      3755     6.638    0.1%
   48      4116     64.55    1.5%
   50      4179     98.37    2.3%
   52      4127     20.87    0.5%
   54      4301     25.72    0.5%
   56      4258     69.56    1.6%
   58      4373     79.41    1.8%
   60      4333     39.29    0.9%
   62      4541     71.45    1.5%
   64      4907     53.27    1.0%
   66      4622     67.54    1.4%
   68      4762     86.36    1.8%
   70      4872     31.16    0.6%
   72      4998     53.92    1.0%
   74      5039     22.26    0.4%
   76      5294     40.05    0.7%
   78      5549     96.51    1.7%
   80      5287     58.18    1.1%
   82      5630     93.73    1.6%
   84      5682     144.8    2.5%
   86      6047     55.19    0.9%
   88      5936     169.5    2.8%
   90      5753      84.4    1.4%
   92      5889     12.99    0.2%
   94      6263     119.6    1.9%
   96      6205     32.68    0.5%
   98      6353     38.22    0.6%
  100      6911     183.5    2.6%

