Pallet: "pallet_group", Extrinsic: "reset_members", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
m,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,1309964,6513,9,19,6,2
1,1440787,4695,9,19,6,2
1,1672298,5784,9,19,6,2
1,1664471,5869,9,19,6,2
1,1670906,5785,9,19,6,2
10,11507785,6811,18,55,15,2
10,10881117,5782,18,55,15,2
10,11434632,5177,18,55,15,2
10,11868027,5583,18,55,15,2
10,10877477,5670,18,55,15,2
19,22500308,9463,27,91,24,2
19,22841449,6272,27,91,24,2
19,23270545,7225,27,91,24,2
19,21841750,6808,27,91,24,2
19,21763691,5937,27,91,24,2
28,34169414,8192,36,127,33,2
28,32022204,7862,36,127,33,2
28,32747676,7086,36,127,33,2
28,32064098,16113,36,127,33,2
28,33566718,7649,36,127,33,2
37,43365321,8753,45,163,42,2
37,42578542,8319,45,163,42,2
37,41873076,8668,45,163,42,2
37,41878717,8091,45,163,42,2
37,42749478,7806,45,163,42,2
46,55082543,8784,54,199,51,2
46,54006595,8033,54,199,51,2
46,59242094,7438,54,199,51,2
46,56789719,8948,54,199,51,2
46,53725823,7524,54,199,51,2
55,64015053,10077,63,235,60,2
55,64590679,8163,63,235,60,2
55,62638447,8048,63,235,60,2
55,64891580,7929,63,235,60,2
55,62025571,8748,63,235,60,2
64,71683369,8847,72,271,69,2
64,72843900,9568,72,271,69,2
64,72281618,8051,72,271,69,2
64,71996672,8404,72,271,69,2
64,75101536,7416,72,271,69,2
73,82741726,8273,81,307,78,2
73,79686671,7506,81,307,78,2
73,88294051,7797,81,307,78,2
73,91711629,8111,81,307,78,2
73,87943988,8911,81,307,78,2
82,96195271,9061,90,343,87,2
82,95703201,7854,90,343,87,2
82,101528822,9029,90,343,87,2
82,97837272,9743,90,343,87,2
82,96537290,8578,90,343,87,2
91,107511139,8357,99,379,96,2
91,106095996,7988,99,379,96,2
91,104213122,8727,99,379,96,2
91,107309126,8580,99,379,96,2
91,111840505,9345,99,379,96,2
100,123133795,9640,108,415,105,2
100,121821883,8111,108,415,105,2
100,112656942,7736,108,415,105,2
100,115704352,10288,108,415,105,2
100,112613852,9572,108,415,105,2
109,133527944,9699,117,451,114,2
109,133262113,10434,117,451,114,2
109,124902876,8467,117,451,114,2
109,131418429,9922,117,451,114,2
109,124985391,8947,117,451,114,2
118,135264819,10405,126,487,123,2
118,138001783,8363,126,487,123,2
118,133323785,10379,126,487,123,2
118,133260994,9778,126,487,123,2
118,134010529,9749,126,487,123,2
127,144821964,9157,135,523,132,2
127,160025530,9708,135,523,132,2
127,154124179,10896,135,523,132,2
127,143315239,8796,135,523,132,2
127,144104402,8604,135,523,132,2
136,160307151,8675,144,559,141,2
136,154802602,8745,144,559,141,2
136,160417893,8692,144,559,141,2
136,157549167,9134,144,559,141,2
136,161139093,10396,144,559,141,2
145,169628016,11620,153,595,150,2
145,169840286,10826,153,595,150,2
145,169453049,9029,153,595,150,2
145,170145244,9151,153,595,150,2
145,162778689,10446,153,595,150,2
154,173419862,10773,162,631,159,2
154,177697747,9246,162,631,159,2
154,174329888,10106,162,631,159,2
154,181658473,11348,162,631,159,2
154,177953101,8655,162,631,159,2
163,200803505,9132,171,667,168,2
163,188471934,10531,171,667,168,2
163,200661998,10795,171,667,168,2
163,206684735,10227,171,667,168,2
163,194458497,14714,171,667,168,2
172,211171804,11111,180,703,177,2
172,208699013,9551,180,703,177,2
172,197487130,10390,180,703,177,2
172,198749772,8902,180,703,177,2
172,193113131,8981,180,703,177,2
181,218346319,9140,189,739,186,2
181,217887169,10359,189,739,186,2
181,208516916,11020,189,739,186,2
181,216103552,9582,189,739,186,2
181,223533842,11084,189,739,186,2
190,219571829,10820,198,775,195,2
190,226721303,11782,198,775,195,2
190,221871485,9339,198,775,195,2
190,226670290,13341,198,775,195,2
190,217835502,9811,198,775,195,2
199,227294641,10636,207,811,204,2
199,233806691,13494,207,811,204,2
199,236740553,9849,207,811,204,2
199,223866045,10807,207,811,204,2
199,227216205,10480,207,811,204,2
208,243973590,10195,216,847,213,2
208,236575097,10433,216,847,213,2
208,396303209,14236,216,847,213,2
208,257438018,9287,216,847,213,2
208,252205589,10302,216,847,213,2
217,271983941,10512,225,883,222,2
217,275001775,11181,225,883,222,2
217,283704178,11967,225,883,222,2
217,259882394,9858,225,883,222,2
217,264224905,9997,225,883,222,2
226,276200453,10864,234,919,231,2
226,284635163,10493,234,919,231,2
226,262941971,9284,234,919,231,2
226,262776538,8858,234,919,231,2
226,269320345,9928,234,919,231,2
235,278329836,25815,243,955,240,2
235,286886701,9122,243,955,240,2
235,276656896,9533,243,955,240,2
235,274895087,9914,243,955,240,2
235,280588052,21592,243,955,240,2
244,279374936,10583,252,991,249,2
244,280213881,12474,252,991,249,2
244,284343690,11024,252,991,249,2
244,288215461,10337,252,991,249,2
244,281953338,10505,252,991,249,2
253,281715080,11011,261,1027,258,2
253,294509861,10623,261,1027,258,2
253,340947445,10208,261,1027,258,2
253,309859911,10455,261,1027,258,2
253,297839095,9465,261,1027,258,2
262,311207835,9411,270,1063,267,2
262,293479878,12123,270,1063,267,2
262,308882025,50294,270,1063,267,2
262,323576707,10389,270,1063,267,2
262,307842182,10087,270,1063,267,2
271,328623529,14495,279,1099,276,2
271,307479472,10884,279,1099,276,2
271,330098263,11013,279,1099,276,2
271,319993802,9252,279,1099,276,2
271,307147101,9169,279,1099,276,2
280,336510954,10373,288,1135,285,2
280,333382963,10904,288,1135,285,2
280,333501522,13726,288,1135,285,2
280,337577725,11020,288,1135,285,2
280,389655524,11045,288,1135,285,2
289,335295218,9979,297,1171,294,2
289,348092273,9337,297,1171,294,2
289,345179483,10658,297,1171,294,2
289,360013518,11835,297,1171,294,2
289,354819577,11395,297,1171,294,2
298,349218248,12127,306,1207,303,2
298,340465631,10689,306,1207,303,2
298,344124752,9875,306,1207,303,2
298,372937730,10099,306,1207,303,2
298,350988574,10101,306,1207,303,2
307,366572453,10299,315,1243,312,2
307,347480815,9479,315,1243,312,2
307,359614588,10540,315,1243,312,2
307,357458460,10641,315,1243,312,2
307,353131894,10861,315,1243,312,2
316,377018420,11103,324,1279,321,2
316,386867063,11425,324,1279,321,2
316,370974030,9035,324,1279,321,2
316,403680440,9685,324,1279,321,2
316,387387802,11141,324,1279,321,2
325,388170187,10809,333,1315,330,2
325,378679566,9909,333,1315,330,2
325,388399693,10751,333,1315,330,2
325,380900539,13830,333,1315,330,2
325,370998925,10490,333,1315,330,2
334,388210655,10237,342,1351,339,2
334,380578696,10851,342,1351,339,2
334,381574580,10268,342,1351,339,2
334,432545643,9436,342,1351,339,2
334,383219446,10866,342,1351,339,2
343,387731797,10691,351,1387,348,2
343,391629562,12330,351,1387,348,2
343,407538369,10487,351,1387,348,2
343,401459197,10667,351,1387,348,2
343,419855716,10756,351,1387,348,2
352,428592221,11868,360,1423,357,2
352,405229800,12165,360,1423,357,2
352,392203258,11005,360,1423,357,2
352,397985156,11463,360,1423,357,2
352,406422358,10707,360,1423,357,2
361,439310142,13009,369,1459,366,2
361,476754121,11853,369,1459,366,2
361,430058414,10643,369,1459,366,2
361,425063978,13359,369,1459,366,2
361,414198958,11703,369,1459,366,2
370,428221767,10417,378,1495,375,2
370,432988001,12681,378,1495,375,2
370,419508002,11187,378,1495,375,2
370,437879583,13841,378,1495,375,2
370,421371912,12416,378,1495,375,2
379,443602209,11053,387,1531,384,2
379,467063805,12343,387,1531,384,2
379,418464084,11203,387,1531,384,2
379,430517556,11523,387,1531,384,2
379,495738099,10913,387,1531,384,2
388,448689620,11075,396,1567,393,2
388,448896799,10640,396,1567,393,2
388,444660664,16147,396,1567,393,2
388,466954506,12718,396,1567,393,2
388,448151139,11261,396,1567,393,2
397,481095784,11594,405,1603,402,2
397,483809018,12772,405,1603,402,2
397,479710813,11167,405,1603,402,2
397,452351792,17209,405,1603,402,2
397,459482112,13281,405,1603,402,2
406,530195701,12110,414,1639,411,2
406,480121416,12543,414,1639,411,2
406,472531826,10543,414,1639,411,2
406,472120272,12916,414,1639,411,2
406,483773822,10666,414,1639,411,2
415,463600217,10143,423,1675,420,2
415,500538703,11587,423,1675,420,2
415,472107326,11305,423,1675,420,2
415,489458885,10034,423,1675,420,2
415,465111348,10699,423,1675,420,2
424,501659981,10861,432,1711,429,2
424,499089010,15042,432,1711,429,2
424,499686771,11957,432,1711,429,2
424,477713036,10512,432,1711,429,2
