Pallet: "pallet_portfolio", Extrinsic: "rename_portfolio", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
153,136096,4339,8,11,1,2
153,136502,4180,8,11,1,2
157,158154,5009,8,11,1,2
157,136154,4149,8,11,1,2
157,136182,4111,8,11,1,2
157,136107,4203,8,11,1,2
157,159904,4236,8,11,1,2
161,135979,4178,8,11,1,2
161,137893,4295,8,11,1,2
161,158248,4781,8,11,1,2
161,136162,4156,8,11,1,2
161,158479,4683,8,11,1,2
165,158528,4772,8,11,1,2
165,159163,4715,8,11,1,2
165,136356,20704,8,11,1,2
165,137954,4223,8,11,1,2
165,137212,4197,8,11,1,2
169,167575,4879,8,11,1,2
169,139401,4126,8,11,1,2
169,136190,3988,8,11,1,2
169,137462,3998,8,11,1,2
169,137124,4070,8,11,1,2
173,133200,4129,8,11,1,2
173,158730,4970,8,11,1,2
173,157670,4756,8,11,1,2
173,164881,4217,8,11,1,2
173,137451,4170,8,11,1,2
177,170753,4291,8,11,1,2
177,159496,4943,8,11,1,2
177,169224,4319,8,11,1,2
177,136445,4105,8,11,1,2
177,135877,4163,8,11,1,2
181,158753,5147,8,11,1,2
181,159185,5095,8,11,1,2
181,138666,4419,8,11,1,2
181,137217,4436,8,11,1,2
181,158395,4947,8,11,1,2
185,159053,4965,8,11,1,2
185,175395,5220,8,11,1,2
185,137160,4185,8,11,1,2
185,136730,4085,8,11,1,2
185,138420,4072,8,11,1,2
189,138489,4182,8,11,1,2
189,137958,4078,8,11,1,2
189,138456,4336,8,11,1,2
189,137541,4019,8,11,1,2
189,137674,4201,8,11,1,2
193,137368,4185,8,11,1,2
193,158741,4740,8,11,1,2
193,137612,4104,8,11,1,2
193,159629,4644,8,11,1,2
193,136944,4094,8,11,1,2
197,137763,4157,8,11,1,2
197,158853,4502,8,11,1,2
197,137149,4111,8,11,1,2
197,159343,4684,8,11,1,2
197,137960,4010,8,11,1,2
201,138764,4223,8,11,1,2
201,158867,4789,8,11,1,2
201,138297,4168,8,11,1,2
201,161902,4676,8,11,1,2
201,138630,3999,8,11,1,2
205,137062,4258,8,11,1,2
205,146800,4171,8,11,1,2
205,142899,4118,8,11,1,2
205,137143,4060,8,11,1,2
205,179906,5127,8,11,1,2
209,136615,4232,8,11,1,2
209,140655,4528,8,11,1,2
209,153213,4120,8,11,1,2
209,135999,4034,8,11,1,2
209,137237,16287,8,11,1,2
213,137220,4250,8,11,1,2
213,137979,4220,8,11,1,2
213,159989,4729,8,11,1,2
213,151640,8199,8,11,1,2
213,140359,4002,8,11,1,2
217,160309,5008,8,11,1,2
217,138601,4193,8,11,1,2
217,159558,4853,8,11,1,2
217,137629,4210,8,11,1,2
217,159828,4495,8,11,1,2
221,160681,4915,8,11,1,2
221,159959,4759,8,11,1,2
221,160248,4857,8,11,1,2
221,138614,4219,8,11,1,2
221,160075,4725,8,11,1,2
225,158868,5147,8,11,1,2
225,137331,4102,8,11,1,2
225,159478,4811,8,11,1,2
225,153574,4122,8,11,1,2
225,159005,4668,8,11,1,2
229,159121,4794,8,11,1,2
229,159311,4663,8,11,1,2
229,172261,4823,8,11,1,2
229,137029,4201,8,11,1,2
229,159660,4790,8,11,1,2
233,159909,4837,8,11,1,2
233,137621,4193,8,11,1,2
233,160634,4864,8,11,1,2
233,137991,4178,8,11,1,2
233,158799,4809,8,11,1,2
237,160973,4746,8,11,1,2
237,138492,4132,8,11,1,2
237,159242,4735,8,11,1,2
237,138663,4120,8,11,1,2
237,160674,4626,8,11,1,2
241,159766,4719,8,11,1,2
241,137814,4054,8,11,1,2
241,159452,4669,8,11,1,2
241,137989,4145,8,11,1,2
241,159788,4750,8,11,1,2
245,138915,4251,8,11,1,2
245,138908,4160,8,11,1,2
245,160956,4789,8,11,1,2
245,138626,4114,8,11,1,2
245,160759,4602,8,11,1,2
249,159566,5001,8,11,1,2
249,163519,5171,8,11,1,2
249,140590,4380,8,11,1,2
249,161538,4842,8,11,1,2
249,138593,4360,8,11,1,2
253,163777,5263,8,11,1,2
253,159993,4741,8,11,1,2
253,159586,4665,8,11,1,2
253,137611,4058,8,11,1,2
253,138724,4026,8,11,1,2
257,139197,4314,8,11,1,2
257,182049,4936,8,11,1,2
257,161366,5182,8,11,1,2
257,161373,5440,8,11,1,2
257,137829,4138,8,11,1,2
261,138612,4215,8,11,1,2
261,160287,4835,8,11,1,2
261,159353,4975,8,11,1,2
261,138558,4325,8,11,1,2
261,161472,5041,8,11,1,2
265,139132,4133,8,11,1,2
265,160966,4829,8,11,1,2
265,138710,4174,8,11,1,2
265,160285,4806,8,11,1,2
265,160631,4686,8,11,1,2
269,139328,4230,8,11,1,2
269,160893,4638,8,11,1,2
269,161346,4754,8,11,1,2
269,160255,4670,8,11,1,2
269,139062,4069,8,11,1,2
273,138678,4262,8,11,1,2
273,160478,4719,8,11,1,2
273,139652,4310,8,11,1,2
273,176303,4770,8,11,1,2
273,160981,4729,8,11,1,2
277,160982,4786,8,11,1,2
277,160809,5149,8,11,1,2
277,138700,4188,8,11,1,2
277,163116,5043,8,11,1,2
277,162696,4919,8,11,1,2
281,147991,4679,8,11,1,2
281,159690,5282,8,11,1,2
281,157670,4350,8,11,1,2
281,157001,4268,8,11,1,2
281,139256,4127,8,11,1,2
285,171996,5007,8,11,1,2
285,142481,4134,8,11,1,2
285,139602,4130,8,11,1,2
285,152916,4119,8,11,1,2
285,161431,4539,8,11,1,2
289,137862,4218,8,11,1,2
289,154699,4609,8,11,1,2
289,139433,4306,8,11,1,2
289,160066,4881,8,11,1,2
289,138837,4205,8,11,1,2
293,139575,4244,8,11,1,2
293,167933,4111,8,11,1,2
293,139566,3960,8,11,1,2
293,140011,4032,8,11,1,2
293,176920,4728,8,11,1,2
297,138645,5016,8,11,1,2
297,163008,4268,8,11,1,2
297,161610,4739,8,11,1,2
297,175327,4871,8,11,1,2
297,138852,5183,8,11,1,2
301,172134,4928,8,11,1,2
301,142645,4336,8,11,1,2
301,172532,4896,8,11,1,2
301,138424,4251,8,11,1,2
301,164900,4975,8,11,1,2
305,183695,5091,8,11,1,2
305,140384,3953,8,11,1,2
305,139144,4043,8,11,1,2
305,151933,4017,8,11,1,2
305,160095,4718,8,11,1,2
309,161153,5014,8,11,1,2
309,161678,4784,8,11,1,2
309,168258,4635,8,11,1,2
309,161833,4787,8,11,1,2
309,164782,4688,8,11,1,2
