Pallet: "frame_system", Extrinsic: "remark", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
b,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
3879709,276,1329,0,0,0,0
3879709,257,1301,0,0,0,0
3879709,252,1250,0,0,0,0
3879709,324,1270,0,0,0,0
3984566,278,1285,0,0,0,0
3984566,284,1332,0,0,0,0
3984566,281,1328,0,0,0,0
3984566,295,1370,0,0,0,0
3984566,276,1297,0,0,0,0
4089423,247,1323,0,0,0,0
4089423,268,1309,0,0,0,0
4089423,273,1277,0,0,0,0
4089423,280,1311,0,0,0,0
4089423,272,1345,0,0,0,0
4194280,279,1359,0,0,0,0
4194280,283,1273,0,0,0,0
4194280,289,1269,0,0,0,0
4194280,273,1317,0,0,0,0
4194280,263,1291,0,0,0,0
4299137,273,1346,0,0,0,0
4299137,286,1321,0,0,0,0
4299137,282,1308,0,0,0,0
4299137,285,1280,0,0,0,0
4299137,330,1494,0,0,0,0
4403994,322,1331,0,0,0,0
4403994,275,1345,0,0,0,0
4403994,275,1401,0,0,0,0
4403994,253,1305,0,0,0,0
4403994,290,1392,0,0,0,0
4508851,277,1352,0,0,0,0
4508851,280,1241,0,0,0,0
4508851,285,1304,0,0,0,0
4508851,276,1319,0,0,0,0
4508851,271,1368,0,0,0,0
4613708,272,1380,0,0,0,0
4613708,264,1340,0,0,0,0
4613708,292,1601,0,0,0,0
4613708,283,1336,0,0,0,0
4613708,273,1331,0,0,0,0
4718565,262,1475,0,0,0,0
4718565,273,1320,0,0,0,0
4718565,298,1386,0,0,0,0
4718565,288,1307,0,0,0,0
4718565,287,1415,0,0,0,0
4823422,290,1392,0,0,0,0
4823422,277,1299,0,0,0,0
4823422,272,1311,0,0,0,0
4823422,251,1299,0,0,0,0
4823422,265,1348,0,0,0,0
4928279,490,1882,0,0,0,0
4928279,296,1357,0,0,0,0
4928279,357,1444,0,0,0,0
4928279,261,1355,0,0,0,0
4928279,264,1309,0,0,0,0
5033136,268,1316,0,0,0,0
5033136,267,1311,0,0,0,0
5033136,276,1359,0,0,0,0
5033136,271,1325,0,0,0,0
5033136,267,1301,0,0,0,0
5137993,292,1386,0,0,0,0
5137993,301,1362,0,0,0,0
5137993,296,1340,0,0,0,0
5137993,310,1371,0,0,0,0
5137993,322,1314,0,0,0,0
5242850,316,1353,0,0,0,0
5242850,353,1419,0,0,0,0
5242850,331,1367,0,0,0,0
5242850,320,1439,0,0,0,0
