Pallet: "frame_system", Extrinsic: "kill_storage", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
343,124639,1924,0,0,343,0
352,127832,2140,0,0,352,0
352,127485,2029,0,0,352,0
352,127667,2028,0,0,352,0
352,127348,2170,0,0,352,0
352,127280,2017,0,0,352,0
361,130541,2085,0,0,361,0
361,130346,1975,0,0,361,0
361,130324,2128,0,0,361,0
361,131121,2020,0,0,361,0
361,130564,2092,0,0,361,0
370,134343,2121,0,0,370,0
370,133522,2118,0,0,370,0
370,133644,2190,0,0,370,0
370,133290,2031,0,0,370,0
370,133647,2085,0,0,370,0
379,138967,2198,0,0,379,0
379,139248,2086,0,0,379,0
379,138894,2045,0,0,379,0
379,138944,2118,0,0,379,0
379,138981,2107,0,0,379,0
388,140601,2107,0,0,388,0
388,140547,2049,0,0,388,0
388,141392,2077,0,0,388,0
388,140396,2057,0,0,388,0
388,141455,2026,0,0,388,0
397,145837,2201,0,0,397,0
397,144196,2171,0,0,397,0
397,144554,2027,0,0,397,0
397,144027,2120,0,0,397,0
397,144655,2190,0,0,397,0
406,147969,2160,0,0,406,0
406,147211,2143,0,0,406,0
406,148168,2169,0,0,406,0
406,147835,2066,0,0,406,0
406,147789,2048,0,0,406,0
415,151678,2104,0,0,415,0
415,151314,2181,0,0,415,0
415,152705,2107,0,0,415,0
415,152286,2087,0,0,415,0
415,151409,2141,0,0,415,0
424,154767,2045,0,0,424,0
424,157791,2067,0,0,424,0
424,154701,2212,0,0,424,0
424,153923,2040,0,0,424,0
424,154312,2023,0,0,424,0
433,157343,2184,0,0,433,0
433,157654,2014,0,0,433,0
433,158519,2159,0,0,433,0
433,157891,2114,0,0,433,0
433,157713,2084,0,0,433,0
442,148509,2065,0,0,442,0
442,148462,2112,0,0,442,0
442,148925,2072,0,0,442,0
442,147657,2178,0,0,442,0
442,148402,2084,0,0,442,0
451,150753,2105,0,0,451,0
451,152427,2172,0,0,451,0
451,150907,2219,0,0,451,0
451,150568,2155,0,0,451,0
451,150889,2096,0,0,451,0
460,155092,2190,0,0,460,0
460,154943,2128,0,0,460,0
460,169721,2107,0,0,460,0
460,169957,2011,0,0,460,0
460,169719,1980,0,0,460,0
469,173325,2248,0,0,469,0
469,174645,2042,0,0,469,0
469,173949,2063,0,0,469,0
469,173482,2010,0,0,469,0
469,174488,2117,0,0,469,0
478,177329,2195,0,0,478,0
478,175938,2141,0,0,478,0
478,176575,2191,0,0,478,0
478,176057,2005,0,0,478,0
478,176176,2063,0,0,478,0
487,181587,2133,0,0,487,0
487,198333,2123,0,0,487,0
487,181432,2196,0,0,487,0
487,180443,2266,0,0,487,0
487,180402,2003,0,0,487,0
496,182333,2141,0,0,496,0
496,181885,2143,0,0,496,0
496,182256,2185,0,0,496,0
496,181411,2111,0,0,496,0
496,183342,2169,0,0,496,0
505,187235,2114,0,0,505,0
505,186616,2044,0,0,505,0
505,186721,2002,0,0,505,0
505,187342,2165,0,0,505,0
505,187384,2192,0,0,505,0
514,189796,2197,0,0,514,0
514,188479,2131,0,0,514,0
514,189893,2101,0,0,514,0
514,189683,2141,0,0,514,0
514,189076,2099,0,0,514,0
523,196382,2171,0,0,523,0
523,196729,2166,0,0,523,0
