Pallet: "pallet_scheduler", Extrinsic: "schedule_named", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
38,21769,1710,2,5,2,2
39,25386,1865,2,5,2,2
39,22055,1836,2,5,2,2
39,22115,1777,2,5,2,2
39,21744,1807,2,5,2,2
39,21849,1801,2,5,2,2
40,23127,1868,2,5,2,2
40,23230,1818,2,5,2,2
40,22906,1752,2,5,2,2
40,22793,1838,2,5,2,2
40,22657,1856,2,5,2,2
41,22873,1878,2,5,2,2
41,22439,1833,2,5,2,2
41,22990,1758,2,5,2,2
41,23077,1813,2,5,2,2
41,22826,1817,2,5,2,2
42,23024,1850,2,5,2,2
42,23425,1830,2,5,2,2
42,22902,1770,2,5,2,2
42,22955,1801,2,5,2,2
42,23829,1856,2,5,2,2
43,23557,1914,2,5,2,2
43,23224,1864,2,5,2,2
43,23544,1821,2,5,2,2
43,23207,1884,2,5,2,2
43,23420,1791,2,5,2,2
44,23365,1886,2,5,2,2
44,23308,1833,2,5,2,2
44,23594,1918,2,5,2,2
44,23428,1868,2,5,2,2
44,23495,1811,2,5,2,2
45,23763,1906,2,5,2,2
45,23353,1889,2,5,2,2
45,24335,1869,2,5,2,2
45,23743,1924,2,5,2,2
45,23470,1847,2,5,2,2
46,23891,1823,2,5,2,2
46,23756,1890,2,5,2,2
46,23928,1729,2,5,2,2
46,24397,1834,2,5,2,2
46,24027,1843,2,5,2,2
47,23835,1967,2,5,2,2
47,23693,1834,2,5,2,2
47,23327,1879,2,5,2,2
47,23563,1854,2,5,2,2
47,23420,1823,2,5,2,2
48,24809,1874,2,5,2,2
48,24585,1890,2,5,2,2
48,24797,1796,2,5,2,2
48,24348,1853,2,5,2,2
48,24482,1838,2,5,2,2
49,24144,1854,2,5,2,2
49,24314,1747,2,5,2,2
49,24163,1802,2,5,2,2
49,24079,1741,2,5,2,2
49,24328,1790,2,5,2,2
50,24800,1870,2,5,2,2
50,24825,1861,2,5,2,2
50,24648,1889,2,5,2,2
50,25130,1852,2,5,2,2
50,24732,1833,2,5,2,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    17.26
    + s    0.141
              µs

Reads = 2 + (0 * s)
Writes = 2 + (0 * s)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    s   mean µs  sigma µs       %
    0     15.81     0.154    0.9%
    1     17.22     0.173    1.0%
    2     17.55     0.085    0.4%
    3     17.74     0.072    0.4%
    4     18.03     0.048    0.2%
    5     17.84     0.068    0.3%
    6     17.75     0.062    0.3%
    7     18.46      0.07    0.3%
    8     18.22      0.05    0.2%
    9     18.83     0.072    0.3%
   10     18.45     0.053    0.2%
   11     18.94     0.105    0.5%
   12     18.82      0.04    0.2%
   13     19.89     0.081    0.4%
   14     19.76     0.082    0.4%
   15     19.96      0.08    0.4%
   16     19.51     0.072    0.3%
   17     19.88     0.074    0.3%
   18     19.85      0.15    0.7%
   19     19.74     0.025    0.1%
   20      20.6     0.146    0.7%
   21     19.89     0.088    0.4%
   22     20.64     0.139    0.6%
   23      20.6     0.186    0.9%
   24     20.98     0.004    0.0%
   25     20.81     0.129    0.6%
   26     21.26     0.037    0.1%
   27      21.1     0.078    0.3%
   28     21.54     0.072    0.3%
   29     21.11     0.021    0.0%
   30     21.46     0.104    0.4%
   31     21.04     0.112    0.5%
   32     21.45     0.057    0.2%
   33     21.86     0.134    0.6%
   34     22.29     0.028    0.1%
   35     22.23     0.059    0.2%
   36     22.72     0.286    1.2%
   37     22.32     0.058    0.2%
   38     21.65     0.079    0.3%
   39        22     0.113    0.5%
   40     22.94     0.138    0.6%
   41     22.89     0.068    0.2%
   42     23.13     0.207    0.8%
   43     23.39     0.131    0.5%
   44     23.42     0.053    0.2%
   45     23.65     0.133    0.5%
   46     23.94     0.057    0.2%
   47     23.55     0.111    0.4%
   48     24.62     0.131    0.5%
   49      24.2     0.076    0.3%
   50     24.78     0.039    0.1%

Quality and confidence:
param     error
s         0.002

Model:
Time ~=    17.23
    + s    0.142
              µs

Reads = 2 + (0 * s)
Writes = 2 + (0 * s)
