Pallet: "pallet_corporate_actions", Extrinsic: "set_default_targets", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
380,478853,7143,9,8,1,2
380,490812,7547,9,8,1,2
390,463201,6698,9,8,1,2
390,438873,6462,9,8,1,2
390,486898,7475,9,8,1,2
390,488024,7753,9,8,1,2
390,510271,7764,9,8,1,2
400,441138,7285,9,8,1,2
400,558923,7320,9,8,1,2
400,517079,6904,9,8,1,2
400,481217,6575,9,8,1,2
400,494184,8198,9,8,1,2
410,500588,26134,9,8,1,2
410,476955,7605,9,8,1,2
410,466675,6859,9,8,1,2
410,483689,7274,9,8,1,2
410,485069,7682,9,8,1,2
420,507628,7360,9,8,1,2
420,498569,8059,9,8,1,2
420,531287,11239,9,8,1,2
420,461193,6728,9,8,1,2
420,523164,7325,9,8,1,2
430,489754,6841,9,8,1,2
430,474314,6637,9,8,1,2
430,486235,6728,9,8,1,2
430,507759,7038,9,8,1,2
430,445708,6853,9,8,1,2
440,456599,6748,9,8,1,2
440,441193,7544,9,8,1,2
440,480627,6735,9,8,1,2
440,537721,6784,9,8,1,2
440,523361,7424,9,8,1,2
450,523114,7448,9,8,1,2
450,492457,7326,9,8,1,2
450,546902,7420,9,8,1,2
450,563112,7587,9,8,1,2
450,467558,7077,9,8,1,2
460,571759,8742,9,8,1,2
460,463221,7128,9,8,1,2
460,500107,7219,9,8,1,2
460,511873,6868,9,8,1,2
460,506002,6858,9,8,1,2
470,543596,6401,9,8,1,2
470,483072,6869,9,8,1,2
470,561490,7397,9,8,1,2
470,516847,6391,9,8,1,2
470,524845,7286,9,8,1,2
480,536851,7330,9,8,1,2
480,490104,6994,9,8,1,2
480,586119,7733,9,8,1,2
480,494783,7112,9,8,1,2
480,558316,7877,9,8,1,2
490,544191,6968,9,8,1,2
490,521670,7312,9,8,1,2
490,471321,7594,9,8,1,2
490,482280,7911,9,8,1,2
490,512715,7270,9,8,1,2
500,514700,6621,9,8,1,2
500,548893,7347,9,8,1,2
500,522938,6877,9,8,1,2
500,475536,6477,9,8,1,2
500,505863,7263,9,8,1,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    195.6
    + t    0.695
              µs

Reads = 9 + (0 * t)
Writes = 1 + (0 * t)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    t   mean µs  sigma µs       %
    0     142.9     4.885    3.4%
   10     164.7     4.059    2.4%
   20     182.5     9.544    5.2%
   30     208.5     8.079    3.8%
   40     212.7     0.155    0.0%
   50     231.6     9.027    3.8%
   60     238.2     5.881    2.4%
   70     264.7     4.679    1.7%
   80     261.4     3.478    1.3%
   90     283.8     12.68    4.4%
  100     296.3     15.08    5.0%
  110     283.4     21.44    7.5%
  120     300.2     1.072    0.3%
  130     305.1     1.076    0.3%
  140     348.7     16.75    4.8%
  150     297.6     3.787    1.2%
  160     339.8     6.807    2.0%
  170     313.9      10.5    3.3%
  180     323.2     12.58    3.8%
  190     316.1     0.804    0.2%
  200     341.2     18.19    5.3%
  210     340.8      14.8    4.3%
  220     325.7     17.76    5.4%
  230     326.4     17.39    5.3%
  240     346.2     3.268    0.9%
  250     342.2     9.604    2.8%
  260     359.6     25.76    7.1%
  270     362.1     23.24    6.4%
  280     422.5     9.214    2.1%
  290     393.4     19.62    4.9%
  300     403.1     1.456    0.3%
  310     393.1     6.545    1.6%
  320     433.4     15.72    3.6%
  330       411     13.31    3.2%
  340     448.9     19.84    4.4%
  350       464     13.46    2.9%
  360     433.4     18.02    4.1%
  370     456.7     6.013    1.3%
  380     476.6     6.575    1.3%
  390     479.3     11.44    2.3%
  400     497.4     14.82    2.9%
  410     481.9     3.544    0.7%
  420     509.7     10.15    1.9%
  430     483.4     6.607    1.3%
  440     486.8      27.6    5.6%
  450     520.8     22.28    4.2%
  460     505.9     4.803    0.9%
  470     528.4     11.21    2.1%
  480     529.9     26.38    4.9%
  490     505.5     16.85    3.3%
  500     514.5     6.972    1.3%

Quality and confidence:
param     error
t         0.013

Model:
Time ~=    195.5
    + t    0.695
              µs

Reads = 9 + (0 * t)
Writes = 1 + (0 * t)
