Pallet: "pallet_multisig", Extrinsic: "create_multisig", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
75,2866684,5585,8,162,154,2
75,2787301,5929,8,162,154,2
75,3069597,7477,8,162,154,2
75,2774121,6166,8,162,154,2
77,2957994,5622,8,166,158,2
77,3199362,5541,8,166,158,2
77,3062433,6158,8,166,158,2
77,3214097,8175,8,166,158,2
77,3356911,8404,8,166,158,2
79,3010568,7649,8,170,162,2
79,3101783,7661,8,170,162,2
79,3183965,8196,8,170,162,2
79,3281780,6520,8,170,162,2
79,3133798,5881,8,170,162,2
81,3083334,7041,8,174,166,2
81,3073006,6867,8,174,166,2
81,3421371,8334,8,174,166,2
81,3073442,6903,8,174,166,2
81,3684440,7896,8,174,166,2
83,3754763,7913,8,178,170,2
83,3533227,8951,8,178,170,2
83,3424735,7752,8,178,170,2
83,3249486,7503,8,178,170,2
83,3460590,5952,8,178,170,2
85,3253287,7306,8,182,174,2
85,6112953,6641,8,182,174,2
85,3988193,7665,8,182,174,2
85,3642786,8408,8,182,174,2
85,3404587,7983,8,182,174,2
87,3371210,7695,8,186,178,2
87,3887193,7681,8,186,178,2
87,3588276,6972,8,186,178,2
87,3413260,7965,8,186,178,2
87,3407066,7091,8,186,178,2
89,3655589,6939,8,190,182,2
89,4298313,8016,8,190,182,2
89,3615566,8157,8,190,182,2
89,3480625,7149,8,190,182,2
89,3899471,7773,8,190,182,2
91,3343813,6511,8,194,186,2
91,3392258,7078,8,194,186,2
91,4042837,7959,8,194,186,2
91,3625791,6544,8,194,186,2
91,3865659,7020,8,194,186,2
93,3590099,6756,8,198,190,2
93,3584511,7088,8,198,190,2
93,3924102,6209,8,198,190,2
93,3765332,9302,8,198,190,2
93,3749244,5845,8,198,190,2
95,3980587,7389,8,202,194,2
95,3935785,8469,8,202,194,2
95,3507844,6906,8,202,194,2
95,3715396,6428,8,202,194,2
95,3692180,6309,8,202,194,2
97,3719023,7212,8,206,198,2
97,3691268,6862,8,206,198,2
97,3753667,6376,8,206,198,2
97,3776769,6737,8,206,198,2
97,3496569,6075,8,206,198,2
99,4189418,7751,8,210,202,2
99,3901840,7773,8,210,202,2
99,4173669,24401,8,210,202,2
99,4115911,7110,8,210,202,2
99,3855569,7279,8,210,202,2
101,4579548,6833,8,214,206,2
101,3927364,6551,8,214,206,2
101,3915230,7635,8,214,206,2
101,3733394,7221,8,214,206,2
101,3803539,9103,8,214,206,2
103,4099212,9513,8,218,210,2
103,3781365,7244,8,218,210,2
103,4148357,7805,8,218,210,2
103,4140665,8173,8,218,210,2
103,4040505,7538,8,218,210,2
105,4117836,7039,8,222,214,2
105,3821817,7843,8,222,214,2
105,4092497,7565,8,222,214,2
105,4057100,7644,8,222,214,2
105,3865931,7291,8,222,214,2
107,3902220,6468,8,226,218,2
107,4119433,6487,8,226,218,2
107,4069097,7188,8,226,218,2
107,4537790,6438,8,226,218,2
107,4097390,8932,8,226,218,2
109,3961864,6872,8,230,222,2
109,4283221,5995,8,230,222,2
109,4113807,6434,8,230,222,2
109,4163753,6614,8,230,222,2
109,3969590,8173,8,230,222,2
111,4023201,7213,8,234,226,2
111,4468310,8703,8,234,226,2
111,4536823,9353,8,234,226,2
111,4390816,7375,8,234,226,2
111,4085423,7090,8,234,226,2
113,8776930,12588,8,238,230,2
113,5829897,11554,8,238,230,2
113,5278438,7677,8,238,230,2
113,4383171,8887,8,238,230,2
113,4278616,7577,8,238,230,2
115,4566877,7834,8,242,234,2
115,4691583,8046,8,242,234,2
115,4432080,7132,8,242,234,2
115,4224142,7601,8,242,234,2
115,4569211,7133,8,242,234,2
117,4970530,8306,8,246,238,2
117,4682463,8255,8,246,238,2
117,4530186,7308,8,246,238,2
117,5444348,9286,8,246,238,2
117,4614364,7258,8,246,238,2
119,4530202,6861,8,250,242,2
119,4696443,7317,8,250,242,2
119,4559535,6296,8,250,242,2
119,4617967,6180,8,250,242,2
119,4637338,7893,8,250,242,2
121,4681601,8993,8,254,246,2
121,4739205,7772,8,254,246,2
121,4744634,9127,8,254,246,2
121,4745629,7183,8,254,246,2
121,4365976,6602,8,254,246,2
123,4670551,7772,8,258,250,2
123,4463223,7124,8,258,250,2
123,4640052,6333,8,258,250,2
123,4643627,6306,8,258,250,2
123,5111841,7609,8,258,250,2
125,4742489,7528,8,262,254,2
125,4844515,8777,8,262,254,2
125,4708639,8002,8,262,254,2
125,5149842,7519,8,262,254,2
125,4859345,10749,8,262,254,2
127,4985356,8243,8,266,258,2
127,4859536,8161,8,266,258,2
127,4790331,8935,8,266,258,2
127,4933550,7046,8,266,258,2
127,4942850,7934,8,266,258,2
129,4967244,9460,8,270,262,2
129,5387921,8100,8,270,262,2
129,5041180,8789,8,270,262,2
129,4922018,9006,8,270,262,2
129,5016222,7455,8,270,262,2
131,5477104,7597,8,274,266,2
131,5271210,8764,8,274,266,2
131,5652424,8439,8,274,266,2
